,Question,Answer
0,陈叔叔好，今天没想到可以在早间参加业绩说明会，什么是埋地管材？,"尊敬的投资者您好：
管材业务：公司自2011年上市以来，一直专注于给排水领域管道的研发、生产和销售。经过多年的市场积淀及技术研发，公司管材众多系列产品已覆盖城市基础设施建设雨水收集、引水、给水、排水、中水回用、工业、燃气、海绵城市建设及核电工业管材等领域，全面涉及水生态系统。产品由上市初的HDPE缠绕结构壁B型管发展为多种类型管，主要包括HDPE缠绕增强管、钢骨架聚乙烯（ PE）塑料复合管、连续缠绕玻璃纤维增强管、聚酯树脂混凝土管及相关配套管件等。经过公司管理层在经营方式及业务模式上的不断探索改进，生产基地已覆盖华北、华中、华东、东南、华南、西南等重要地域，公司也从单一的大口径埋地排水管供应商发展成为国内最大的集研发、生产、销售为一体的“给排水系统解决方案”提供商。新能源汽车业务：2015年度公司通过完成对福建万润66%股权的收购为契机切入新能源汽车产业。福建万润的主要产品是各类、系列新能
源汽车动力总成，适用于各种车型。适配车种包括节能汽车、混合动力汽车、纯电动汽车及增程式汽车；适配车型包括轿车、轻型客车（面包车）、厢式货车及大中型公交车。各类产品均已形成系列，可适应面向当前市场的公告内整车产品配套，同时，面向整车厂用户提供灵活、快速的个性化的动力总成新产品开发服务，以适应新能源汽车后续发展期内不断出现的新需求。感谢您对公司的支持与关注！"
1,您好，海纳百川有容乃大壁立千仞无欲则刚怎么理解,"您好，纳川创立于海上丝绸之路的起点——泉州，自古以来就有“涨海声中万国商”的美誉，纳川人秉承泉州人勇于航海的精神，弄潮在时代的最前沿；纳川之名，源于“海纳百川、有容乃大”的历史典故，以“纳川”为企业命名，形象体现了企业“纳川成海”的愿景；江河一旦汇入大海，如同来自五湖四海的人才进入纳川这个大家庭，每一个成员都要像水那般紧密相连，凝聚成一个团结的集体，并随着海的号令执著而坚定地朝着同一个目标前进。
感谢您的关注与支持。
"
2,您好，公司于2011年4月7日上市，目前的主营业务是什么,"尊敬的投资者您好：
公司目前主要业务为管材业务与新能源汽车（动力总成）业务。感谢您对公司的支持与关注！"
3,公司是否在考虑开拓新的领域？取得初步进展没有？,"尊敬的投资者您好：
公司从2014年并购福建万润进入新能源汽车产业，新能源汽车产业为国家目前大力支持的产业，目前公司新能源汽车业务发展良好！感谢您对公司的支持与关注！"
4,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,"您好，2016年公司实现营业收入111,697.12万元；归属于上市公司股东的净利润6,386.81万元，较上年同期增长138.67%，公司管材销量大幅度增长，管材产品实现销售收入47,155.17万元，比上年同期增长26.87%。2017年的业绩情况请关注我司定期于巨潮网上披露的业绩预告与季度报告。感谢您的关注与支持。"
5,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,"尊敬的投资者您好：
公司暂无实施股权激励计划，若有相关计划请关注公司公告！感谢您对公司的支持与关注！"
6,请问开完股东会后，如果送股通过几日内会送股？,"尊敬投资者您好：
公司将于2017年4月21日召开年度股东会，无送股计划，如果公司有送股计划将按相关政策进行送股！感谢您对公司支持与关注！"
7,公司在税收方面有没有相关的优惠政策？具体税率是多少？,您好，公司控股子公司福建万润新能源科技有限公司被认定为福建省2015年高新技术企业，根据相关规定福建万润自2015年1月1日起三年内减按15%的税率缴纳企业所得税，并且福建万润享受软件部份增值税即征即退的优惠政策。其他税率数据详见我司于2017年3月31日在巨潮网披露的信息。感谢您的关注与支持。
8,请站在独立董事的角度 评价一下这家公司。您的专业态度对我很重要！,"尊敬投资者您好：
纳川股份目前主要业务为管材业务与新能源汽车业务都处于大环保产业，可持续发展。近几年来，我国面临着严重环境危机，针对环保产业国家出台许多支持政策，例如《中华人民共和国国民经济和社会发展第十三个五年规划纲要》、《中共中央国务院关于加快水利改革发展的决定》、《 “十三五”重点流域水环境综合治理建设规划》、《 “十三五”全国城镇污水处理及再生利用设施建设规划》、《 “十三五”节能减排综合工作方案》；《 “十三五”国家战略性新兴产业发展规划》、《关于电动汽车用电价格政策有关问题的通
知》、《新能源汽车推广应用推荐车型目录》 （第5批）、《免征车辆购置税的新能源汽车车型目录》 （第5批）、《关于调整新能源汽车推广应用财政补贴政策的通知》、《电力发展“十三五”规划》。大量政策的支持有利于纳川股份的发展！感谢您对公司的支持与关注！！！"
9,公司募集资金投向项目进展如何，是否顺利?预计多久可以收回投资?,您好，公司募集资金完全按照承诺及公告披露的事项投入使用，目前项目进展顺利。有关募集资金使用的情况及相关项目的效益已于2017年3月31日在巨潮网上披露，请您关注浏览。感谢您的关注与支持。
10,现在行业间的并购都比较频繁，导致上市公司并购的成本提高，你们今年有没有兼并收购计划？,"尊敬投资者您好：
公司持续关注着市场上发生的并购事件，未来公司将根据自身发展需求与规划，做强做大公司，提升公司业绩，为投资者带来更多回报。感谢您对公司支持与关注！"
11,贵公司员工一个月能挣多少？,您好。公司员工薪酬主要分为基本薪酬、岗位工资和绩效资金三部分，基本薪酬根据当地工资标准的和物价指数、劳动力市场薪资水平综合确定，岗位薪酬部分由岗位价值、职级水平等因素确定；绩效资金部分，以企业年度经营目标为导向，以个人业绩为依据。公司除按照国家和地方政策要求，为员工缴纳各项社会保险和住房公积金外，还提供节日礼金、生日贺礼、员工活动等福利和津贴。感谢您的关注与支持。
12,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,"尊敬投资者您好：
公司将根据公司经营业绩、发展情况，适时考虑实施相关激励政策，惠及公司员工，增加公司员工向心力、凝聚力。感谢您对公司支持与关注！"
13,新一届政府倡导全社会节约节俭，不知道贵公司是怎么做的？高管及员工薪酬、福利有影响吗？,"尊敬的投资者您好：
公司积极响应国家倡导的节约节俭，公司管理层与员工积极响应，公司食堂进行光盘行动，节约用电；公司有完善员工薪酬福利制度，未产生影响。感谢您对公司的关注与支持！"
14,募投项目资金使用情况如何？,"您好，截止2016年12月31日，公司于2011年通过网下询价配售与网上资金申购定价发行相结合募集的资金已全部投入使用；2015年通过向特定投资者非公开发行募集的资金余额为8,239.67万元。具体募投项目的使用情况公司已于2017年3月31日在巨潮网上披露，请您浏览。感谢您的关注与支持。"
