,Question,Answer
0,叔叔好，公司的主营业务是什么？什么时候上市？,乖，好好玩去。
1,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",公司暂无实施新投资项目。
2,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,如有，公司将在第一时间履行信息披露义务。
3,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司目前拥有的研发机构涉及：国家级企业技术中心、河北省吊索具工程技术研究中心、博士后科研工作站和产业创新联盟；各研发机构负责项目的立项、申报等工作。
4,请问净利润的增长率和销售收入增长同步吗？,感谢你对公司的关注，净利润及营业收入的具体情况敬请参阅公司的定期报告。
5,在做项目之前是否对项目进行严谨的可行性研究？,公司涉及的重大投资项目均有可行性分析报告，并在公司指定媒体刊登；具体情况你可以查阅以往期间的公告。
6,请问老总， 2016年存货是多少，存货增加的内容是哪些？,感谢你对公司的关注，公司2016末存货较上年末呈下降趋势，存货构成情况敬请参阅公司2016年年度报告第十一节财务报告章节。
7,请问公司今年营收的增长能超过行业的平均水平吗？,具体情况请以公司披露的定期报告为准。
8,公司是否会计划多元化发展？,如有，公司将在第一时间履行信息披露义务。
9,截至目前，公司的同比销售额有增长吗？,具体情况请以公司披露的2017年第一季度报告为准。
10,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,公司以就2017年第一季度报告做出合理预计，具体情况你可以参阅公司指定媒体刊登的公告。
11,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,公司目前面临的主要问题是受制于公司下游传统工业行业持续低迷影响，导致公司业绩较以往出现下滑。为应对这一问题，公司经营层积极调整经营计划，不断加强研发投入，提升公司的议价能力；公司建立了完善的售后服务体系，为广大客户全体，提供产品、技术等多方面支持；公司重视品牌建设，在向客户提供优质产品的同时，更重要的是为客户提供吊装技术方案，解决吊装难题！
12,公司未来在供热产业方面有什么计划？,感谢你对公司的关注！公司在供热产业方面主要立足于本地，未来不排除以点带面的形成向外围拓展。
13,1巨力索具在将后来如何处理与集团之间的关系，特别是设立雄安新区后，是否会将集团前景较好的企业转移至上市公司中？让更多看好贵公司的股民能与贵公司一起成长。,感谢你对公司的关注。如有，公司将在第一时间履行信息披露义务。
14,4、由于公司所在地毗邻雄安县，请问贵公司对后期围绕雄安新区的建设有无新的规划？,就设立雄安新区，公司给予高度关注；并于节后首日上午紧急组织召开总经理办公会，就新区落地、政策解读和新区未来建设规划等做好工作部署。截至目前，雄安新区设立尚未对公司经营构成重大影响，公司战略与发展委员会尚未对未来发展计划做出调整。如有，公司将在第一时间履行信息披露义务。
15,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,感谢你对公司的关注，公司在建项目情况敬请参阅公司2016年度报告第十一节财务报告章节。
16,公司2016年度净利润下降23.94%，主要原因是什么？公司未来有什么措施改善盈利情况？,感谢你对公司的关注，公司2016年净利润下降主要是受整体市场环境下行及客户议价能力提升影响。后期公司将通过新产品研发、开发新领域客户以确保公司的良性发展。
17,雄安新区的设立是否会对公司的业绩有影响,截至目前，新区设立尚未对公司经营构成重大影响；未来如有，公司将严格履行信息披露义务。
18,3、能否具体说明巨力索具名下目前在河北省保定市土地情况？,公司目前登记在册工业用地共：546371.79平米，且以上土地使用权资产均为自用，暂无其他储备用地。
19,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,"公司2016年产品出口212,771,381.78元，内销1,152,339,685.03元，基本保持稳定。"
20,2、巨力索具是否参与此次国产001A型航母的建设？,因涉及保密义务，公司无法正面回答你的提问。
21,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,公司一直强调，希望广大投资者理智投资，价值投资，公司管理层看好未来的发展。同时提醒广大投资者，投资有风险，请谨慎投资。
22,公司未来发展前景如何?对目前这个行业的前途看好吗？,公司专注于索具研发制造，未来随着工业形势的好转，相信传统制造业会有较大的业绩改善。公司产品广泛用于包括但不限于军工、核电、风电、水电、造船、冶金、桥梁、矿山、航空航天、海洋工程、重工机械、交用运输、港口码头、空间结构、机械制造等领域，加大研发力度，严格控制产品质量，未来会有好的发展。
23,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,公司持续的、一贯的重视投资者关系管理；目前公司已在改版后官网“投资者关系管理”项下设置互动功能；公司与投资者的沟通渠道是畅通的、有效的；同时也欢迎广大投资者在非窗口期间来公司调研。
24,请问公司在财务结构上有什么不足，打算采取哪些举措。,感谢你对公司的关注，公司目前财务状况相对合理，后期根据公司业务拓展情况，会及时加强、调整相关财务结构。
25,请问公司公司的核心竞争力是什么？,公司核心竞争力具体情况请参阅公司2016年年度报告
26,公司每次投资项目的可行性报告是否有详细说明公告？,公司涉及的重大投资项目均有可行性分析报告，并在公司指定媒体刊登；具体情况你可以查阅以往期间的公告。
27,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,感谢你对公司关注，我公司坚持立足主营业务发展，通过新产品研发及应用领域的扩展，将公司主业做大做强！
28,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,感谢您对公司的关注！如有公司将及时履行信息披露义务。 
29,请问，截止到2017/3/31，公司股东人数是多少？谢谢！,截至2017年3月31日，公司登记在册的股东总数为69300户。
30,请问，截止到2017/3/31，公司股东人数是多少？谢谢!,截至2017年3月31日，公司登记在册的股东总数为69300户。
31,请问，截止到2017/3/31，公司股东人数是多少？谢谢!,截至2017年3月31日，公司登记在册的股东总数为69300户。
