,Question,Answer
0,请问国际业务2017年主营收入中能占多少份额？,"投资者，您好：
关于国际业务线，公司2016年根据超图2.0战略规划进行了进行了国际业务的组织架构调整，同时2016年公司加强了国际业务的开拓，并取得了一定的成绩，但国际化业务在营业收入的占比还是很小，2016年仅为2.16%。2017年，公司将进一步增强国际市场开拓力量，加强国际营销体系的建设，进一步提高国际化业务的收入占比。"
1,吕叔叔好，贵公司是做什么的？,"投资者，您好：
 超图软件主要从事地理信息系统（GIS）平台软件的研发、销售以及提供GIS应用整体解决方案，目前公司主要有GIS基础软件、GIS应用软件、GIS云与大数据及国际化四大业务线。
华龙证券成立于2001年5月18日，是由甘肃省人民政府组织筹建，经中国证监会批准的综合类证券经营机构。"
2,叔叔好，公司的主营业务是什么？,"投资者，您好：
超图软件主要从事地理信息系统（GIS）平台软件的研发、销售以及提供GIS应用整体解决方案，目前公司主要有GIS基础软件、GIS应用软件、GIS云与大数据及国际化四大业务线。"
3,祝公司在老宋的领导下业务更上一层楼，股价早日沸腾！也祝老宋身体健康，心情愉快！,多谢您对超图的关注和关心
4,我挺关心公司GIS基础平台的销售数字，但往年的年报均没有提及，只是看新闻报道说2015年的收入达到2.5亿的规模，试问2016年是否达到2.6亿的规模，多谢,投资者，您好。公司主要从事GIS基础软件的研发销售及应用软件项目的实施，各类业务产品相辅相成，呈现良好的增长。公司不断创新，进一步提升了产品竞争力。2016年，公司平台软件合同额增幅超过30%以上，持续稳步提升。
5,李叔叔好，公司是什么时候上市的？,"投资者，您好：

   公司于2009年12月25日登陆深交所创业板。"
6,老宋好，我代朋友问 接下来的并购是哪个方向的？,"未来并购方向会沿着四大业务线展开
1）GIS基础平台业务线； 
2）GIS应用软件（行业解决方案）业务线；
3）大数据业务线（地图慧等）；
4）国际业务线。"
7,公司募投项目，预期如何？是否谨慎？,投资者您好，截至2016年底，公司SuperMap GIS9基础软件研发与产业化项目处于建设期，尚未投产；不动产登记系统产品研发及产业化项目、智慧城市空间共享框架研发及产业化项目均已实现收益。公司已按照相关要求使用募集资金，并对募集资金的管理情况和使用情况及时进行披露，不存在募集资金使用及管理的违法违规情形。
8,老宋好，我发现超图旗下的安图，国图信息，上海数慧，均有大量的地区业务的空白的，请问以上的子公司是否有计划网点和业务全国化，还是维持目前的自然发展的状态，这方面应该学南方数码的策略之前它是一家不起眼的公司，现在四处扩张,国图安图与超图总部都从事国土信息化业务，这几个公司在全国有优势区域分工，单个公司不必全国铺开。公司会发挥协作优势，在全国国土市场取得更大份额。上海数慧从事规划信息化，先切入高端城市市场，逐步向中下市场展开。
9,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司超图研究院主要从事GIS相关平台产品、基础产品、云产品、端产品及应用产品等的研发工作，公司将紧跟国家科技产业政策，根据IT技术前沿发展，进行GIS行业的前瞻性的研究，不断探索新的基础架构、算法、工具，推进GIS行业应用的领域的基础研究工作，运用前沿技术解决GIS行业的关键问题。
10,公司在广西，贵州的不动产情况如何？另宋总说的不动产和智慧超市均有大订单是说已经中标的还是另指在洽谈中的项目,公司在广西不动产登记占领大部分市场，贵州暂时没有进入。
11,能简单的介绍下新项目的情况吗？,公司于2017年3月以2.3亿元全资收购了上海数慧系统技术有限公司，上海数慧是一家从事规划信息化的公司。收购上海数慧有利于公司布局规划领域，实现协同发展。
12,公司去年主打产品的销量是多少？,公司主要从事GIS平台软件研发和销售、国土智慧城市等相关应用软件系统的开发、GIS云与大数据及国际化。2016年公司实现营业收入8.33亿元。公司基础平台软件销售稳步提升，合同额增幅超过30%以上，同时，在不动产、智慧城市业务收入也实现了同比快速的增长。
