,Question,Answer
0,请问公司产品太阳能电池背材用膜可以运用在哪些领域，同时该产品供货量大不大？,"你好：
裕兴的背板用聚酯薄膜主要用来做太阳能背板然后做组件，用于太阳能发电：比如大型电站，分布式电站等。
公司是全球太阳能背板用聚酯薄膜的主要供应商。出货量很大，具体可以通过年报了解，谢谢你的关心。"
1,公司投资新的生产线达产后预计对业绩会提高多少？,您好：公司投资的新生产线达产后预计年产能2万吨，具体请关注相关公告。谢谢！
2,公司1.28亿元投建高端功能聚酯薄膜项目，目前该项目进展如何？,"您好！
    目前进展顺利，在计划进度内进行，谢谢！"
3,公司目前负债率非常低，有没有考虑过并购一些优质资产来充实主业？,您好：关于这方面的问题，前面已有回复给投资者，请关注。谢谢! 
4,公司与汉能薄膜有无业务往来？,没有直接业务来往。
5,公司今年能完成激励的利润指标吗？,您好：公司三年期股权激励已经实施完毕。谢谢！
6,OLED的大规模运用对公司有无影响？,没有影响。
7,中东地区除石油外现在大力发展太阳能，请问公司有没打算拓展中东的业务？,对公司有利的业务我们在考虑拓展的。
8,美国新总统上台，他的政策是加大石油，页岩气天然气的使用，而不看好光伏，风能等新能源的利用，可以预见这势必会造成光伏产业链的不振，请问公司有什么应对措施。,新能源的开发利用是大势所趋，不是美国川普总统能左右的。
9,对于裕兴的未来，有没有兼并重组，发展第二主业的目标？,您好：关于这个问题，前面已有回复给投资者，请关注。谢谢!
10,请问雄安新区成立对裕兴的太阳能业务有没有大的市场机会？,应该有机会，主要是通过我们的背板客户进入雄安的太阳能市场。
11,海丰花卉上市进展如何？,海丰花卉的上市计划正在推进，谢谢！
12,公司的薄膜主要应用哪些领域？,"裕兴主要做中厚型双向拉伸聚酯薄膜，厚度从50-500um
主要应用在：太阳能背板，传统绝缘，电子，纺织等行业
详细信息你可以查阅公司年报或者网站。谢谢。"
13,贵公司有没有向外延伸扩张并购其他行业，多元化发展的打算？,您好：向外延伸扩张一直是公司的战略，所以一切皆有可能。谢谢！
14,近期浙大发明铝-石墨烯秒充超级电池，正极材料使用石墨烯膜，以前公司和浙大合作过，现在有机会把这项科技发明转化为商用吗？,您好：目前我们没有这方面的计划。谢谢！
15,请问贵公司的气凝胶产品进展如何，有没有推出市场？,您好：公司暂时没有关于气凝胶产品的推进计划，谢谢！
16,公司投资新的生产线预计什么时候能投产？,公司投资的新生产线计划年底投产，谢谢！
