,Question,Answer
0,有发展海外市场吗？如果有的话，能透露一下海外市场的份额吗？,您好。公司目前暂未开拓海外业务。如有此类计划，将严格按照法律法规、规范运作指引等规定进行信息披露并发布相关公告，感谢您的关注！
1,如何应对成本上升？,您好，感谢您对公司的关注！公司一方面通过持续提升工程施工管理水平和工艺标准化，来提高人员工作效率；另一方面，公司凭借内部培训机制不断培养出大量业务骨干，并建立良好的晋升渠道，维持核心人员的稳定；还通过扩大部品部件工厂化生产的规模和精细化的数据管理来降低对劳动力的依赖度。此外，公司充分利用规模优势，通过与上游主要原材料的生产厂家建立紧密的战略合作关系；同时，继续完善配送中心的原材料采购体系；如原材料价格持续上涨，将适当的通过产品涨价等方式合理转移成本上涨压力。谢谢。
2,请介绍下公司广东外的发展情况，以及未来的计划？,您好，公司2017年广东省外实现营收3453万元，未来公司将加大广州、重庆、长沙等市场开发力度，提高市场占有率，在家装业务方面，稳步实施募投项目，感谢您对公司的关注，谢谢！
3,行业竞争应该比较激烈吧，毕竟是没什么技术壁垒的，贵公司与同行业企业比有何优势和劣势？,您好，感谢您的关注！公司的优势和劣势如下：1、品牌优势。名雕股份自设立之初先后获得相关机构、知名媒体授予的数十项品牌方面的荣誉，体现了公司以品牌为代表的综合实力受到市场的广泛认可。2、设计优势。公司多年来坚持原创设计为本，在吸收国内外先进设计理念的基础上进行创新，形成了以人为本的“时尚、合理、人性、先进、功能、健康、环保”独特设计理念，并获得市场及行业的高度认可。3、公司通过吸纳、整合国际环保理念和技术标准，结合自身十余年家装行业的经验积累与沉淀，提炼出 “金钻工程”质量管理体系，并在施工项目中严格执行，全方位、严格保障每一项工程的品质。4、公司拥有综合配套能力优势。5、服务优势。公司设立了客户服务中心和售后服务中心，通过分工协作，为客户提供包括售前、售中和售后服务的全过程、全天候、全方位的优质综合服务。6、公司还拥有一体化信息平台优势。7、科技创新优势。公司将科技、智能、互联网思维融入家装服务过程，建立大数据资源库，推出了“云体验、云设计、云管控、云采购、云支付、云呼叫”的云家装体验式服务，客户使用移动智能终端即可通过APP客户端、PC客户端、微信公众平台、电商平台等入口，体验由VR、3D技术所展现的装饰全流程服务。
4,公司在售后质保上有什么突出优势？,感谢您对公司的关注。为实现公司一贯坚持的“精品”服务意识，公司设立了客户服务中心和售后服务中心，通过分工协作，为客户提供包括售前、售中和售后服务的全过程、全天候、全方位的优质综合服务，成就放心无忧家装工程。谢谢。
5,公司在保质保量又低价上如何权衡？,感谢您对名雕股份的关注。公司在参考行业相关信息资料的基础上，总结、沉淀十余年精良的施工工艺、严格的验收标准、优秀的服务水平，率先在行业提炼出装饰工程质量验收的各项标准，推出行业内领先的一体化服务标准——“金钻工程”。公司的质量管控、工艺和材料应用均严格按照“金钻工程”的体系运作，确保公司的每一项装饰工程具备钻石级的品质。
6,贵公司对与市场开拓有何具体计划？除了家装市场，还会考虑别的行业的投资吗？,"您好，感谢您对名雕股份的关注，公司未来3～5年的三大战略方向：
（1）工业化产品+装配式施工战略：以名启木制品为载体，在现有工业化产品定制的基础上，继续实践“家装工业化”，发力以标准化设计、工业化生产、装配式施工、信息化协同为核心的“产业化”布局。
（2）信息化平台赋能战略：以现有的名雕智装系统为基础，搭建家装智能生态平台，向同行业开放标准化管控模式，实现流量入口、业务标准模式、生态服务模式的共建、共享、共赢。
（3）高端大型生活体验中心战略：公司将加大家居生态链的部署与投入，继续以高端客户体验为核心，依托软装、配套硬装、家居用品、消费品，建设一个以家生活为主题的高端大型生活体验中心。谢谢！
"
7,公司今年有何发展计划？有没有并购计划？,感谢您对名雕股份的关注。公司今年计划具体业务方面：在家装业务方面，稳步实施募投项目，加大广州、重庆、长沙等市场开发力度，提高市场占有率；在精公装业务方面，通过与碧桂园等合作，为住宅精装修积累客户资源和奠定品牌基础；在木制品业务方面，确保募投项目建成投产，提高产能和效率，并加大产品线的研发力度。公司若有并购计划会根据相关披露政策进行披露，请关注公司相关公告，谢谢。
8,贵公司在国内的市场占有率怎样？与东易日盛等同行相比，你们有什么产品上的差异，或销售上的特点？,"您好，谢谢您对名雕股份的关注！通过持续的精细化管理和运作，公司已逐步发展为在品牌知名度、专业能力、配套服务及运营管理等方面领先的一体化住宅装饰企业，市场渗透能力和影响力日益增强。
公司拥有以下竞争优势：1、品牌优势。公司自设立之初先后获得相关机构、知名媒体授予的数十项品牌方面的荣誉，体现了公司以品牌为代表的综合实力受到市场的广泛认可。2、设计优势。公司多年来坚持原创设计为本，在吸收国内外先进设计理念的基础上进行创新，形成了以人为本的“时尚、合理、人性、先进、功能、健康、环保”独特设计理念，并获得市场及行业的高度认可。3、公司通过吸纳、整合国际环保理念和技术标准，结合自身十余年家装行业的经验积累与沉淀，提炼出 “金钻工程”质量管理体系，并在施工项目中严格执行，全方位、严格保障每一项工程的品质。4、公司拥有综合配套能力优势。5、服务优势。公司设立了客户服务中心和售后服务中心，通过分工协作，为客户提供包括售前、售中和售后服务的全过程、全天候、全方位的优质综合服务。6、公司还拥有一体化信息平台优势。7、科技创新优势。公司将科技、智能、互联网思维融入家装服务过程，建立大数据资源库，推出了“云体验、云设计、云管控、云采购、云支付、云呼叫”的云家装体验式服务，客户使用移动智能终端即可通过APP客户端、PC客户端、微信公众平台、电商平台等入口，体验由VR、3D技术所展现的装饰全流程服务。
"
9,公司的研发能力优势在哪里？,您好，公司经过多年努力，在研发方面开辟了一条以解决实际问题为导向、由专业人才主导、整合公司资源的实用型自主研发之路，建立了自主开发与合作研发相结合的自下而上、多层次、全方位的研发模式。感谢您的关注，谢谢！
10,最近股价是怎么回事？你们有做市值管理吗？,您好，二级市场价格受到多重因素影响，公司将继续以“引领家居潮流、提升生活品质”为使命，坚持“客户满意”的核心价值观，以住宅装饰产业为核心，紧扣家生活主题，通过个性化+全案装的核心业务，打造成为中国顶尖的一体化家居综合服务平台。感谢您的关注！
11,请介绍和梳理公司2018年第一季度收入和利润情况？,"您好，谢谢您对名雕的关注！公司2018年第一季度营业收入：110,537,867.46元，归属上市公司股东净利润：-18,160,917.10元。谢谢。"
12,未来盈利增长点在哪里？关联公司中有没有特别亮眼的？,您好，谢谢您对名雕股份的关注！公司以“引领家居潮流、提升生活品质”为使命，坚持“客户满意”的核心价值观，以住宅装饰产业为核心，紧扣家生活主题，通过个性化+全案装的核心业务，打造中国顶尖的一体化家居综合服务平台。未来3～5年，公司制定了三大战略方向：1、工业化产品+装配式施工战略：以名启木制品为载体，在现有工业化产品定制的基础上，继续实践“家装工业化”，发力以标准化设计、工业化生产、装配式施工、信息化协同为核心的“产业化”布局。2、信息化平台赋能战略：以现有的名雕智装系统为基础，搭建家装智能生态平台，向同行业开放标准化管控模式，实现流量入口、业务标准模式、生态服务模式的共建、共享、共赢。3、高端大型生活体验中心战略：公司将加大家居生态链的部署与投入，继续以高端客户体验为核心，依托软装、配套硬装、家居用品、消费品，建设一个以家生活为主题的高端大型生活体验中心。
13,24小时在线工地是指给工地安摄像头吗？还是仅工人拍照？怎么做到没死角呢？,公司会根据客户需求，通过项目工地现场的固定摄像头实现家装现场可视化，在关键施工及验收节点，通过流动记录仪记录细节全过程，客户也可通过名雕智装系统实现对工地现场的远程在线监控。
14,刘总升任董秘后公司长期不聘任证代，请问刘总精力充沛足以完成董秘应该履行的相应责任与义务吗？,感谢您对公司的关注，公司将按照相关规定聘任证券事务代表，敬请关注相关公告，谢谢。
15,贵公司的主要竞争对手是哪些？,统计数据显示，2016年度行业前50强家装企业总产值471.4亿元，占家装行业总产值的比重仅为2.65%。这也意味着，目前已经有品牌积累和资金实力的装饰公司通过市场的优胜劣汰和行业整合，能够逐渐形成具有行业领导力、市场指向型的龙头住宅装饰公司。感谢您的关注！
16,公司怎么理解家装的美观和环保相结合？,公司倡导建设低碳健康的生活环境。通过不断研发创新型家居环保健康材料和工艺，大力发展节能环保家居空间，创造了许多可以学习和借鉴的减废模式，成为发展低碳环保的排头兵。定期在社区举办家居知识讲座，把“时尚、合理、人性、先进、功能、健康、环保”的理念传播和宣导到广大人民群众之中。产品从绿色、节能向智能化、集成化转变，新型环保材料、节能设计理念已经深度融入住宅装饰产品的使用功能、美观、个性化需求之中，住宅装饰必须依托物联网技术，充分运用各类智能家居产品及系统，提升生活品质，实现人们对美好生活向往的需求。
17,公司如何降低人工成本？,您好，感谢您对名雕股份的关注！在降低人工成本上，公司一方面通过持续提升工程施工管理水平和工艺标准化，来提高人员工作效率；另一方面，公司凭借内部培训机制不断培养出大量业务骨干，并建立良好的晋升渠道，维持核心人员的稳定；还通过扩大部品部件工厂化生产的规模和精细化的数据管理来降低对劳动力的依赖度。
