,Question,Answer
0,请问公司在内部控制上有什么新的改进？,投资者您好！公司按照上市公司治理规则和财政部颁发的内部控制基本规范及配套指引，建立了规范的内部控制体系。在实施过程中，我们通过定期内部控制评价，也发现了一些制度设计和执行中的缺陷，但都不是重大缺陷和重要缺陷。我们会通过内部审计总部对内控缺陷的整改状况的持续追踪，督促公司内控体系不断改进和提升，推动公司管理水平的不断进步。
1,公司是否考虑和一些电影公司或电视台合作，将景区植入到影视作品之中，以提高知名度呢？,投资人您好！谢谢您的建议，公司会考虑多种形式的宣传手段，包括和影视作品合作。公司旗下的梵净山景区近期在抖音上发布了梵净山航拍的视频，也收获了不少的点击率。
2,公司定增的募投项目具体是什么呢？预计何时投产？,公司本次非公开发行募集资金的用途是归还银行贷款和补充流动资金，未确定具体的募投项目。谢谢！
3,请问股权质押对贵司经营有否影响？,在股东层面的上市公司股票质押，上市公司层面的公司子公司股权质押在市场上都是非常常见、成熟的融资手段。公司会做好财务计划，确保公司稳健经营。
4,公司的经营是否会受到季节性因素的影响？,旅游行业一般受季节性影响，本公司的旅游项目在全国的布局大部分在冬季是淡季，海南项目在冬季是旺季。谢谢！
5,你们预计今年能继续保持盈利吗？,投资者您好！2018年公司将继续增加盈利公司的盈利能力，加大在培育期项目子公司的扭亏力度，2018年预计营业收入5.95亿元，营业成本2.73亿元。公司有信心在2018年继续保持盈利。
6,坪坝营项目建设处于什么阶段，何时运营盈利,坪坝营三期项目建设尚在进行中，坪坝营景区一直在正常经营，虽在市场培育期，但每年整体亏损逐年减小。谢谢！
7,预计今年利润增长点是什么？,预计梵净山项目、海南猴岛项目、千岛湖项目等景区和索道的收益将有新的增长。谢谢！
8,长江商报关于贵司借助天台山项目增资，实际上纸上谈兵的报道是否属实？真实情况如何？,投资者您好。针对这一报道，公司立刻与相关媒体，项目所在地政府部门进行了深入和坦诚的沟通，消除了彼此间的误会。目前，该项目正在正常推进中，不存在纸上谈兵的情况。
9,公司目前还有哪些景区资源储备？,投资人您好！目前公司储备的项目包括千岛湖牧心谷项目、太平河项目、华阴老腔故里项目等。上述项目都具备一定的开发潜力。
10,天台山景区未来将会如何,投资人您好，目前该项目正在正常推进过程中。
