,Question,Answer
0,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,您好，公司认为市值管理的核心是公司价值，基础是公司业绩，对于公司来说，最重要的是努力提高经营业绩，回报投资者，谢谢。
1,陈叔叔好，斯米克，中航三鑫，东力传动于2007年8月23日上市，公司的主营业务是什么？,您好，公司主营业务是齿轮箱、电机、门控系统等通用设备的制造、加工和销售。
2,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",您好，上市公司董事、监事、高级管理人员应当遵守法律、行政法规和公司章程，对公司负有忠实义务和勤勉义务。 
3,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，公司有专人负责舆情监控，公司与主要媒体保持良好合作和沟通关系，现正在逐步完善舆情危机应对方面的制度，以期建立起危机公关的快速响应机制；同时，公司关注微博等新兴媒体，出现负面舆情，将积极应对，以维护公司和投资者利益。谢谢。
4,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",谢谢对公司关注，公司2017年营业收入将超过2016年， 上半年利润预计比上年同期超过277%。
5,请问公司在财务结构上有什么不足，打算采取哪些举措。,公司属于机械制造行业，目前行业特点是资产较重、受经济周期影响较大等特点，所以资产周转率和流动比率较低，近年来公司持续加大催收应收帐款、扩大销售渠道及丰富客户类型，通过提升销售和回款，优化了公司客户结构及资产状况。谢谢关注。
6,对比大股东而言，中小投资者的合法权益有哪些特别之处？,您好，公司重视保护中小投资者的合法权益，坚持信息公正公开披露，并遵守证监会及交易所等监管机构的相关规定，重视对中小投资者的权益保护，谢谢。
7,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好！公司属于传统制造业，积极采用先进技术改造传统制造方式，淘汰高消耗落后技术、工艺和产品，降低能耗、污染物排放，大力推行清洁生产，努力实现废弃物的资源化、减量化、无害化。谢谢！ 
8,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,2016年完成预订目标，尤其在销售、回款、科研等方面取得较好成绩。2017年营业收入将超过2016年，具体工作方针等信息详见年报。
9,请问公司的分配预案达到承诺的分红比例吗？,您好，公司分配预案符合公司章程及三年股东回报规划相关规定。
10,今年人工费用是否还会出现阶段性上涨？, 人工费用上涨，今年订单增加，将进一步提高生产效率，使员工收入增长和企业效益相互促进。
11,公司的前5名供应商是什么，与公司存不存在关联关系？,我司主要供应商有浙江长兴前进、杭州新炜五金、宁波炳龙机械、连云港银洁、河南龙成重工及国家电力公司等，均不存在关联关系，谢谢
12,请问未来公司对稳定股价会做出哪些举措？,您好，公司努力提高经营业绩，回报投资者。
13,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,公司管理费用保持稳定，２０１６年同比增长３%，公司财务费用持续降低，２０１６年同比降低约１９%，详细请看我司２０１６年年报。谢谢。
14,你怎么看公司的业绩和公司的股价和市值的？,您好，股价受股市大环境、经营业绩、重组预期等诸多因素的影响，对于公司来说，最重要的是努力经营好业绩，谢谢！
15,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,公司实际控制人持股41.59%，其他为流通股，拥有一定控制权，有利于治理结构相对稳定。
16,目前公司享有的国家优惠政策有哪些？,您好，公司子公司东力传动、欧尼克科技是宁波市高新技术企业，企业所得税税率按照15％执行。
17,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,公司每年都制订经营计划，并认真落实，目前公司产品销售趋势良好，营业收入和利润会有较大提升，请关注我司发布的定期报告内容，谢谢。
18,公司截至目前为止都有哪些子公司和参股公司？,您好，子公司主要包括东力传动、东力齿轮箱、东力物资、欧尼克公司、邯郸东力、四川东力，参股公司包括马钢东力、云铜东力、佳和小贷，具体详见公司2016年年报。
19,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,２０１７年一季报公司营业收入约１.３２亿元，同比增长约２５%，归属于上市公司股东的净利润约４１１万元，同比增长约２９７%，具见我司于４月２８日公告的一季报，谢谢。
20,在企业文化方面，公司有什么特色吗？,东力核心价值观：忠信笃敬 止于至善；东力使命：为员工提供机会，为股东创造价值，为社会承担责任；东力口号：驱动无限可能；东力精神：惟有坚持百忍，才能无所不能；谢谢！
21,请问净利润的增长率和销售收入增长同步吗？,"您好，2016年度公司净利润增长率3.72%,营业收入增长率2.73%，详见公司2016年年度报告披露。"
22,"您好!贵公司股价一直跌，是不是重组要失败啊？
贵公司提交较早，按理应接老政策审核，不存在蛇吞象一说。",股价受诸多因素影响，近期重组趋严，存在不确定性，谢谢关注。
23,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,"公司主要竞争对手包括SEW,南高齿等企业，公司在工业齿轮行业处于第一梯队。"
24,请问董事长，您和总经理名下有没有未注入上市公司的其他资产（公司）呢？,您好，名下没有注入上市公司的公司主要有东力集团、杭机集团等公司，详见公司2016年年度报告中关于董事长的任兼职情况。
25,请问董事长平时与公司前十大流通股东有交流吗？,"您好,董事长与部分股东有交流。"
26,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,"您好,2017年一季度归属于上市公司股东的净利润为410.64万元,一季度报告详见公司4月28日的相关披露."
27,重组是否被外界预计失败几率大，导致股价成这样？,股价受诸多因素影响，近期重组趋严，存在不确定性，谢谢关注。
28,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,公司的发展战略是努力打造中国传动领域最具影响力的品牌。同时，充分利用上市公司资本平台，在战略新兴产业和先进服务业等领域，积极稳妥地通过兼并、收购、控股等多种方式，推进外延性发展，提升公司整体价值，以实现产业经营与资本经营的有机结合。
29,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,感谢对公司的关注和建议，公司在IPO时对业务骨干实施间接持股激励。
30,贵公司重组进行这么久，但股价却这样，是不是重组判定失败导致的,股价受诸多因素影响，近期重组趋严，存在不确定性，谢谢关注。
31,您好，截止4月30日，贵公司股东人数是多少，谢谢!,您好，截止4月30日，公司股东人数为42387户。
