,Question,Answer
0,公司计划集中优势研发资源开展哪些相关技术的研发？,您好。在电力自动化电源领域，奥特迅将重点研发和推广新一代基于智能型母联装置的高可靠性直流电源系统；在电动汽车充电领域，奥特迅将持续对电动汽车柔性充电堆产品及其关键部件进行研究和优化，重点研究30kW宽输出电压范围充电模块、大功率充电技术、即插即充技术、V2X技术等，并积极开展基于堆技术的集约式柔性公共充电模式研究以及应用推广，积极开展电池储能技术和微网技术的整体方案研究。谢谢！
1,公司有哪些同业竞争对手？相比有何优势？,公司的竞争对手主要有许继电气、国电南瑞、特锐德、万马股份等，奥特迅优势在于：1.勇创行业换代产品，产品拥有自主知识产权；2. 负责起草和参与制定国家及行业标准；3. 拥有20年工业大功率充电设备研发、制造、运行经验，是电力自动化电源细分行业的龙头企业，我国目前唯一核安全级高频开关电源供应商；4. 从1993年至今奥特迅工业充电设备已在20000多个发电厂、变电站投入运行；奥特迅交付的变电站工业电源设备累计市场占有率均在国网、南网为第一。谢谢！
2,公司未来有无与特斯拉合作的计划？,您好，公司目前与特斯拉暂无合作计划，未来不排除会根据实际情况与特斯拉建立合作关系。谢谢。
3,公司海外业务目前发展如何？贸易战对公司有无影响？,您好，公司营业收入基本来自国内，中美贸易摩擦对公司没有影响，谢谢。
4,一季度亏损985万，接下来如何改善？,"您好，公司受产业因素影响，季节性的峰谷期特征显著；历来，一季度是公司业绩的谷期，第四季度是公司业绩的峰期。2018年亏损或预计亏损的主要原因为：1.在电力行业总招标量下降的大势下，公司订单下滑；2.受国际原材料上涨行情影响，产品成本增加，毛利下降；3.公司正加大新能源业务的投资，投入与产出暂不能匹配。
为应对市场变化及风险管理措施，在充分保持原有市场份额的前提下，公司一方面已积极挖掘不同产品链条的市场潜在机会与契机；一方面已积极推进内部管理激励，充分调动全员价值贡献。
感谢您的关注。
"
5,公司准备集中优势研发资源进行哪些相关技术的研发？,您好。在电力自动化电源领域，奥特迅将重点研发和推广新一代基于智能型母联装置的高可靠性直流电源系统；在电动汽车充电领域，奥特迅将持续对电动汽车柔性充电堆产品及其关键部件进行研究和优化，重点研究30kW宽输出电压范围充电模块、大功率充电技术、即插即充技术、V2X技术等，并积极开展基于堆技术的集约式柔性公共充电模式研究以及应用推广，积极开展电池储能技术和微网技术的整体方案研究。
6,在布局国内市场的同时，公司有开拓海外市场吗？,您好，公司主要深耕于国内市场，目前电动汽车充电业务正在做开拓海外市场调研，谢谢。 
7,公司2018年半年度亏损的原因是？如何改善？,"您好，公司2018年半年度亏损的主要原因为：1.在电力行业总招标量下降的大势下，公司订单下滑；2.受国际原材料上涨行情影响，产品成本增加，毛利下降；3.公司正加大新能源业务的投资，投入与产出暂不能匹配。
为应对市场变化及风险管理措施，在充分保持原有市场份额的前提下，公司一方面已积极挖掘不同产品链条的市场潜在机会与契机；一方面已积极推进内部管理激励，充分调动全员价值贡献。
感谢您的关注。
"
8,奥特迅工业园的投资建设的怎样了？何时能有产能？,"您好，奥特迅工业园截至2017年底已累计投入资金51,574,895.60元；目前工程施工已建到地上第4层，预计2018年10月封顶；计划2019年下半年量产。感谢您的关注。"
9,“十三五”期间新能源汽车充电桩的市场规模将高达1300亿元左右，给公司带来了哪些利好？,"首先，在这片炽热的红海上，做为该产业链的一份子，无论是营业收入还是净利润的贡献上，都不容忽视；
其次，我司于2009年进入电动汽车充电领域， 是国内最早进入电动汽车充电领域的厂家之一，连续多年的技术深耕细研，于2015年已向市场提供第二代电动汽车充电技术——矩阵式柔性充电堆；其产品通过中国电力企业联合会组织的新产品鉴定，鉴定结论为“功率分配技术填补了国内空白，整体技术达到国内领先水平。”
第三，第二代电动汽车充电技术已应用于集约式柔性公共充电站，以“集约资源  功率共享  即充即走  均衡布局”的特点，满足各种车型不同功率充电需求，可为任一终端所连接的电动汽车动态匹配其所需的充电功率。截至2017年底，公司已在深圳地区投资运营的集约式柔性公共充电站为32座，正在建设及拟建设的充电站有数十座。2018年下半年，公司将继续在北京、上海、西安、广州、深圳等地区推进基于电动汽车充电堆技术的集约式柔性公共充电站的投资建站、运营与合作建站及运营，以期打造安全、便捷、低碳的城市公共充电网络，为创造美好生活正奋勇努力。
感谢您的关注。
"
10,集约式柔性公共充电站公司已建成多少了？2018后半年的计划是？,您好，截至2017年底，公司已在深圳地区投资运营的集约式柔性公共充电站为32座，正在建设及拟建设的充电站有数十座。2018年下半年，公司将继续在北京、上海、西安、广州、深圳等地区推进基于电动汽车充电堆技术的集约式柔性公共充电站的投资建站、运营与合作建站及运营，以期打造安全、便捷、低碳的城市公共充电网络。谢谢 ！
11,与同行业主要的竞争对手相比，公司的核心优势是？,您好，奥特迅具备持续创新优势、标准制定优势、系统集成优势、营销网络优势、人才资源优势，详情请查看公司2017年年度报告“第三节公司业务概要-三、核心竞争力分析”，谢谢。
12,子公司西安奥特迅电力给公司带来了多少创收？,"您好，2017年度，子公司西安奥特迅电力电子技术有限公司实现营业收入20,187,996.97元，实现净利润1,519,808.74元 。感谢关注。"
13,公司目前研发实力如何？,您好。奥特迅拥有二十余年工业充电器的设计、研发、制造经验，培养了一支经验丰富、有创造力的研发团队；同时，奥特迅与多所高校及研究机构开展合作，不断拓展新的产品方向；奥特迅积极参与国际、国家及行业标准的制定，负责起草或参与制定了40多项国家及行业标准；奥特迅大力提倡创新，研发的多个产品填补了国内空白，业内领先。截止2017年底，公司研发人员占公司总人数的比例为40%，研发投入占公司营业收入的比例为11.69%，在行业内处于较高水平。
14,去年政府补贴有多少？,您好，公司2017年度确认的政府补助金额总计1151.52万元。谢谢。
15,国家电网计划到2020年建设电动汽车公共充电桩12万个，公司对此是如何响应的？,国家电网于4月启动今年第一批次充电桩招标工作，我司已积极响应投标，目前正等待国家电网公布招标结果。国家电网一直都是我司的重大客户，均本着第一时间响应国家电网的需求。感谢您的关注。
16,深圳光明新区“奥特迅工业园”项目目前进展如何？,"您好，奥特迅工业园截至2017年底已累计投入资金51,574,895.60元；目前工程施工已建到地上第4层，预计2018年10月封顶。谢谢！"
17,公司旗下子公司有无单独上市计划？,您好，公司旗下子公司目前暂无单独上市计划。谢谢！
