,Question,Answer
0,公司未来五年的目标是多少？能够实现吗？,"您好！公司将持续以改善行业生态为己任，引领“建筑互联网”新发展。依托强大的科技和产业优势，以客户需求为导向，以创新为核心，以科技产品和增值服务为载体，打造产业级供应链电商平台“建研家商城”，助力建筑行业的优化和升级。
为了降低环境污染、去除过剩产能、优化资源配置，2017年国家将主抓“三去一降一补”，而装配式建筑必将承担着生态文明补短板和钢铁行业去库存的重任。公司建筑工业化研究所将以国家政策为导向，以科研成果为支撑，推进装配式建筑业务的快速发展。
“一带一路”发展战略持续加快，公司将紧随国家跨境投资发展步伐，充分利用内、外部资源，优化产业结构，在提升国内市场份额的同时，不断攻克海外市场。
谢谢！
"
1,请问净利润的增长率和销售收入增长同步吗？,您好！公司的业绩情况敬请关注公司于指定媒体披露的定期报告。谢谢！
2,请问公司目前产能多少？,您好！公司已于2017年3月28日发布2016年年度报告，公司产能情况再报告第四节”经营情况讨论与分析“进行了详细描述，敬请查阅。谢谢！
3,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,您好！公司将突破边界壁垒，积极开拓项目渠道，挖掘优质投资项目，加快投资并购落地，践行“跨区域、跨领域”发展战略，为公司创造盈利新亮点。 进一步突出以检测为核心的技术服务主营业务，拓展检测新领域业务，延伸大健康消费市场。谢谢！ 
4,能简单的介绍下新项目的情况吗？,您好！具体项目情况敬请关注指定媒体的相关公告。谢谢！
5,请问公司今年营收的增长能超过行业的平均水平吗？,您好，公司将延续“跨区域、跨领域”发展战略，积极推进横向延伸，持续做大做强工程技术服务和混凝土外加剂新材料两大主营业务，不断扩大市场份额，积极回报股东和投资者。
6,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好，公司已于2017年03月16号公告2017年限制性股票激励计划草案，详情请查阅公司公告，谢谢。
7,如何看待一带一路建设，是否积极参与其中,公司积极参与一带一路建设，实施海外业务拓展激励政策。感谢关注。
8,公司截止目前的股东总人数是多少？,您好！1、公司股东情况作为上市公司的一项重要信息，我们根据监管部门的披露要求定期在指定媒体上进行公开披露。2、根据公司章程规定，公司股东有权查阅公司股东名册，您可以携带相关证明文件来公司证券部查询，不便之处敬请谅解。谢谢！
9,请问公司以后每年会用什么形式回馈股东？,您好！公司已于2015年3月31日发布《未来三年股东回报规划（2015-2017年）》（公告编号：2015-009），具体内容敬请查阅相关公告。谢谢！
