,Question,Answer
0,叔叔不要生气，真的很喜欢叔叔,谢谢
1,刘叔叔好，请问叔叔也在成都吗？是否可以来公司参观,尊敬的投资者，非常感谢您对本公司的关注。
2,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,尊敬的投资者，非常感谢您对本公司的关注。请关注公司2016年年度报告。谢谢。
3,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,尊敬的投资者，感谢你对公司的关注。请持续关注公司公告。谢谢。
4,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",投资者，您好！项目进展请关注公开披露信息。谢谢关注！
5,公司在税收方面有没有相关的优惠政策？具体税率是多少？, 有！根据国家税务总局下发的《关于深入实施西部大开发战略有关企业所得税问题的公告》(国家税务总局公告2012年第12号)，2016年度本公司及子公司西安山鼎的企业所得税按15%税率执行。
6,请问公司的分配预案达到承诺的分红比例吗？,投资者，你好！公司2016年度分配预案已达到承诺的分红比例，谢谢！
7,公司有没有股权激励计划？,尊敬的投资者，感谢你对公司的关注。请关注公司公告。谢谢。
8,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,您好！独立董事勤勉尽责，详见2016年年度报告及述职报告。
9,请问公司以后每年会用什么形式回馈股东？,尊敬的投资者，感谢您对公司的关注。公司目前以现金分红回报股东，后续回馈股东方式请关注公司公告。谢谢。
10,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,尊敬的投资者，感谢您对公司的关注。请关注公司公告。谢谢
11,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,投资者，您好！公司经营按计划进行中，具体请关注公开披露信息。
12,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,尊敬的投资者，感谢你对公司的关注。请见公司2016年年度报告。谢谢！
13,袁叔叔好，你可以做我叔叔，哈哈，你咋看成都楼市调控政策？,投资者，您好！近期，政府持续出台楼市调控政策，“因城施策”、供给端针对房屋土地规划的调控思路将延续，谢谢关注。
14,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,投资者，您好！公司经营按计划进行中，具体请关注公开披露信息。
15,公司未来3年发展前景如何?,尊敬的投资者，您好！请大家对未来发展前景充满信心，公司会努力提升业绩，回报广大的投资者，谢谢！
16,在企业文化方面，公司有什么特色吗？,尊敬的投资者，感谢您对公司的关注。公司重视企业文化建设，为公司员工提供舒适的工作环境，丰富的业余生活。谢谢！
17,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,您好，感谢您对公司的关注。公司非常重视客户需求，对符合公司战略发展的客户有详细的服务流程和计划。谢谢。
18,行业有没有周期性？,建筑设计行业的周期性与建筑业及房地产业密切相关，并且存在一定的前置效应。建筑业及房地产业的发展与宏观经济背景息息相关，具有一定的周期性，进而建筑设计行业也存在一定的周期性。
19,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",您好，感谢您对公司的关注。公司的竞争对手有基准方中、筑博、汉嘉、天华、悉地等。外延式生长和资本运作是未来企业做大做强很重要的一个方式，公司在专注主营业务发展的同时，会结合实际在合适的时机通过资本运作实现战略目标，全面提升市场竞争力和持续发展能力，也希望公司的经营成果能在市值上有所体现。谢谢。
20,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好，感谢您对公司的关注。外延式生长和资本运作是未来企业做大做强很重要的一个方式，公司在专注主营业务发展的同时，会结合实际在合适的时机通过资本运作实现战略目标，全面提升市场竞争力和持续发展能力，也希望公司的经营成果能在市值上有所体现。谢谢。
21,公司生产经营的季节性如何?哪个季节是旺季?,您好！公司近年业绩季节性不明显；公司主营业务是提供建筑工程设计及相关咨询服务，营业收入受项目开发进度的影响较大。谢谢关注！
22,请问公司公司的核心竞争力是什么？,"1、较为全面的建筑设计能力及客户服务能力
公司拥有较为全面的建筑设计能力及客户服务能力。其一，公司提供的建筑设计服务涵盖了住宅、城市综合体、公共建筑、规划、景观和室内设计等领域。其二，公司具备全流程服务能力，即能向客户提供从前期咨询、概念设计、方案设计、施工图设计、施工配合等一系列服务，其中，尤以方案设计创意能力见长。其三，公司服务的客户类型较为丰富，涵盖国有企业、民营企业、跨国公司及政府机构等。
2、兼具国际视野及丰富本土实践经验的设计师队伍
公司部分核心管理人员及技术人员拥有美国、新加坡等发达国家建筑设计领域的工作经验，在创作理念及设计工作流程上均具有国际化的视野及标准；同时，公司自成立以来创作设计了大量项目，又积累了丰富的本土设计实践经验。
3、BIM综合设计能力行业领先
BIM（建筑信息建模）是一种应用于工程设计建造管理的数据化方法和技术，通过综合参数化信息模型整合提交项目的各种信息，在项目策划、设计、施工以及运行维护的全生命周期过程中进行共享和传递；同时提供实时仿真模拟和分析，为开发、设计勘察、施工及物管单位在正确决策、优化质量、高效管理、节约成本和降低风险方面发挥重要作用。BIM技术可明显改善项目产出和团队合作效率，提升三维可视化和信息沟通，缩短施工周期，减少各专业协调时间从而提高企业竞争力。
公司紧跟最新技术发展趋势，组建了BIM设计综合所，拥有行业内综合实力领先的BIM设计团队，具备全专业、全流程的BIM设计能力，并且多次在BIM设计大赛中荣获奖项。
4、具备实践基础的领先环保意识
在业务实践中，公司一直有意识地推动绿色低碳建筑的研究及应用，比如，公司在设计西藏自然科学博物馆时，充分考虑了当地气候环境特点，运用太阳能光热采暖系统和太阳能光伏发电系统，提升了建筑的整体能源利用效率和公司的绿色建筑设计水平。
5、从区域向全国布局的品牌效应
公司在根植西部的同时，也在逐步推进业务全国布局的进程。公司在华东、华北及东北区域设计了很多有代表性的项目，山鼎设计品牌效应正逐步由西部延伸到全国范围。并且，公司将借助资本市场的力量，完成全国范围内的战略布局。
"
23,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,尊敬的投资者，非常感谢您的关注，山鼎设计将在专注主营业务的基础上，利用资本市场平台做好战略发展，谢谢！
24,请问，到4月30日的股东人数是多少？谢谢,尊敬的投资者，感谢您对公司的关注。公司会根据深交所信息披露规则在定期报告中披露对应时点的股东人数信息。谢谢！
25,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,多谢鼓励！一定努力！
