,Question,Answer
0,公司有进入新零售领域吗？有何布局？,您好！感谢您的关注。新零售的本质还是商品，服务，流通的深度融合，公司将通过优化销售网络，开发优质产品，整合供应体系积极布局新零售。
1,公司有哪些同业竞争对手？相比有何优势？,您好，感谢您对公司的关注。公司主营业务是干果、坚果果仁、鲜果等，主打产品有新鲜苹果、葡萄干、松子及松子仁等；在单一业务上存在不同的竞争对手；公司产品线较丰富，能够规避单一产品价格波动对公司的影响。
2,一季度亏损456万，接下来如何改善？,您好！感谢您的关注。公司将调整经营策略，深耕客户需求，围绕“以客户为中心”，拓展国内和国外的销售渠道，增加产品的品类，提升公司的业绩。另外公司将不排除通过兼并、收购、股权投资等方式进一步完善公司产业结构。谢谢。
3,在国内我怎么从来没看到过贵公司的产品？超市没有，批发市场也没有。其他国家挣着打开中国的市场，贵公司放弃了吗？目前国内正处于消费升级阶段，真正好的产品销路还是不错的。我的几个小伙伴靠微商推广销售国内特色水果，一年营业额近1个亿！,您好！感谢您的关注。公司目前在国内主要渠道是电商平台，烘焙企业大宗销售，连锁餐饮的代工，商超渠道。公司未来将开拓国内其他渠道，增加新的产品品类，将公司的最优质的产品推向市场。谢谢。
4,公司是如何保障产品安全性的？,您好！感谢您的关注。公司建立了一整套从产地到餐桌的食品安全控制体系，生产环节获得了HACCP(全球良好农业操作规范）认证， BRC（英国零售商工会为食品供应商专门制定的质量体系审核标准）认证，KOSHER（洁食/犹太食品安全）认证及QS（中国食品质量安全）认证，厂区通过GFSI认证（全球食品安全倡议；公司有7万余吨储量的冷库规模，具有国内先进的干鲜冷链共享技术，能在保证产品品质情况下提高原料的存储期限。
5,公司的数据中心租赁情况怎样？什么时间贡献利润啊？,您好，感谢您对公司的关注。太原数据中心已交付运营；于2017年开始有收益。
6,公司的销售渠道单一，产品单一，这回严重影响公司的发展。希望公司积极进取，真正为投资者带来回报。,您好，感谢您对公司的建议。公司重视国内市场的开发、新品研发，把握国内消费升级的趋势。
7,国内市场才是重头戏，希望公司高层引起重视。13亿的人口规模！,您好，衷心感谢您对公司的建议。
8,被郑商所指定为苹果期货交割仓库对公司有哪些影响？,您好，感谢您对公司的关注。苹果业务作为公司主营业务之一，公司以交割仓库为依托，有利于公司苹果套期保值业务的开展，规避风险。
9,公司有发展互联网增值业务吗？结合“互联网+”，公司有何布局？,您好，感谢您的关注。互联网数据中心业务，公司团队全程参与太原数据中心项目建设，积累了宝贵经验，培养了公司团队；同时积极探索基于互联网数据中心可开展的互联网增值业务，增强公司竞争力，提高公司盈利能力。目前已申请IDC/ISP业务经营许可证。未来，公司将坚定“农副产品加工+数据中心”双主业的方向，不排除通过并购等方式，加快转型进度。
10,公司产品外销主要是印尼和东南亚吗?俄罗斯有没有涉及？公司的干果也是外销为主吗？中国这么大的市场为啥打不开？公司的进口坚果系列受贸易战影响如何？,您好，感谢您对公司的关注。公司鲜果出口的主要国家和地区是印尼、东南亚、南亚等；近年公司出口俄罗斯的占比较小。目前公司在积极开发国内市场；贸易战对公司业务的正常经营没有影响。
11,公司有无海外业务？贸易战对公司有无影响？,您好，感谢您对公司的关注。公司干果、坚果等有在欧美发达地区销售；贸易战不影响公司业务的正常开展。 
12,太原数据中心项目已交付运营了吗？预计会给公司带来多少收益？,您好，感谢您对公司的关注。太原数据中心已交付运营；收益情况请关注公司定期报告。
13,公司有打开欧美发达地区市场吗？中美贸易战对公司有何影响？,您好，感谢您对公司的关注。公司干果、坚果等有在欧美发达地区销售；贸易战不影响公司业务的正常开展。
14,在国家层面推动下，大数据产业近年来保持蓬勃发展态势，公司在最近一年里有何战略规划？,您好，感谢您对公司的关注。公司积极探索基于互联网数据中心可开展的互联网增值业务，目前已取得IDC/ISP许可证，部分区域云牌照资质。
