,Question,Answer
0,刘保京案在2017年半年报里就公告说完结了，为什么在年报中又影响利润了？,"尊敬的投资者，您好！2017年7月31日根据北京市高级人民法院终审判决书支付总计金额6,575.28万元。该案已结案。2017年度本期计入营业外支出5,180.87万元。感谢您的关注！"
1,公司和恒大的战略合作，主要集中在哪些方面？,"尊敬的投资者，您好！

        公司与恒大的合作主要集中在恒大地产和恒大旅游的门窗幕墙项目。谢谢您的关注！"
2,田董事长的业务销售80亿合同额，叫人兴奋，点赞。请问，按照贵公司计划安排和工程结算进度，预计201年底能完成多少营业额？,尊敬的投资者您好，感谢您对公司的关注！公司实践三大主业协同发展的战略，形成三极组合驱动格局，专注发展节能门窗幕墙、太阳能光伏光热、智能装备三个战略方向。在稳步发展节能门窗幕墙业务的同时，利用公司在光伏建筑一体化领域的技术优势，充分发挥在工程管理、上市公司融资平台等各方面的综合优势，全面拓展光伏电站EPC市场份额，形成新的利润增长点；在智能装备及与主业相关领域清洁机器人方向深入布局，坚持科技创新引领，集中优势资源，通过中高温集热管全自动生产线、光伏边框全自动生产线等智能装备系统产品拓展光伏光热及智能装备市场份额，发展成为细分行业龙头，为公司持续、快速、健康发展奠定基础，预计2018年门窗幕墙业务销售合同额45亿，光伏业务销售合同额30亿，智能装备业务销售合同额6亿元。公司将严格按合同之约定服务好客户，2018年度实现的营业额及业绩情况请您持续关注公司的定期报告。 谢谢 ！
3,田董事长的业务销售80亿合同额，叫人兴奋，点赞。请问，按照贵公司计划安排和工程结算进度，预计2018年底能完成多少营业额？,尊敬的投资者您好，感谢您对公司的关注！公司实践三大主业协同发展的战略，形成三极组合驱动格局，专注发展节能门窗幕墙、太阳能光伏光热、智能装备三个战略方向。在稳步发展节能门窗幕墙业务的同时，利用公司在光伏建筑一体化领域的技术优势，充分发挥在工程管理、上市公司融资平台等各方面的综合优势，全面拓展光伏电站EPC市场份额，形成新的利润增长点；在智能装备及与主业相关领域清洁机器人方向深入布局，坚持科技创新引领，集中优势资源，通过中高温集热管全自动生产线、光伏边框全自动生产线等智能装备系统产品拓展光伏光热及智能装备市场份额，发展成为细分行业龙头，为公司持续、快速、健康发展奠定基础，预计2018年门窗幕墙业务销售合同额45亿，光伏业务销售合同额30亿，智能装备业务销售合同额6亿元。公司将严格按合同之约定服务好客户，2018年度实现的营业额及业绩情况请您持续关注公司的定期报告。 谢谢 ！
4,请问公司跟万达有合作吗？,"尊敬的投资者，您好！
        公司与万达一直有项目合作。谢谢关注！
 "
5,请问公司有布局雄安新区吗？,"尊敬的投资者，您好！
公司将抓住历史机遇，拓展雄安新区项目建设
在京津冀协同发展的背景下，北京等地企业参与雄安建设具有先发优势；公司响应疏解非首都功能战略部署，在威县-顺义产业园投资建设的嘉寓节能科技产业园是河北省疏解非首都功能重点引进项目，已经于2016年建成投产，在项目建设过程及生产经营过程中，与威县、邢台政府建立了良好的政企关系，嘉寓门窗幕墙河北有限公司已经积极申报《雄安新区建设适用建材产品目录》，具备了进入雄安新区的良好政治和经济基础。
公司各合伙人团队尤其是公司总部和河北嘉寓要积极发掘一切资源，与当地的建设、发改等相关部门建立良好合作关系，以成功实施背景行政副中心项目为契机，积极组建雄安新区管理团队，紧跟雄安新区的市场、业务、项目，把嘉寓的技术、产品带入雄安新区，为新区建设服好务。谢谢您的关注！"
6,公司进入雄安第一批建材申报目录了吗？,尊敬的投资者，您好。雄安第一批建材申报目录系河北住建部门征集的，但至今该部门并没有公布结果。据了解河北方面仅为掌握相关情况，公司作为节能门窗龙头企业在该领域有明显优势。感谢您的关注。
7,请问17年底拟以27.3亿元出售的土地资产项目现在建设了吗？2018会完成出售吗？,尊敬的投资者您好，非常感谢您对公司的关注！为充分响应国家关于京津冀协同发展、疏解非首都功能的号召，根据北京市有关部门出台的相关政策，公司已将门窗幕墙生产环节疏解至河北“威县-顺义产业园”。根据公司及嘉寓集团的发展规划，为进一步优化资源配置，提高资产使用效率，公司拟利用已疏解后的土地资源，按嘉寓集团的投资要求建设嘉寓节能科技产业园，建设完成后将土地使用权及建筑物一并转让予嘉寓集团。目前，该项目进展顺利，正在办理规划立项手续，根据项目建设的整体进度安排，2018年不能建完出售。谢谢！
8,贵公司的分红并不高呀，一股一分钱，后期有没有提高分红的预期？,"尊敬的投资者您好，非常感谢您对公司的关注！经中准会计师事务所（特殊普通合伙）审计，公司拟以2017年末总股本716,760,000.00股为基数，向全体股东以每10股派发0.10元现金（含税）股利的分红，合计派发现金股利7,167,600元。公司的分红是按公司的章程约定并结合公司的现金流实际情况经股东会审议通过后执行，后期的分红请您持续关注公司的信息披露。谢谢！"
9,张叔叔好，公司是什么时候上市的？公司的建筑节能门窗指的是什么？,答：你好，我公司是2010年9月2日在深圳创业板上市的。建筑节能门窗是指满足当地建筑节能设计标准的建筑门窗，主要性能指标包括门窗的保温性能、气密性能和遮阳性能。 谢谢您关注！
10,大股东70亿2轮战略投资恒大地产，而恒大即将回归A股，是否对公司后续业务也有一定帮助？,尊敬的投资者您好，感谢您对公司的关注！公司控股股东的关联公司参股恒大集团战略投资70亿元，恒大地产一直是嘉寓股份建筑外装饰业务第一核心客户，作为双方战略合作伙伴关系的体现，嘉寓关联方参股恒大地产，进一步绑定双方战略合作关系，继续优化了资源协同、融合共生的生态链。谢谢！
11,请问贵公司对公司业务拓展有没有什么前景规划和展望？,尊敬的投资者您好，感谢您对公司的关注！公司实践三大主业协同发展的战略，形成三极组合驱动格局，专注发展节能门窗幕墙、太阳能光伏光热、智能装备三个战略方向。在稳步发展节能门窗幕墙业务的同时，利用公司在光伏建筑一体化领域的技术优势，充分发挥在工程管理、上市公司融资平台等各方面的综合优势，全面拓展光伏电站EPC市场份额，形成新的利润增长点；在智能装备及与主业相关领域清洁机器人方向深入布局，坚持科技创新引领，集中优势资源，通过中高温集热管全自动生产线、光伏边框全自动生产线等智能装备系统产品拓展光伏光热及智能装备市场份额，发展成为细分行业龙头，为公司持续、快速、健康发展奠定基础，预计2018年门窗幕墙业务销售合同额45亿，光伏业务销售合同额30亿，智能装备业务销售合同额6亿元。 谢谢 ！
12,近期有无员工持股计划？,"尊敬的投资者，您好！
       公司如果推出员工持股计划会于董事会审议后及时公告，请关注公司公告！
       谢谢！
"
13,公司下一步，与恒大集团在海南岛还会有更深度的合作吗？,尊敬的投资者您好，非常感谢您对公司的关注！公司2017年底与恒大旅游集团签署了15亿元的《战略合作协议》，该协议的签署为公司与恒大集团的合作拓展了更大的合作空间。谢谢！
