,Question,Answer
0,上市半年多了，贵司最大的感受是什么？,公司是刚刚进入资本市场的新人，最大的感受就是压力和责任更大了。公司将一如既往的尽心尽责，勤勉忠诚地维护所有股东的利益。再次感谢各位投资者朋友们，你们对公司的鼓励和支持，都是我们前进的动力！
1,粤港澳大湾区的建设对公司业务发展会有促进作用吗？,公司总部位于深圳，扎根于粤港澳大湾区并服务于全球。粤港澳大湾区的建设，将有助于推动大湾区基础设施连通，构筑世界级港口群、机场群和轨道交通网，促进大湾区内及向区外的物流，加强区内技术、资源及人才的互通，对公司业务发展具有一定的积极作用。
2,公司与哪些跨境电商平台有合作？,跨境电商客户服务是公司供应链业务的主要组成部分之一，公司已与多家全球知名的跨境电商平台建立了合作关系，并将继续抓住跨境电商领域的发展机遇。
3,物流+供应链+金融的供应链管理体系，请问今年还会继续完善吗？,公司将继续发挥供应链主业的优势，进一步完善物流+供应链+金融的现代供应链管理体系，坚持物流管理为基础，以供应链协同来加持，叠加供应链金融，建立三位一体的综合供应链服务体系，推动客户供应链良性发展。
4,在西南地区贵司占有多大的市场份额？,西南地区作为长江经济带的上游区域，随着国家政策的支持，已经成为汽车，智能终端等产业聚集地。公司积极布局拓展西南业务，西南地区业务已经成为公司业务的重要组成部分。公司将积极巩固和拓展，确保其稳健成长。
5,公司地址位于福田保税区，对公司业务存在哪些利好？,东方嘉盛服务模式特点之一就是基于保税区的供应链服务。公司会统筹全国以及核心经济区域，进行业务经营的规划。福田保税区作为国家早期设立的保税区之一，有毗邻香港的天然优越的地理位置，有利于跨境贸易业务的开展。公司会基于全国各保税区的特点和优势布局网络建设。
6,供应链服务未来有没有可能用上区块链技术吗？,创新是公司赖以发展的基石。公司持续关注各项新模式、新技术对于行业发展的影响。区块链技术在供应链行业的应用会越来越广泛而深入。公司将不断探索区块链在客户服务以及公司内部管理中的应用场景，提升服务效率及质量。 
7,公司下游客户主要分布在哪些行业？,公司提供各类供应链管理服务的行业较多，主要分布于ICT、医疗器械、食品、化工、汽车配件、快消品等行业
8,公司今年还能取得政府补助吗？,政府补助的享受取决于政策以及相应设定的条件，以及企业是否可以满足这些条件，具有一定的不确定性。
9,公司的服务主要在境外哪些区域？,国家一带一路战略，以及跨境电商的崛起的大背景下，公司积极布局海外业务拓展，目前尚处布局初期。
10,贵司在境外的业务与哪些知名客户合作？,公司2017年境外营业收入13.93亿元，主要是跟境外的跨境电商客户、ICT行业的品牌客户等合作，具体情况详见公司2017年年度报告。
11,公司在供应链管理行业处于什么位置？,"公司作为供应链管理行业的领先者，致力于成为卓越的一体化供应链服务商。已经在ICT行业，食品行业，医疗器械以及跨境电商行业建立了成熟的供应链服务平台，为世界500强品牌企业或者行业知名企业，以及跨境电商等中小企业提供供应链服务。
公司是深圳市百强企业，重点物流企业，连续多年荣膺我国民营企业进口百强榜前列，并拥有海关AEO高级认证资质，也是“广东省供应链管理试点企业”。
公司在行业中的竞争优势体现于：公司拥有卓越的一体化供应链解决方案设计能力和供应链管理服务执行能力、丰富的经验及行业先发优势、优质的客户群体和良好的行业拓展潜力、先进的信息系统。"
12,您怎么看待国内供应链管理市场的增长前景？,"1、随着经济全球化，专业分工的深化，越来越多的大中型品牌企业自身的供应链以及特定产业群开始向物流及供应链外包发展，需要借助专业供应链服务来提升竞争力。 
2、2017年10月13日，国务院办公厅发布了《关于积极推进供应链创新与应用的指导意见》，首次将供应链创新与应用提升到国家战略，是对供应链管理服务行业的肯定和认可，对于供应链服务行业的发展具有里程碑意义。随着供应链管理在国家经济中战略地位的确立，政策面的支撑，产业升级对于供应链服务的强劲需求，预期供应链行业的成长空间巨大。
3、国家一带一路战略的实施，进一步推动供应链行业的发展空间和潜力。
4、传统行业的转型升级以及精细化管理的要求也带来了供应链服务需求。
5、新流通模式将带来供应链管理的重大变革，对于物流供应链企业也将产生深远影响，同时也激发新的供应链物流服务需求。"
13,参与前海改革创新技术联盟将给公司带来哪些收益？,"公司通过参与设立前海改革创新技术联盟的平台，一方面为前海的制度创新提供产业创新前沿实验地，另一方面也为公司的创新能力注入新动力。由于前海改革创新技术联盟尚处于发起设立初期，预计不会对公司本年度财务状况及经营业绩产生重大影响。
"
14,跨境电商的兴起，对公司业务有什么影响？,公司凭借多年服务品牌企业的经验优势，已逐步建立了跨境电商产业供应链服务平台，为国内国外主要电商平台以及平台上的卖家提供一体化供应链服务。跨境电商行业的成长发展将增加公司业务量，成为公司盈利增长点。      
15,公司有没有考虑将人工智能引入到公司业务来？,人工智能是经济发展的趋势，会越来越多地被广泛应用到行业中来。供应链行业也已经存在很多人工智能的应用场景。公司非常重视人工智能对于行业发展的积极作用，不断探索将人工智能应用到为客户提供的服务当中去，以及企业内部管理中，提升服务效率以及质量。
16,国家一带一路战略对公司业务起到了哪些帮助？,国家“一带一路”战略旨在促进经济要素有序自由流动、资源高效配置和市场深度融合，推动沿线各国以及区域更高层面的合作。这一战略为企业全球布局提供了广阔平台和空间。公司积极建设“一带一路产业全球供应链协同管理平台”，稳健布局海外网络，完善供应链全球交付能力，提升客户供应链竞争力。
17,中美贸易摩擦对公司业务有影响吗？,目前来看，中美贸易摩擦实际涉及的进出口产品范围有限，同时公司业务主要是进口业务，目前清单中还尚未看到牵涉到公司进口的产品。未来我们会持续关注中美贸易关系的后续发展以及评估对于公司的影响程度。对可能影响公司的重大事项，我们将按照相关披露规则进行如实披露。
18,设立超级大数据合资公司是出于什么目的？,您好，超级大数据合资公司将以“构建国内最有影响力的供应链大数据平台”为使命，通过大数据和人工智能等科技创新，利用各股东丰富的应用场景和供应链运营经验，构建开放共赢的平台，推动建立高效协同的现代供应链体系，打造创新的智慧供应链，提升综合物流服务效率，有效服务实体经济，提升国内企业在国际供应链中的竞争力。谢谢！
