,Question,Answer
0,公司目前在核心技术元件的自主可控情况如何？请简要介绍一下,感谢您的关注，公司拥有独立自主的研发与采购团队，目前公司生产经营所需要的零部件市场供应情况良好。
1,目前产业布局上，公司处于何种位置？市场竞争地位如何？相较于华为中兴，主要有哪些方面可以供公司借鉴学习？,感谢您的关注，公司所处网络优化覆盖行业为通信行业细分子行业，与中兴华为不处于同一细分行业。
2,军工方面的订单情况如何？,感谢您的关注，2017年公司军品业务取得比较好的成绩，未来公司将继续努力，争取取得更好成绩。
3,作为行业相关公司之一，请评价一下中兴通讯事件的具体影响！谢谢。,感谢您的关注，目前公司正在研究相关事件的具体影响，谢谢。
4,公司估值在同行中处于一个什么水平？有没有向上提升的空间？,感谢您的关注，公司目前处于行业前列，但目前行业竞争较为激烈，未来公司将继续做好经营工作，力争取得更好成绩。
5,大股东控制权变更之后未来是否还会有增持公司股份的计划？,感谢您的关注，公司目前未接到大股东相关通知。
6,公司未来是否还有进行其他并购的计划？如果有并购的打算，请问还会跨界游戏或者其他领域的市场吗？,感谢您的关注，公司暂时还未制定相关计划。
7,公司股价近期又踏上了漫漫寻底之旅，市场不好是一方面，管理层就不能有所作为？,感谢您的关注，公司管理层将继续做好公司经营管理工作以回报广大股东的支持与信任。
8,公司控股股东变更时间不长，但是我们看到了公司经营出现了好的趋势，请问大股东变更之后对公司业务拓展和技术提升上都是否有提供了帮助？和过去的大股东有哪些区别呢？,感谢您的关注，公司大股东非常重视公司经营情况，公司管理层将继续做好公司经营管理工作，回报广大股东的支持与信任。
9,控股股东自身的业务和资源网络是否也会在未来为公司所用？公司能否展望一下和新的大股东合作的前景。,2018年，公司将利用大股东在瑞丽市当地的资源优势及上市公司的品牌和资金优势，积极拓展红木与珠宝翡翠业务。
10,对于即将到来的5G商业化大潮，公司将会以何种形式参与到这场通信盛宴中？,公司研发始终以用户需求为关注点，扎根基础理论研究，并持续在技术演进、应用创新上实现突破。公司目前已经完成了面向５Ｇ网络覆盖应用的解决方案与产品形态的概念设计。
11,公司今年是否有再融资的计划？倾向于通过哪种方式进行融资？,感谢您的关注！ 未来公司将根据公司生产经营情况合理安排公司投融资计划。谢谢！
12,目前中美贸易战中，中兴通讯由于禁令关系导致生产休克，请问公司是否也有依赖美国供应商提供芯片等核心部件情况？请问占比如何？,感谢您的关注，公司所处网络优化覆盖行业为通讯行业细分行业，目前暂未受到影响。
13,之前雪鲤鱼的并购终止后，公司是否还有打算继续进入手游或者游戏市场？,感谢您的关注，公司目前没有制定相关计划。
14,公司每年坚持分红值得肯定，虽然去年10派1毛聊胜于无。未来有没有再融资的打算？,感谢您的关注，公司一直注重对投资者的回报，未来公司将根据公司生产经营情况合理安排公司投融资计划。
15,中美贸易战开打，对公司的经营业绩是否会产生不利影响？,公司产品暂无对美国出口，目前公司也在积极研究相关政策对公司的影响。
