,Question,Answer
0,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,公司有一栋总部大楼在建设，主体工程预计在今年完工。
1,公司如何进行投资者关系管理，如何规划进行投资者回报的？,公司会按照相关规定做好各项投资者关系工作，与投资者保持良好沟通，通过良好的业绩回报投资者。
2,贵司目前有哪些销售渠道？是否存在大客户依赖？,您好，目前公司有高端零售百货、大型购物中心、高级酒店、高尔夫球会以及机场等终端销售渠道；不存在大客户依赖，感谢您的关注。
3,关注到公司终端产品价格下调，对利润率影响有多大？,公司时尚系列推出一组相对价格低一点的产品，对利润率将有积极影响。
4,公司是否在考虑开拓新的领域？取得初步进展没有？,公司目前经营情况良好，高尔夫服饰市场依然具有良好的成长前景和市场空间，公司会在原有的领域继续做大做强，如果开拓新的领域会及时公告。
5,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,公司会扎实做好经营业绩，通过合理分红来回报广大投资者！
6,公司在2017年有哪些经营目标？,公司2017年的经营目标在年报中有详细说明，请参看年报中的具体内容，谢谢您的关注！
7,如果公司进行定增，那大股东及高管们会考虑参与、进行增持吗？,目前公司没有此计划。谢谢！
8,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,公司将根据自身实际情况选择合适的激励方式，未来如有股权激励计划，公司将会及时予以公告，感谢您的关注。
9,公司的前三大客户是哪些公司？,请参看年报数据。谢谢！
10,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,您好，公司产品面向全国市场，本公司从品牌影响力和美誉度、门店数量、市场覆盖度等方面比较，在国内高尔夫服饰市场处于较为领先的地位。
11,公司在经营活动中主要对哪些环节进行质量控制？,您好，公司在面辅料采购、生产环节、仓储环节、销售环节等进行了质量控制，感谢您的关注。
12,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,您好，截至一季度，公司销售增长良好，争取全年实现增长，感谢您的关注。
13,贵公司有没有打算打算收购一家高尔夫球场或自已开发一个尔夫球场？谢谢！,您好，目前暂无相关计划，感谢您的关注。
14,请问公司以后每年会用什么形式回馈股东？,您好，公司将综合考量公司经营情况及未来发展规划等因素，在保证公司正常经营发展的前提下，积极回报投资者，履行应尽的社会责任，感谢您的关注！
15,公司有没有自已的加工厂？谢谢,您好，公司目前没有，感谢您的关注。
16,公司2016年度的业务经营情况符合公司预期吗？,公司2016年度的业绩经营情况符合公司预期。
17,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,公司股价属于市场行为，在此提醒股市有风险，请谨慎投资！
18,2017年至今，有多少家投资机构前往贵司调研了呢？,您好！截至目前，暂无相关调研活动，感谢关注！
19,您对比音勒芬在2017年的经营和发展，有何建议或意见？,保荐机构将督促公司规范运作，做好募投项目建设。谢谢
20,公司所处行业有没有周期性？,服装行业会有一定的周期性，有淡旺季。
21,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,公司的财务数据请参看公司的定期报告，谢谢！
22,雄安新区的设立，对公司存在哪些机遇？,您好，公司产品面向全国市场，不排除未来在雄安新区有开店计划。
23,请问公司如何看待上市公司的并购和市值管理？,您好！感谢您对公司的关注！公司将不断推出新产品，提升品牌认可度，保持业绩稳定增长，以良好的业绩回馈广大投资者。
24,公司2017年一季度经营业绩如何？,公司2017年一季度营业收入、净利润与去年同期相比增长20%以上，详细数据请参看2017年一季度季报。谢谢关心！
25,今年以来，原材料都迎来涨价潮，对公司会有什么影响？,有一部分材料涨价，但主要材料的价格一直比较稳定，所以对公司没有什么影响。
26,公司每次投资项目的可行性报告是否有详细说明公告？,我们会按照监管机构的相关要求及公司的相关制度进行披露。感谢您的关注！
27,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,截止目前，公司暂无并购计划，如未来有并购计划会按照相关法规及时公告。感谢您的关注！
28,2017小半年过去了。请问今年的开店计划是否符合预期？另外，随着企业上市知名度提高，单店业绩是否有好转趋势？,您好，截至一季度，开店计划基本符合预期，近年来公司单店业绩保持稳定增长趋势，感谢您的关注。
