,Question,Answer
0,继续看好公司今年继续重回高增长型企业。1、请问公司高管近期是否有增持的打算进展如何？2公司前段时间与上海签约的协议是框架协议还是公司出于发展规划也有考虑将总部迁至上海？谢谢。,您好，感谢您对公司的看好，公司高管将按照增持计划于半年内增持公司股份，增持进展情况请您关注公司公告；公司与上海市松江区人民政府展开战略合作，是公司产业布局业务的重要环节，本次合作将对公司的业务发展及主业核心竞争能力产生积极影响，有利于公司优化产业结构，增强公司综合竞争能力，促进公司长期可持续发展。谢谢！
1,袁总好，请问陶瓷材料经过过去一年的研发和布局，请问在良品率及成本是否有一定改良？,您好，精细陶瓷产品的良率及成本情况正在逐步改善当中，谢谢！
2,公司近期获得社保基金增持，请问获得增持有原因有哪些？,公司属于国内不可多得的自主创新高新技术基础元器件企业，上市以来业绩复合增长率持续稳定，以良好的业绩不断的回馈股东，未来发展前景可期。二级市场股东有变化是常态。感谢关注！
3,粤港澳大湾区政策对公司业务具体会有何影响？,您好，公司客户均为行业标杆客户及世界五百强客户，从目前的情况来看，粤港澳大湾区政策对公司业务暂无影响，谢谢！
4,公司今年以来无线充电线圈供货合同金额较去年是否增长？,您好，受益于2017年苹果手机采用无线充电功能应用对无线充电市场带来的积极影响，预计公司今年的无线充电产品供货将有所增加，谢谢！
5,顺络电子2018年在海外市场有何布局，能否成为今年业绩贡献的增长点？,公司布局的海外市场客户非常优良及知名，战略性大客户居多。未来会持续稳定地为公司带来业绩量的增长。感谢关注！
6,请问贵公司目前有为5G手机供货？,您好，5G标准尚未完全推出，距离5G技术实现商用仍需要一段时间，谢谢！
7,公司2018年再产品研发上有哪些创新？,您好，公司近年的研发投入逐年增多，预计今年也将继续加大对项目研发的投入，谢谢！
8,华为是公司的重要客户吗？主要是那些产品领域，谢谢！,您好，华为系公司重要客户，目前可供产品较多，谢谢！
9,请问公司陶瓷手机外壳目前是否已经有客户采用？,您好，陶瓷材料作为后盖板的应用，目前因合格率、成本及产能等因素影响，市占率仍较低，尚未大量普及。随着5G技术及无线充电应用的普及，未来陶瓷、塑料及玻璃，将成为手机盖板的主要材料应用，公司拥有众多知名手机类客户，未来市场空间广阔，谢谢！
10,请问公司在陶瓷手机外壳的市场竞争力如何？,您好，陶瓷材料作为后盖板的应用，目前因合格率、成本及产能等因素影响，市占率仍较低，尚未大量普及。随着5G技术及无线充电应用的普及，未来陶瓷、塑料及玻璃，将成为手机盖板的主要材料应用，公司拥有众多知名手机类客户，未来市场空间广阔，谢谢！
11,信柏陶瓷生产的手机背板有没有应用到小米手机上？有那些著名客户？,您好，小米系公司重要客户。陶瓷材料作为后盖板的应用，目前因合格率、成本及产能等因素影响，市占率仍较低，尚未大量普及。随着5G技术及无线充电应用的普及，未来陶瓷、塑料及玻璃，将成为手机盖板的主要材料应用，公司拥有众多知名手机类客户，未来市场空间广阔，谢谢！
12,公司计划在汽车电子和新能源领域如何拓展？,您好，公司目前已在汽车电子等新兴市场领域得到了国际知名客户的认可，公司将持续投入资源，提升自身技术实力，提升公司产品在新兴市场领域的份额，谢谢！
13,请问贵司的主要客户有哪些？,您好，公司客户资源优秀，主要为国际高端电子制造企业，谢谢！
14,01005电感推出市场已经快两年时间了，请问类似新品通常从推出到成为市场主流产品大致需要多长周期？,您好，基础元件的产品生命周期很长，不像整机的换代速度快，基础元件产品换代较慢，谢谢！
15,预计公司今年研发投入费用是多少？占比是多少？,您好，公司近年的研发投入费用逐年增多，预计今年也将继续加大对项目研发的投入，谢谢！
16,公司的产品与同行业对比具有哪些突出优势,您好，公司作为国际先进、国内领先的电子元器件制造商，具备良好的制造平台和较强的研发实力，能够满足全球高端电子制造企业严苛的品质需求。公司积极参与客户的早期设计，增强配套能力，努力实现“一站式”服务。谢谢！
17,无线充电行业在2018年是否能快速发展？公司有何计划去抓住这一波机遇？,您好，公司看好无线充电行业在未来几年的发展。公司可提供有接收端和发射端的无线充电线圈，同时可配套提供功率电感、大电流电感、温度传感器等产品，均可应用于无线充电领域；公司的无线充电线圈产品具有小型化、自动化、一致性高、效率高及转化率高等优势特点，得到许多优质大客户的认可。谢谢！
18,请问今年内公司有并购重组或者资产注入计划吗？有没有投资新建厂等计划？,您好，公司欢迎推荐好的标的资产，如有相关项目的进展情况，公司将及时对外履行信息披露义务。公司与东莞市塘厦镇人民政府已签署项目投资意向协议，与上海松江区政府就具体合作细节正在进一步拟定中，目前暂无其他进展，项目具体进展情况请您关注公司公告，谢谢！
19,电子变压器的客户主要有哪些？是否得到市场认可？,您好，公司电子变压器采用公司先进的绕线技术、材料技术及自动化生产技术，其中平面变压器、脉冲变压器、通讯变压器等产品已实现自动化生产，具有一致性高、可靠性高、产品转化效率高、尺寸精准的优点，应用范围较为广泛，在本次非公开发行募集资金项目中，公司新型电子变压器项目系扩产项目。目前公司的变压器主要应用在快充领域、新能源应用、汽车电子上，得到许多优质大客户的认可，未来市场空间广阔。谢谢！
20,顺络电子是富士康的重要供应商吗？所占比重大吗？,您好，富士康是公司的重要客户，感谢您的关注！
21,公司今年有计划并购重组哪些公司及项目吗？进展情况如何？,您好，公司欢迎推荐好的标的资产，如有相关项目的进展情况，公司将及时对外履行信息披露义务，感谢您的关注！
22,您好，公司的主营业务是什么？什么时候上市的？,您好，公司主要从事研发、设计、生产、销售新型电子元器件；提供技术方案设计和技术转让、咨询服务，销售自产产品。公司于2007年6月在深圳证券交易所上市。谢谢！
23,上游原材料价格持续上涨，对公司的生产经营会造成什么影响？公司如何控制生产成本呢？,您好，原材料价格波动对公司生产经营影响有限，公司通过提高自身技术水平及管理水平以管控生产成本，谢谢！
24,公司在深圳是否有土地和房产的资产？,您好，公司在深圳龙华观澜建有工业园区，系公司自有厂房及土地，谢谢！
25,公司于 2017年 12 月 13 日发布公告，45亿元建设电子件及精密陶瓷项目，资金如何而来？,您好，公司与东莞市塘厦镇人民政府签署的项目投资意向协议，是公司产业布局业务的重要环节，有利于促进公司长期可持续发展，公司将积极安排自身资源，可以通过募集资金、自有资金及银行贷款等形式筹集资金。谢谢！
26,公司的产品都应用于哪些领域？主要客户有哪些？,您好，公司立足于通讯、消费电子领域，同时拓展产品在新能源、汽车电子、物联网、特种工业电子等领域的应用；公司客户质量优秀，如华为、OPPO等均为公司重要客户，谢谢！
27,请问公司的主要合作客户分布在哪些行业？能否举例几家合作商？,您好，公司立足于通讯、消费类电子市场，进一步加大在汽车电子、新能源、物联网、工业电子及模块、无线充电、5G通讯及精细陶瓷等领域的市场开拓。公司客户质量优秀，如华为、OPPO等，均为公司客户，感谢您的关注。谢谢！
28,公司有哪些新产品，预计2018年能产生多少效益？,您好，公司生产基础电子元器件产品，近年来，除原有的片式电感产品外，还布局了包括电子变压器产品、无线充电产品、NFC产品、精细陶瓷产品等在内的新产品，公司看好新产品在2018年于原有市场领域及新兴市场领域的发展及应用，谢谢！
29,公司无线充电业务的客户是否包含三星手机？还有哪些著名客户？,您好，三星是公司重要的客户，公司无线充电线圈产品得到许多优质大客户的认可，谢谢！
30,公司拟投资45亿建设新型电子元件及精密陶瓷项目，请问目前进展如何？,您好，公司与东莞市塘厦镇人民政府已于2018年1月2日签署了《顺络新型电子元件及精密陶瓷项目投资意向协议》，目前暂无其他进展，项目进展情况还请您关注公司公告，谢谢！
31,17年年报说，18年一季度净利润增长40%以上，请问是否能兑现承诺？,您好，2018年一季度业绩预测系公司根据自身实际发展情况作出，感谢您的关注！
32,5G时代即将到来，贵公司是否有相应的技术和产品储备？,您好，5G时代的来临，将带来更多对电子元器件产品性能及产品应用数量上的需求，也将为公司未来的发展提供更多机遇，公司有相应的技术储备。感谢您的关注！
33,您怎么看待5G技术的应用前景和发展潜力？,您好，5G时代的来临，将带来更多对电子元器件产品性能及产品应用数量上的需求，也将为公司未来的发展提供更多机遇。谢谢！
34,公司的精细陶瓷，现在在哪些产品上有实质应用呢？,您好，公司的精细陶瓷项目可应用于手机陶瓷指纹片、陶瓷后盖及智能穿戴等产品，谢谢！
35,请问公司在汽车电子领域跟朗仁科技有没有业务往来？,您好，公司暂时与朗仁科技没有业务往来，谢谢！
36,东莞市塘厦镇凤凰科技产业园是否已经开工建设？,您好，公司与东莞市塘厦镇人民政府已于2018年1月2日签署了《顺络新型电子元件及精密陶瓷项目投资意向协议》，目前暂无其他进展，项目进展情况还请您关注公司公告，谢谢！
37,公司的无线充电技术是通过什么技术路径实现的？目前是否已经投入商用？,您好，公司可提供有接收端和发射端的无线充电线圈，利用的是电磁感应原理。其产品具有小型化、自动化、一致性高、效率高及转化率高等优势特点，得到许多优质大客户的认可，目前市场份额正逐步提升。谢谢！
38,请问公司产品包括Mlcc吗？公司产品供应小米手机吗？,您好，公司并未生产MLCC产品，小米是公司的重要客户，谢谢！
39,2017年公司净利润同比出现了负增长，是哪些原因造成的呢？,您好，2017年公司实现营业收入较上年增长14%，销售数量较上年增长21%，净利润较上年降低4.97%，业绩承压较大。部分市场领域产品价格因为竞争而有较大幅度下降，手机市场进入饱和阶段，后续增长乏力；同时公司为开拓新市场、新产品增加了研发费用和设备的投入，设备折旧亦有所增加；公司人员数量、资产规模持续提升，人员工资增长幅度较大，加大了成本压力，新应用从导入到批量交付需要较长时间，产能释放缓慢，故2017年度利润指标未达预期。谢谢！
