,Question,Answer
0,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,您好，股价的变动受多种因素影响，对于公司管理层来说，自然是希望股价能够跟上我们勤勉尽责的努力，能够为投资者带来合理回报。相信我们的股东都是理性的投资者，能够根据自己的判断做出正确的选择。谢谢
1,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,您好，多层次资本市场的发展对所有投资者带来的机遇和风险都是一样的。近年来新三板发展迅速，许多新三板公司具有良好的业绩和优秀的成长性，如有可能，公司也希望能与优秀的新三板公司互利合作，共同发展。谢谢
2,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,"公司目前的持股情况大致如下：持股5%以上的股东所持股份约占公司总股本的66%左右，其他股份由中小投资者持有。目前，公司建立了完善的法人治理结构和内部控制制度，符合公司长远发展的需求。公司的股本结构也会随着公司的发展而有所调整，公司也会时刻关注股权结构变化情况，努力实现公司的发展战略和目标。谢谢

"
3,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,"您好，公司目前在建项目主要有三维物联一体化墙板设备集成项目、木塑研发楼建设项目、窦店厂区工程等项目，建设进度按照公司的建设计划正常进行，相关项目投入情况均在年度报告中已经披露，你可在年度报告中查询相关信息,谢谢！"
4,孙叔叔好，再次见面，两年前，发行网上路演我也参加了，公司的主营业务？,"你好！很高兴再次见面！公司主要从事以无机集料阻燃木塑复合墙板为核心产品的、可循环再利用新型建筑材料的研发、生产、销售及组装。公司不仅生产装配式建筑的部品部件，而且为客户提供装配式建筑集成和组装服务，属于装配式建筑的主要形式之一。
谢谢！"
5,谭叔叔好，公司的产品是木塑复合材料，请您给各位介绍一下,木塑复合材料是指利用聚乙烯、聚丙烯和聚氯乙烯等，与植物纤维混合，通过一定的工艺挤压、模压或注塑成型而形成的一种复合材料。木塑复合材料具有良好的加工性能、耐腐、耐水性能、稳定性能等，是一种环保新型材料。公司在传统木塑复合材料技术的基础上，通过改性技术研发和生产的无机集料阻燃木塑复合墙板不仅具有传统木塑复合材料的优点，同时具备建筑材料所需的物理性能，大量应用于房屋建造领域。除墙板外，公司也生产木塑装饰材料、木塑户外园林景观材料等。谢谢。
6,募投项目资金使用情况如何？,您好，公司在2016年度报告中详细披露了募投资金使用情况，您可在年度报告中查询相关信息，谢谢！
7,贵公司员工一个月能挣多少？,公司董监高年薪已经在2016年度报告中披露，普通员工的薪资根据其岗位、绩效等情况各有不同。在本地区、本行业处于相对合理水平。
8,目前公司享有的国家优惠政策有哪些？,您好，公司目前是高新技术企业，企业所得税减按15%的税率征收；公司同时也是资源综合利用企业，按照国家相关规定，享受增值税即征即退50%的优惠政策。谢谢！
9,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"公司的发展战略为依托装配式建筑行业发展的有利时机，利用和维护好公司的品牌优势，不断完善技术创新，保持技术优势，首先聚焦于扎实做好节能环保并可循环再利用新型建筑材料研发生产，提高装配式建筑的装配化率，进一步提升公司在装配式建筑领域的市场竞争力，然后适时进行产业链的延伸，努力成为资源消耗减量化、产品应用循环化、建筑材料与建造方式创新化的大型企业。
公司目前的主营业务、经营情况与发展战略高度一致，公司主要利润来源于主营业务，以后公司将继续紧紧围绕发展战略做大做强主营业务。谢谢！"
