,Question,Answer
0,请问公司是否有新产品发布计划？,你好，公司分布式存储产品和数据库一体机产品都即将推出新产品，经过大量开发投入后，新产品将是在性能，功能等方面有质的提升。无论在智能制造，智慧城市，人工智能，基因分析等领域发挥产品优势。这是一套完全国产自主和天玑研发的产品。同时公司在行业云，云端工具等领域也会有直接布局投入，后续会上线发布。谢谢。
1,公司使用的芯片是美国进口的吗？从美国进口的芯片占比多大？,你好，公司目前使用行业通用的英特尔处理器，同时积极推进国产处理器的集成和使用，谢谢。
2,公司今年是否有准备发放股利？对于上海的建设大数据中心，天玑科技做了哪些准备？谢谢。,你好，公司第三届董事会第二十七次会议已经通过了分红决议。该议案尚待股东大会审议。公司已经积极储备各项核心技术。谢谢！
3,请问公司与Bat是否有业务往来，公司的IT基础外包服务有哪些？,你好，公司与阿里有合作，公司的IT外包服务的服务形式有专人驻场服务、远程运维服务和系统托管运维服务。谢谢。
4,一季报显示公司利润相较去年同期出现了下滑，原因何在？下半年的利润是否还会受此影响？,"你好，公司2018年第一季度实现营业利润5,678,158.68元，比上一年同期增长67.3%；实现利润总额6,656,362.86元，同比增长24.02 %，归属于上市公司股东净利润6,330,893.51元，比上一年同期增长1.37 %。谢谢。"
5,公司目前有哪些主要客户？,你好，公司为国内三大运营商、中海油、太平洋保险、吉利汽车、中国银联、广发银行等各行业知名企业提供IT产品及服务，谢谢。
6,公司为哪些知名企业提供服务？,你好，公司为国内三大运营商、中海油、太平洋保险、吉利汽车、中国银联、广发银行等各行业知名企业提供IT产品及服务，谢谢。
7,公司的子公司-香港和美国公司，目前有什么具体的业务吗？如果有麻烦介绍下，没有的话麻烦介绍下之前设立的原因。谢谢。,你好，近年我们香港和美国子公司暂时没有具体的业务，当初设立的目的是想开拓海外业务，谢谢。
8,请问公司和云上贵州是否有业务合作？,你好，公司暂时没有和云上贵州有业务往来。谢谢！
9,公司提供服务的优势行业在哪些行业？保险算一个吗？,你好，保险属于公司的优势行业，谢谢。
10,公司的主营业务是和电信的合作，未来国家逐步放大这一块的市场后，是否会对公司与电信的合作产生影响？,你好，公司在电信领域的各种积累可以快速拓展，我们很希望看到电信领域市场放开，会对公司业务产生积极影响，谢谢。
11,公司是否有区块链方面的技术储备和应用？,你好，我们目前没有区块链业务，但是未来不排除在某些业务中使用区块链技术，谢谢。
12,请问董秘，大数据黑马天玑科技在国内排名如何？在公司的细分领域有什么独特的竞争力？,你好，我们的数据库一体机产品在国内大数据产品领域排名较为领先，谢谢。
13,公司对于复深蓝和杉岩数据这两家公司，有何进一步打算？谢谢。,你好，公司持续看好这2家公司的未来发展，并会不断增加与其相关业务的投入，谢谢！
14,请问公司2017年业绩增长的主要驱动力是哪些方面？,你好，2017年公司主要的业绩驱动因素来源于传统客户的持续性服务、新客户拓展及新业务机会获取等三个方面，谢谢。
15,公司2018年第一季报的情况看来，业务与指标均与2017年度无太大改善。请问贵公司，2018年公司的发展计划是什么？谢谢。,你好，公司2018年公司经营计划请详见2017年年报，2018年主要经营计划是：1、产品与服务并举，深耕数据中心；2、与客户共同创新，促成行业云服务落地；3、加大研发投入，聚焦软件定义存储；4、加速外延式发展，强化公司核心竞争力；5、加强市场推广，提升企业形象；6、加快实施非公开发行募投项目，加速实现公司核心战略。谢谢。
16,请问300245贵公司业绩怎么越来越差了，好担心,你好，公司经营健康、稳定，谢谢。
17,请问公司现在面临的行业监管是怎样的？,你好，我们受工信部行业监管，目前公司已取得工信部的相关认证资质，谢谢。
18,请问公司成立到现在都有哪些重大资产重组？,你好，公司成立到现在，还没有涉及到重大资产重组的项目，只是在2017年完成了非公项目的发行。谢谢！
19,贵公司账上资金较多，2017年定向增发后，2017年12月31日货币资金有9.17亿，2018年3月31日货币资金有6.5亿元，不包括购买理财产品2.36亿。请问下，贵公司资金如此充裕的情况下，有什么打算，如何充分利用？谢谢。,你好，公司账上的资金大部分来自于非公发行的募集资金。这部分资金是有固定投向的，相关募投项目在实施中。谢谢！ 
20,目前公司业绩情况如何？,你好，公司目前业绩发展基本稳定，结合非公项目的投入和发展，公司业务正在不断发展中。谢谢！
21,公司目前处于高速发展期还是稳定期？,你好，公司目前仍处于发展期并不断积极尝试投入新业务，谢谢。
22,请问公司在同行业中居于什么位置？,你好，公司在同行业技术较为领先，谢谢。
23,公司未来的发展战略是什么？,你好，公司将在“IT架构国产化的开路先锋”战略定位的指引下，继续深耕基础架构国产化和行业互联网化两大战略发展方向。谢谢。
24,贵公司账上资金较多，2017年定向增发后，2017年12月31日货币资金有9.17亿，2018年3月31日货币资金有6.5亿元，不包括购买理财产品2.36亿。请问下，贵公司资金如此充裕的情况下，有什么打算，如何充分利用？谢谢。,你好，公司账上的资金大部分来自于非公发行的募集资金。这部分资金是有固定投向的，也有相关项目在实施中。谢谢！
25,请问公司有多少项科研专利,你好，公司目前已取得两项专利证书，还有6项专利已进入实质性审查。谢谢。
26,经查阅工商信息，并无发现上海天玑数据技术有限公司增加对外信息，针对长期股权投资增加的原因，是否可以披露增加投资的公司名称？谢谢。,你好，公司名称叫深圳市杉岩数据技术有限公司。谢谢！
27,公司对IT服务企业的发展怎么看？,你好，依托公司在云端的工具流程和智能化的积累，不断扩展规模化，谢谢。
28,请问公司目前取得哪些专利？,你好！公司在2017年新增发明专利《一种在云数据中心环境下对虚拟机进行监控等级划分的方法》，专利号ZL201410631050.X。谢谢！
