,Question,Answer
0,罗总好，请问公司主营产品目前市场占有率是多少,您好！公司暂无掌握关于市场占有率的统计数据。谢谢关注。
1,未来三年中公司的技术研发主要方向有哪些领域，能否介绍一下进展？,您好！公司未来三年将进一步将加强研发团队的建设，重视研发投入，通过提高核心零部件自配能力及技术研发能力为公司产品转型升级提供支撑。谢谢！
2,对于未来的乡村振兴战略，公司是否也有电梯进军小城市甚至部分农村的市场？请问公司在市场渠道下沉上取得了什么进展？,您好！公司在华南、华中、西部和北部4个大区设立了36个营销服务网点，服务范围覆盖大小城市；同时公司通过在营销服务网点配置安装维保人员，以营销网络为载体实现后市场服务的网络化，缩短为客户提供服务的距离和响应时间，实现客户服务“前置化”。谢谢！
3,请问何总，公司未来发展有哪些亮点,您好！公司在2017年年度报告中披露了公司未来发展的展望，具体内容请参阅公司相关公告。谢谢！
4,公司的主营产品相比OTIS、三菱之类的国际厂商产品，有何优劣势？如何应对市场竞争？,近年来部分民族品牌电梯企业发展迅速，在技术、产品质量、管理和服务水平等方面与外资及合资品牌的差距日益缩小，民族品牌的市场占有率正在不断提升。另外，随着民族电梯企业技术水平不断提高，民族品牌电梯逐渐受到世界各国认可，电梯产品广泛出口至东南亚、中东、澳洲等地区。公司作为民族电梯企业的一员，持续秉承“快乐运载，恒久支持”的经营理念，贯彻“深耕国内、辐射全球”的战略布局，坚持自主研发、自主品牌的发展道路，已成长为在全球范围内提供电梯综合解决方案的优秀民族电梯供应商和服务商之一。
5,对于未来的发展，公司是否会有进一步收购扩张的战略？会否进一步参与自动化技术的升级进程？,您好！公司深耕主业的同时，如遇到优质的标的和合适的时机，公司不排除利用资本市场的优势进行外延式的扩展；公司如有具体的收购行业，将会及时进行信息披露，敬请留意公司公告。技术升级是企业可持续发展的关键，公司会一如既往重视研发投入，不断对产品、技术等进行升级。谢谢！
6,公司业务的毛利率在同行中处于一个什么水平？有没有向上提升的空间？,您好！公司的产品毛利率与在国内上市的同行业基本处于同一水平；公司技术研发部门将在保证产品质量的前提下，通过改进生产工艺优化产品结构，提高材料利用率；加强现场生产管理，提高生产效率等方式以求达到降本的目的。谢谢！
7,能否简要介绍一下本轮中美贸易摩擦中公司的核心供应链是否会受到影响？,您好！公司的相关业务范围不在美国地区，因此本轮中美贸易摩擦对公司的核心供应链不会受到较大的影响。谢谢！
8,如何看待国内电梯行业现在的格局，公司目前在行业地位，竞争优势、市场布局和市场占比。,您好，公司已在2017年年报中披露相关事宜，请您详看公司披露的《2017年年度报告正文》及全文，谢谢。
9,公司2017年全年及2018上半年出现了连续的业绩下降，请问除了市场原因还有其他因素吗？,你好！公司2017年全年及2018年上半年业绩下降的主要原因是受房地产行业深度调控和国家“去库存”等政策影响，电梯市场需求增速进一步趋缓；同时主要原材料的钢材受供给侧改革影响，价格大幅上涨，导致成本增加所致。
10,目前全国房地产限购的趋势并未得到放松，这是否会对公司未来开展业务造成持久的影响？能否测算一下影响有多大？,您好！由于经济结构调整和房地产限购政策，电梯行业进入到一个相对平稳的发展阶段。但随着城镇化、工业化进程的持续推进，保障房和廉租房等建设规模仍然较大，基础设施、商业地产等固定资产投资持续加码，国内新梯市场需求仍将保持一定增长；同时旧楼加装电梯业务和以安装、 保养、维修、改造为代表的后市场业务的市场潜力较大，将成为电梯企业业务又一增长点。 同时“一带一路”政策实施带动民族电梯出口海外。一带一路沿线国家人口密度大，城镇化率较低，经济增速较快。民族电梯厂商具有技术成熟、价格低廉等竞争优势。公司将充分借助“一带一路”的实施拓展国际市场，并在拓展国内新梯市场的同时，利用公司的维保资质及优质的服务积极拓展后市场业务，力争把受宏观调控及材料价格上涨的影响降至最低。
11,随着国内楼市调控的深入和房地产市场的放缓，业务是否会面临着一个整体下滑的趋势？,"由于经济结构调整和房地产限购政策，电梯行业进入到一个相对平稳的发展阶段。但随着城镇化、工业化进程的持续推进，保障房和廉租房等建设规模仍然较大，基础设施、商业地产等固定资产投资持续加码，国内新梯市场需求仍将保持一定增长；同时旧楼加装电梯业务和以安装、 保养、维修、改造为代表的后市场业务的市场潜力较大，将成为电梯企业业务又一增长点。 
同时“一带一路”政策实施带动民族电梯出口海外。一带一路沿线国家人口密度大，城镇化率较低，经济增速较快，例如印度政府积极推动基础设施建设，城市化不断发展，高层建筑数量越来越多。民族电梯厂商具有技术成熟、价格低廉等竞争优势，可充分借助“一带一路”的实施拓展国际市场。因此，电梯行业新梯需求增速虽有放缓趋势但仍会平稳的增长。
"
12,对于电梯行业不时出现的安全案件，公司是否有采取更新的科技来提升电梯的安全性能？,您好，公司始终将产品的安全性能和质量当做我们的生命线，公司将一如既往的为市场提供安全优质的电梯。谢谢！
13,中美贸易战开打，对公司的经营业绩是否会产生不利影响？,您好！因为公司的海外业务区域不在美国，所以中美贸易战对公司的经营情况不会造成重大影响。谢谢！
