,Question,Answer
0,请问“端到端，一单到底”的物流模式与第四方物流模式在信息获取、运用上有什么区别?,“端到端，一单到底的传化网物流模式是生产性服务业的基础平台和底坐，找造的是物流全新生态，和第四方物流有着本质的区别，后者更多的是专门为第一方、第二方和第三方提供物流规划、咨询、物流信息系统、供应链管理等活动。谢谢！
1,公司的人才大部门是来自 百度 阿里 腾讯 属实？,您好，公司人才来自于五湖四化，具备多元化背景，其中也包括来自BAT的人员。谢谢！
2,近一年来，贵公司高管考虑增持吗？,您好，公司高管如有增持计划，公司将按照相关规定及时披露相关增持事项，谢谢！
3,无车承运人，物流，金融，互联网，供应链。，创客空间，征信，都不如好好和投资者沟通有用,和投资者的沟通确实非常重要，公司对投资者的大门是敞开的，欢迎您来公司参观指导！谢谢
4,公司未来股价会有什么样的预期,谢谢您的关注，公司将尽力做好价值管理，通过充分的信息披露和良好的投资者关系管理体现公司的价值。
5,传化要捐赠30亿成立慈善基金，有价证券和现金，请问你们是打算怎么操作,慈善基金会的主体是传化集团。如慈善基金会涉及上市公司的工作，我们会按照上市公司要求，及时披露相关信息。谢谢！
6,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,公司债发行预案已于2月20日董事会审核通过并进行了公告（详见公司4月22日公告）。公司暂时没有设立并购基金的计划。谢谢！
7,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,公司会把握好有关发展机遇，促进公司及子公司业务更好地开展。谢谢！
8,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,谢谢您的建议！
9,从半年来的K线图来看，公司股价在大盘上涨时，并不上涨；但大盘下跌时反而持续下跌，请问公司如何看待公司股票走势？,"详见问题""38"",谢谢！"
10,国家收紧了第三方支付牌照，公司在政策不批的情况下，怎么取得第三方支付牌照。没这个牌照如何去构筑生态闭环,2015 年 8 月 14 日，公司接到《中国人 民银行杭州中心支行受理支付业务许可申请通知书》(2015 年第 1 号)，就从事互联网支付、移动电话支付、预付卡发行与受理(仅限于线上实名支付 账户充值)业务向中国人民银行提出的行政许可申请，已被中国人民银行杭州中 心支行依法受理。公司与银联及多家银行进行战略合作关系，正在构建生态闭环。谢谢！
11,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,传化作为“公路港”模式的首创者，在构建传化网的过程中，已在行业内形成了独一无二的系统性竞争优势，并建立起较高的行业竞争门槛。但是，公司作为民营企业，承担并实施传化网建设，推动、改变行业现状，本身就是一项重大挑战。
12,介绍下去年的拓纳经营情况,好的，非常感谢你对传化各项业务的关注！拓纳以纺织化学品为主业，经营情况保持良好，EBITDA实现同比较快的增长。根据公司的协议，去年拓纳10-12月的业绩纳入公司的合并报表。自合并日开始至年底，该公司实现营业收入17607万元、利润总额952万元、净利润743万元。谢谢！
13,传化网到地是什么？,"传化网致力于打造供应链服务平台，服务“长尾”市场，提升供应链效率。区别于服务消费端短链的电商平台，传化网是服务于生产端、贯穿整个供应链长链的基础服务平台。
2016年是传化网智能物流业务重组上市后的第一年，基于中国制造2025、一带一路等国家战略，公司积极响应国家大交通、大物流的发展要求，从过去公路港模式中全面超越和升级，进行全国化的系统布局和谋划，快速推进战略升级，全面部署和推进传化网智能物流战略行动。
传化网内涵：以智能信息系统与支付系统为核心，依托公路港城市物流中心，融合互联网物流业务与金融业务，为城市、城市群以及行业提供供应链平台服务，打通供应链各环节，实现供应链端到端一单到底的业务场景，形成供应链闭环生态圈。传化网基于人工智能深度学习和大数据计算的能力，通过物联网、车联网以及各类智能硬件载体，围绕物流应用场景，为供应链上的各主体、为城市、为行业提供智能物流服务。同时在传化网生态内，将不断衍生出大量围绕制造业、物流企业、卡车司机的服务场景、业务场景以及金融场景，势必吸引各类资源要素，包括：金融要素、资源要素、科技信息要素、人才要素等汇聚到生产端，这些要素资源在传化网内形成了系统的生产服务体系。由此，传化网的智能物流服务以及生态内形成的系统性生产服务体系，将共同服务于企业的智能制造，帮助企业提升竞争力，进而助力中国制造2025战略。 谢谢！
"
14,注入物流资产后，2015年和2016年公司加大了现金分红，两年6个多亿，但小股东分的比以前还少了，大股东的分红比以前成倍增长，这是不是损害小股东利益?,传化的红利分享保持1毛左右的分配水平，近几年，年年有分红。重组前有分红，重组后也有分红。
15,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",传化智联在构建传化网的过程中，已在行业内形成了独一无二的系统性竞争优势，并建立起较高的行业竞争门槛。传化网系统构建的战略行动在中国是独一无二的，在公路货运行业也是唯一的。
16,2017公司今年的物流扣非能否盈利？,我们将努力争取，并有信心实现公司各项经营目标的超额完成。谢谢！
17,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,公司将适时通过兼并收购等方式扩大经营规模，增强企业竞争力和抗风险能力。谢谢！
18,今年打算运营多少个公路港,您好，2017年底公司计划运营公路港58个。谢谢关注！
19,菜鸟物流供应链和传化打造的供应链区别在那里？未来能否双方在某个领域合作。,菜鸟主要服务消费端短链的电商平台，公司是服务于生产端、贯穿整个供应链长链的系统服务平台，存在一定的合作空间。
20,供应链营业收入很高，利润缺看不见，供应链未来的盈利如何,公司在传化网打造的过程中，2016年以公路港为依托，推进城市供应链服务。各公路港根据城市产业特征，在大宗商品、车后等领域试点探索城市供应链服务。17年公司将依托供应链服务的探索，持续打造完善传化网，丰富生态场景。谢谢！
21,贵公司员工一个月能挣多少？,我们公司有灵活多样的薪酬激励机制，对于不同岗位的员工都有不同激励，尤其在一些创新业务上，我们还会考虑股权激励、创客机制等举措，仅仅用一个工资平均数来是很难说明问题。谢谢！
22,怎么看待明年的小非解禁 会对市场造成冲击吗,经过2016年的战略布局，公司在2017年已经全面部署。未来，公司的各项业务将持续发力。市场是流动的，我们对市场充满信心。谢谢！
23,今年人工费用是否还会出现阶段性上涨？,确实，从2016的年报数据来看，公司在职工薪酬福利支出上确实有一定的增长，主要是基于公司战略核心业务处于快速发展阶段，需要引进大量的专业化人才共同成就事业，导致了公司薪酬支出增加。接下来，随着业务的持续深入推进和中高端人才引进，不排除薪酬支出保持一定合理比例增加的可能性。谢谢！
24,持有传化智联12年了，股改开始，第一家中小板率先股改，方案也不错，徐总还说过不在25以下减持，那时候坚定看好，总经理还是应天根，可是现在重组后，股票走的很不理想，我希望徐先生真的需要考虑下我们小散户需要什么了。。,您好，作为传化股票12年的持有者，您的利益已经有所体现。谢谢！
