,Question,Answer
0,中美贸易摩擦有没有给公司出口带来影响？,您好！中美贸易摩擦所引发的关税问题，我司各类原材料主要在国内采购，公司各类产品目前并未被列入惩罚性关税名单内，因此目前并未受到明显的影响，但后势仍有待观察，我们会密切关注相关情势变化，必要时及时采取因应措施。谢谢！
1,如何更好地打入市场，占尽商机。,公司将充分发挥三个生产基地（深圳、天津、太仓）的协同规模效应，集中采购、销售，同时为客户提供一站式配套服务，以规模优势和产品质量打入市场，以配套服务留住客户，为企业实现最大效益。
2,原计划要建办公楼和宿舍楼的闲置地块，目前在做什么用途？,您好！感谢您的关注。原计划建宿舍和办公室楼的地块目前空置，等待松岗厂区城市更新项目获得政府批准后并入整体进行规划、建设。谢谢！
3,今年摩拜给公司的订单较去年同期有没有增长？,您好！去年国内各大一线城市各品牌共享单车大量无序投放，造成许多市容问题，现政府制定严格的投放管理办法，大幅减少新车投放数量，他们积极开拓二三线城市以及国外市场，我们也期望他们市场拓展顺利，以增加我们的订单。
4,公司有没有开拓其他共享单车品牌的合作关系？,"您好！公司参与共享单车业务，目前主要供应摩拜共享单车配件，后续将持续关注各家共享单车使用车款换代升级的情况，以及新增共享单车品牌的发展情况，选择合适车款及对象，积极争取合作的机会。谢谢！
"
5,您怎么看待来自健身器材行业的潜在需求空间？,您好！感谢您的关注。随着社会及经济的发展，国民的生活水平大幅度普遍提升，健康意识抬头，对于健康的需求日益增长，加上国家政策鼓励，健身器材行业的发展前景良好！谢谢！
6,目前许多城市对新增共享单车都制定了严格的规定，对公司订单增长会带来什么影响？,您好！去年共享单车大量无序投放到市场，造成市容严重破坏，政府为了共享单车永续发展制定管理规范，对共享单车未来政府制定严格管理办法，对共享单车未来长远的发展是健康有利的。谢谢！
7,公司有没有参与共享单车业务？为哪些品牌供货？,您好！公司参与共享单车业务，目前主要供应摩拜共享单车配件，后续将持续关注各家共享单车使用车款换代升级的情况，选择合适车款及对象，积极争取合作的机会。
8,公司今年会不会进行厂房搬迁？,今年不会搬迁，必须等到城市更新，政府核准之后我们才可以买地建厂，现在不可能搬迁。谢谢！
9,瑞姆乐园在国内哪些城市有分布？今年有没有新开业计划？,您好！感谢您的关注。设立于深圳的第一个瑞姆乐园由于地点离人群集中的市区较远，运营一年无法达到公司设定的目标，已于2017年5月暂停，公司正在研究新的发展方式。谢谢！
10,现在共享单车的盛行，其他租赁单车业务是否基本上停滞了？,您好！感谢您的关注。共享单车业务方面，本公司主要向摩拜单车供应配件。其他租赁单车业务的情况我们不是很清楚。谢谢！
