,Question,Answer
0,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,股价是由市场决定的，公司能做的是努力经营，创造好的业绩就是对股东最大的信心，谢谢！
1,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,你好，各大区域的销售和比例具体数据请参见本公司2016年年度报告。
2,请问，对于城市生态环境问题你怎么看？,生态环境治理需要专业的机构，但更需要人们提高环保的意思，并参与其中。
3,行业有没有周期性？,你好，近年来，随着国家对环境保护的日渐重视，接连出台了各项政策，催生了生态景观行业巨大的市场空间，并且伴随着PPP模式的愈加成熟，未来几年将迎来行业发展的黄金期。
4,请问公司公司的核心竞争力是什么？,公司为国家高新技术企业，致力于发展生态修复与重构业务，相关业务经验丰富、专业技术水平领先。公司在研发技术、核心经营资质、跨区域经营、人才及工程管理等方面都有较强的竞争优势，具体可以查阅公司2016年年度报告中第三节之核心竞争力分析部分的内容。
5,公司今年有没有新产品和新业务拓展？对城镇一体化带来大发展机遇，公司有没有具体的发展计划？,2017年，公司将聚焦三大核心业务平台建设，打造公司“研发、施工、投融资”三大平台，全方位提升公司业务拓展水平及工程施工360度管理能力，积极响应国家“一带一路”建设及“长江经济带建设”的发展战略，大力拓展生态景观PPP项目并策略性布局PPP2.0新模式业务，在既保障公司稳定增长的同时又为公司长期可持续发展奠定基础。具体发展计划请详见公司2016年年度报告第四章节，谢谢！
6,今年如何分红，是否高送转，有计划吗？,公司今年利润分配方案已于3月27日在巨潮资讯网公告，并通过了年度股东大会审议，请关注公告，谢谢！
7,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,公司为国家高新技术企业，致力于发展生态修复与重构业务，相关业务经验丰富、专业技术水平领先。公司高度重视技术研发创新，通过加强自身研发力度、企校合作等多种方式，掌握了多项水生态治理先进技术及新型景观营造技术、拥有丰富的绿化植物种质资源库，通过收购绿之源公司又将技术优势拓展到边坡治理、矿山修复和土壤修复等领域，打造了美尚生态完备的生态景观建设技术研发平台。截至2016年12月31日，公司共拥有专利60项，其中，发明专利21项，实用新型专利33项，外观设计专利6项。公司积极探索、研发创新出PPP2.0模式，将为公司带来新的利润增长点。关于公司未来的增长还请关注公司后续的公告。
8,王总，您好，第一个问题，公司未来有没有进一步产业整合规划?第二个问题，公司有没有多元化计划，第三个问题，公司准备如何完分红机制?,请关注公司2016年度报告第四章节经营计划相关内容。公司分红严格按照公司章程及分红管理办法等规定执行，并将依据相关政策不断完善。谢谢您的关注！
9,公司今年有没有新产品和新业务拓展？,关于公司今年的发展战略及经营计划请查阅公司2016年年度报告全文第四章杰之第九点公司未来发展的展望。
10,您好，公司是2015年年底上市的，第一次发行受到股市暴跌的影响宣布暂缓发行半年，您怎么看？,您好，请关注公司于2015年7月4日在巨潮资讯网刊登的《首次公开发行 A 股暂缓发行的公告》。
11,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",公司为国家高新技术企业，致力于发展生态修复与重构业务，并且公司在核心经营资质等级、设计施工一体化服务能力、专业技术人才储备、工程质量及管理等方面都具有较强的优势。公司将通过打造生态修复与重构业务生态圈，逐步实现项目管理互联网，尝试施工机械智能化，打造公司施工360度管理平台。公司将继续全力建设公司研发平台，战略性的逐步整合设立投融资平台，以巩固和发展公司竞争优势，进一步提升公司在行业中的竞争地位。
12,公司生产经营的季节性如何?哪个季节是旺季?,你好，公司生产受项目地点、施工内容的影响较大，一般第一季度加上春节假期的影响为淡季。
13,公司作为湿地生态修复的龙头企业，是否会抓住政策机会，考虑在雄安地区布局？谢谢。,您好，暂无此计划！谢谢关注！
14,请问公司里是否有专人负责回答全景网投资者关系互动平台里股民的问题？股民的问题是否会传到公司的高层？,投资者关系作为上市公司工作中的重要环节，一直被公司所关注，股民对于公司的问题与建议也有专人负责传达董事会，谢谢！
15,请问公司上市前的BT项目金额有多少，目前有多少进入回款期了？,你好，公司上市前的BT项目金额请参见公司招股说明书；所有BT项目都依据合同正常回款。
16,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,公司的2017年的发展规划请查阅公司2016年年度报告全文第四章节，其中有详细说明，谢谢！
17,您好！请问公司作为湿地修复龙头企业，是否会抓住国家政策，考虑在雄安地区，特别是白洋淀设立分公司或开展业务，谢谢！,公司会按照既定的经营计划努力经营，在环北京地区的业务也在正常进行中，公司拟在北京设立分公司，目前没有在雄安地区设立分公司的计划。
18,去年监管层要求现金分红，各交易所也发布了现金分红指引，公司怎么看，有这个打算吗？,今年公司利润分配方案已通过年度股东大会，谢谢关注！
19,请介绍一下公司的行业地位？,你好，请关注公司2016年度报告第三节相关内容，谢谢！
20,请介绍一下公司所处行业和主要产品？,你好，请关注公司2016年度报告第三节相关内容。
21,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,你好，人力成本的波动是正常的，目前没有明显大幅度的上升；对公司营业成本影响不大。
22,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",机构调研活动情况会在证监会指定的法定披露媒体巨潮资讯网上披露，可以在巨潮资讯网上查询。
23,公司未来发展前景如何?对目前这个行业的前途看好吗？,国家一直重视生态环保行业的发展，公司未来发展前景良好，市场广阔。
24,我是公司的一名小股东，请问我想现场参加股东大会，不知道应该怎么做？需要什么样的程序？,您可以关注公司关于召开股东大会通知的公告，公告中会具体说明参会的流程。一般流程是在股权登记日之后，根据公告要求准备好参会需要的材料，在规定时间内向公司证券法务部联系参会登记，公司核实材料无误后，在股东大会召开当日携带好相关材料原件前往参加。
25,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢对公司的关注与信任，我们会尽最大努力回馈广大投资者！
26,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,我认为公司努力经营，创造好的业绩就是最好的市值管理！
27,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,如有相关行动，我们会按照规定进行披露，敬请关注公司公告，谢谢！
28,2016年11月起金点园林并表，贡献营业收入3.38亿，2016年地产园林景观业务营业收入2.64亿，应该是金点园林并表贡献，0.74亿的差额，公司分了些市政园林业务给金点园林做，还是什么业务？,你好，公司2016年度8-12月份并入绿之源，11-12月份并入重庆金点，重庆金点以地产园林景观为主，本来就有市政园林景观业务，本公司没有分包市政园林项目给重庆金点施工，双方不存在内部相互施工业务。
29,看了公司的宣传片，目前的主营业务介绍一下,公司的主营业务为生态景观建设，主要包括生态修复与重构和园林景观两大类别，前者主要包括湿地生态修复与保护、城市湿地公园、面源污染生态拦截与治理、河道综合治理、矿山修复、边坡治理、土壤修复等，后者主要为道路绿化、广场景观、地产景观等。
