,Question,Answer
0,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",投资者您好，非常感谢对公司的关心，您可以在5月28日公司对外披露的2016年年度报告中第四届中查询到公司接待投资者调研的统计。
1,一直指望公司会推出高送转方案，不知道今年是否有希望，什么时候能出预告？,投资者您好，公司5月26日召开的第四届董事会第14次会议审议通过了利润分配预案，并提交股东大会。具体方案为向全体股东每10股派发现金股利1.0元（含税），2016年度无资本公积金转增股本计划，感谢您的关注！
2,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,投资者您好，非常感谢您对公司的期望，这也正是我们一直努力在做的，希望以后的发展路上一直有您的支持和陪伴。
3,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,投资者您好！公司2017年将拓展与国际知名一、二线品牌合作业务，采取运营及代理的模式，开展品牌产业跨界、设计师互通等新型合作形式。同时，公司将继续强化自有珠宝品牌传播，并着力打造会员系统，全面整合涉及商业、旅游、酒店和商场资产、精品农业、金融等渠道的客户资源，致力于为客户提供全覆盖的商品和服务。谢谢您的关注。
4,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,投资者您好，公司在经过思考、市场调研、研究、讨论等等路程，终于走向转型成功之路，目标就是强化自身业务，增强上市公司实力，努力实现股东利润回报最大化。公司的发展离不开股东的支持，我们也希望投资者能够与我们共同进步，鉴证公司的发展。感谢您的关注。
5,请问公司在旅游这一块有什么用具体的经营计划和产品定位，未来如何与现有业务产生协同效应。,投资者您好！公司旅游产业发展方向定位于助力旅游消费品产业升级，未来将作为商业产业链上下游的销售渠道，成为品质消费圈的组成部分。谢谢关注。
6,请问公司今年营收的增长能超过行业的平均水平吗？,投资者您好，感谢您的提问。2017年我公司将会在商业板块合作国际品牌，打造优秀品牌运营公司形象，继续加强自有珠宝品牌建设，提升品牌价值；全力打造全产业链会员系统，拓展商业渠道版图；同时强化运营管理，提升集团化管控能力;在高端制造板块，公司将贯彻“以市场为导向，以客户为中心”的经营方针，抓住市场机会，推进并优化产业及业务布局，提高运营及资产效率，保持公司业绩较快增长。谢谢您的关注。
7,公司领导怎么看现在公司的股价，对我们小散有什么忠告？谢谢,投资者您好，公司未来的战略定位是品质消费品全球化运营管理平台，结合“中国文化+设计师平台”，打造中国品质消费全产业链。根据国家统计局对于中国消费市场的统计数据以及中国消费主力对消费升级的迫切需求，我们对公司未来的发展是有信心的。感谢关注！
8,公司去年财务费用和管理费用怎样？同财务费用相比呢？今年有没有折旧？请问管理费用今年会能稳定吗？,投资者您好。感谢您的提问。1.公司2016年财务费用和管理费用较2015年有较大的增长，主要原因是2016年合并了联金所、赫美微贷、欧祺亚，而2015年同期是没有的。2.财务费用同比也是增加的，除了上述原因外，公司增加了短期借款，所以财务费用也有上升。3.2017年公司仍然有折旧。4.按照2016年的合并范围的话，2017年管理费用会相对稳定。谢谢您。
9,在做项目之前是否对项目进行严谨的可行性研究？,投资者您好，公司在对外投资前期会进行充分的尽调工作，包括可行性研究报告的整理。感谢您的关注！
10,请问公司明年净利润能做到多少？,"投资者您好，感谢您的提问。公司2017年将继续按照“商业为主、辅之以旅业+金融”的品质消费升级战略开展业务，2017年公司将继续加强集团组织管控，积极探索、完善适应公司发展战略的企业集团化的组织管理模式，強化资源整合能力，以职能清晰，工作高效为原则，逐步完善与战略相配套的组织、财务、人力、IT系统，提高组织整体运作效率,确保股东利益的最大化。谢谢您。"
11,公司每次投资项目的可行性报告是否有详细说明公告？,投资者您好，公司在对外投资前期会进行充分的尽调工作，包括可行性研究报告的整理。公司的信息披露严格按照监管部门的规定执行。感谢您的关注！
12,公司有没有股权激励计划？,投资者您好，公司于2017年1月19日第四届董事会第九次会议审议通过了关于第一期员工持股计划草案，如有最新进展，公司会及时披露。关于股权激励，公司不排除未来有计划的可能。感谢您的关注！
13,请描述一下公司未来的发展前景，谢谢！,投资者您好，公司定位于品质消费品全球化运营管理平台，联合全球有影响力的品牌，搭建国际品牌联盟，建立中国自主品牌培育体系、运营培育，打造中国品质消费全产业链，立足国内市场并不断扩展国际合作，推动品质消费品的国际化发展，让中国文化、中国品牌走向世界。 感谢关注！
14,请问具体联系证券代表的电话是多少？,投资者您好，公司的对外投资者咨询电话是0755-26755598，感谢关注！
15,请问公司以后每年会用什么形式回馈股东？,投资者您好，公司非常关注对投资者的回报，每年均实施了现金分红方案。感谢您的关注！
16,截至目前，公司的同比销售额有增长吗？,投资者您好。从我们一季报的数据可以看出，2017年1季度营业收入为7.8亿元，同比增长110.37%。谢谢您。
17,请问净利润的增长率和销售收入增长同步吗？,投资者您好，根据2016年报财务数据，2016年销售收入同比增长率为68.52%，扣非前净利润同比增长率31.87%，扣非后同比增长率为118.73%。而且2016年扣非的因素非常少，所以，净利润的增长是与销售收入的增长息息相关的。谢谢您。
18,将来公司的下属公司会有上市的打算吗?,投资者您好，公司目前主要以商业板块为重点，高端制造业板块稳步发展为格局。未来会根据各子公司发展状况及集团发展需要，也不排除会有这种可能性。感谢您的关注！
19,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,投资者您好！公司2017年将拓展与国际知名一、二线品牌合作业务，采取运营及代理的模式，开展品牌产业跨界、设计师互通等新型合作形式。同时，公司将继续强化自有珠宝品牌传播，并着力打造会员系统，全面整合涉及商业、旅游、酒店和商场资产、精品农业、金融等渠道的客户资源，致力于为客户提供全覆盖的商品和服务。谢谢您的关注。
20,请问公司股票上市时期价格多少，现在多少，还具有投资价值吗？,投资者您好，建议您在选择上市公司投资前多关注公司的财务数据，目前的经营情况和未来的发展前景，才能更理性的选择投资方向。谢谢您的关注！
21,目前公司享有的国家优惠政策有哪些？,投资者您好，公司目前享有的国家优惠政策主要包括：1.高新技术企业所得税率15%优惠（主要是赫美集团母公司及下属银骏科技、锐拔科技、联金所）2.软件企业增值税税过3%部分即征即退政策（主要是锐拔科技）3.前海联金所2016年享受企业所得税免税优惠政策。谢谢您。
22,公司现在负债总额是多少？每年负债的利息是多少？谢谢。,投资人您好，截止2016年12月31日公司负责总额为28.6亿元，其中短期借款15.13亿元。2016年利息总额为6317.6万元。谢谢。
