,Question,Answer
0,管理团队有信心把市值做到200亿吗？大概几年能实现，关键是自己掌握核心技术，向华为好好学习吧,我们会努力做好公司，相信未来更美好
1,天奇的新经理可以的，股价大跌 叫别人换个公司 呵呵了 大家不用提问了 散了散了 没前途的领导层，公司也没前途了,二个字纠结的人：回答股份下跌是暂时的，公司有信心，不相信；让其重新选择，又如此一说，横竖不舒服！
2,说实话，到这个点你们的领导都走了准备回家过周末，只有独立懂事还在硬撑呢，这也看得出一个公司的负责态度,您好！目前嘉宾都在线，正在回答投资者的问题。
3,说实话这个交流没有得到多少信息，业绩说明会根本就没说业绩，对于学生考试考差了还知道努力和去补自己的弱项，这个交流会看不出来，都是空谈,我们在认真的回答你们提出的每个问题
4,我看到好多仓库有机器人搬运工分发货物，贵公司能做这样的产品吗？或者扫地的机器人也行啊,仓储业务的发展，刚才在回答问题中也提到，因业务发展不及预期，团队将进行大的调整！
5,请问总经理，你觉得公司股价在12.7元左右是严重低估吗,个人认为：目前公司股价已严重偏离公司投资价值！
6,公司好不好和公司的老大关系很大，就看新的老总能力了，是骡子是马会见分晓的,我们团队，包括新同仁、老同事，会一直努力，不辜负大家的期望！
7,你这心胸就足以说明天奇为什么不行了 叫别人换个公司  我也呵呵了  大家换吧  不用发言了  这公司就是天下之一大奇葩 简称天奇,礼貌用语，文明发言，谢谢
8,公司有打算改名  天奇智能吗？ 三丰智能与公司主营业务几乎一样，营业收入只有公司的1/8，可市值差不多是公司的2倍,公司目前没有更名的计划！谢谢！
9,董秘小姐，大盘现在3170多点，公司的股价却创了2638以来的新低，你说天奇这是受大盘影响？这样真的好吗？,成熟的投资者应该有合理的判断，抱怨不会使你的钱袋子增加。与其这样，你不如换个你认为有价值的公司进行投资！
10,公司生产风电的铸件和风叶毛利太低了，有计划做整机吗？和大力发展民用光伏屋顶电站为中国环境做贡献.,对不起，风电行业目前已不是公司发展的方向，公司目前不会再在该行业增加投资。目前已投的风电产业，也会在合适的时机下进行整合调整！
11,也对  炒股是我们自己的事  怪不得公司 谢谢您的耐心回答,感谢您的关注和支持！
12,徐总，我是002009的小小小股东，但是跟踪贵司有几年了，我有点想法，希望公司领导能看到：1）担忧公司没有优势的情况下，进去太阳能领域；2）非常担心没有在智能仓储/物流等方面的研发、投入等等，导致没有核心竞争力；,谢谢您对天奇的厚爱，天奇引入了专业的新能源集成团队介入光伏电站设计总承包，智能仓储设备公司已经加强对团队与其它投入。
13,有操盘手已经透风了  四月底前打到10块,自已判断，钱是你的！
14,跌了倒无所谓 我已经拿着天奇股票一年多了 但是你这业绩盈利 再这样跌 是不是庄家操纵呢 我们小散是确实看好天奇前景,公司基本面没有问题，股价下跌我们认为是暂时性的，相信公司的前景会给你们合理回报的！
15,公司风电和燃汽轮机主要是做铸件吗？客户有GE吗？,公司生产的风电产品主要为轮毂、底座、轴承座、行星架、输入/输出箱体等，为铸件产品。公司成功开发并批量生产的有0.85MW、1.25MW、1.5MW、2.0MW、2.4MW、2.5MW、3MW、3.6MW、5MW和6MW的风电铸件。主要客户为GE、VESTAS、MHI、GEMESA、ALSTOM、Repower等世界知名风机制造商。
16,公司有计划发展人工智能物流系统吗？,公司一直计划发展智能物流，但进程并未达到预期，目前正在对团队及思路进行调整。谢谢！
17,面对股价下跌，众多公司纷纷推出增持方案，贵公司有没有增持方案或者二期员工持股？还有没有减持计划了？,抱歉，公司董事会尚无此类计划，但我相信目前的股价下跌是暂时性的，历史会验证这些的。
18,股价四月底前到10块  您觉得合适嘛,我如果能预知股价，我就是先知了，可惜我不是！
19,我是汽车零部件行业从业人员，从现有订单来看我所在的工厂4、5月份的订单堪忧，大幅减少；能否通报一下，2017年目前为止贵司拿到的订单是不是比2016/2015少了很多？,公司汽车自动化业务今年的整体情况还是保持稳定，从目前的情况来说，订单情况还是乐观的，许多项目信息正在跟踪过程中。谢谢！
20,既然搞这个业绩说明会 那就拿出点干货和诚意,您好！公司诚意满满！
21,公司打算改名为   天奇智能吗？,公司目前没有该计划，公司不是靠改名捕眼球的。
