,Question,Answer
0,请问一下，有哪些产品涉及到5G领域？,公司会关注5G技术的进展，在适当时候提出满足客户需求的解决方案。
1,截至2018年第一季度，公司有多少应收账款？,公司2018年第一季度报告披露时，报表将披露相关信息。
2,k米引入腾讯、美团有什么重大意义吗？,本次引入的战略投资者腾讯音乐，是中国互联网巨头腾讯旗下的一家企业，是中国在线音乐服务领航者，腾讯音乐旗下的产品提供线上K歌业务，凯米网络定位于面向线下场景的K歌互联网运营业务，双方品牌独立存在、各自经营。本次增资完成后，双方合作运营，共同致力于打造全国最大的线上线下K歌平台。同时K米将依托腾讯音乐旗下直播平台，可实现直播变现，打造流量明星等功能；本次引入的战略投资者美团点评，是中国最大的生活服务业电商平台，在O2O领域占有绝对垄断地位。在到店餐饮、外卖、电影、酒店旅游、KTV、婚庆等领域保持领先地位。美团点评平台与凯米网络将共同致力于为商家赋能，通过智慧KTV产品及线上用户流量，为线下KTV场所引流及交易方面提供更优化的支持，促进商家生意，提升整体行业盈利水平。
3,公司各业务板块哪个增速最大？,公司各项业务都有所增长，具体数据请参阅公司年报。
4,腾讯音乐给凯米网络投资了多少？,腾讯音乐投资凯米网络4000万元。
5,升腾资讯的只能终端是否有入围招商银行和浦发银行？,升腾资讯的产品入围许多商业银行。
6,公司2018年有什么计划吗？,希望通过我们的努力，能为投资者带来较好的回报。
7,2017年pos销量大幅增加得益于什么？,得益于有效的研发投入和快速的市场反应能力。
8,怎么看待美团点评这一投资者加入网约车行列？,这个事件和公司业务没有关系吧，我们对此不做评价。
9,2017年锐捷网络研发了大量新产品，是否意味着2018年锐捷网络将恢复高增长？,我们希望公司业务能够持续稳健的发展。
10,贵公司是高科技公司吗,公司的主要产品属于高新技术范畴。
11,公司的wifi设备，控制器是否有像UNIFI一样，采用云控制的这种研发方向？这样会大大减少用户端的投入费用,公司会关注行业技术的发展方向为客户提供满意的解决方案。
12,阮总好，公司是否有考虑加大发展，普通用户或家庭用户的WIFI设备,我们会根据市场的需求及公司自身的能力来决定公司产品的发展方向。
13,公司一季度净利润为何下降那么多？反而较2017同期亏损减少？有季节性因素吗？,一季度为公司业务淡季，预计收入同比上年度有所增长，但是一季度收入全年占比较小，预计2018年第一季度业绩仍将亏损，但亏损将比上年同期减少。
14,牵手美团会给公司的经营方针带来怎样的变化？,会对凯米网络的发展有一定的促进作用。
15,公司研发经费那么高，主要花在什么项目上,公司研发费用支出项目情况已经在公司年报上披露，请参阅，谢谢。
16,公司的研发人员大幅增多，主要是研发哪个领域,公司所处行业需要持续的研发投入。
17,锐捷网络2017年收入高增长，为什么利润增长个位数？18年利润增长情况会不会改善？,2017年锐捷网络在研发方面投入较多，我们希望这些投入能够在2018年获得收获。
18,公司在快速扩张中，三费支出情况如何？,公司三项费用执行预算管理，2017年三项费用增长幅度低于营业收入增长幅度。
19,公司有巨大的客户群，未来有什么计划利用好这些数据？公司有计划在大数据、信息安全发力吗？,公司会根据自身的发展情况制定相应发发展战略。
20,现在都在拓展哪些新业务？进展如何？,公司会根据客户需求提供解决方案。
21,公司有没有计划继续收购少数股东权益？尤其是锐捷网络,暂时无这方面计划。
22,公司的K米2018年没有纳入报表，那不是2018年少的很多利润，那么投资K码的收益怎么体现在上市公司利润中呢，谢谢！,凯米网络2018年引入战略投资者后，公司对凯米网络不再具有控股地位，凯米网络将不再纳入公司的合并报表范围，将改按权益法核算，相关收益将以投资收益体现在上市公司利润中。
23,K米是否有IPO的计划？,目前没有这方面计划。
24,凯米网络什么时候会发起C轮融资？,目前暂时没有这方面计划。
25,请问公司的物联网微功耗芯片进展怎么样？,上述信息您应该是从福州市发改委的新闻中获得，据了解，在福州市发改委2018年重点项目名录中并无此项目，公司也无应披露未披露信息。
26,公司在细分市场上的领先优势主要体现在哪里？,公司在企业级网络通讯，瘦客户机终端、KTV解决方案等市场具有一定的市占率，有些细分市场第三方数据排名靠前。
27,腾讯音乐和美团点评分别占公司多少股份？,腾讯音乐和美团点评各占凯米网络6.45%的股份。
28,公司和腾讯音乐有合作了，是否还会和虾米音乐或者网易云音乐有交集？,公司会根据自身的发展情况制定相应的发展战略。
29,美国早上发布了对中国500亿商品征收关税里面有没公司的产品，公司产品现在在美国销售的份额占总数收入比例有多少，征税对公司有没影响，谢谢！,德明通讯是给客户提供符合客户需求的定制化的产品，客户具有一定的粘性，因此短时间内对德明通讯的美国市场的影响较小，长远来看，中美贸易还存在许多不确定因素，对德明在美国销售的长期性影响目前还不确定。德明通讯会通过拓展其他地区市场来抵消一些不确定性。
30,公司现在市场上最大竞争对手是谁？,公司在网络设备方面的竞争对手有华为、华三、思科等。
31,公司子公司目前整合的情况如何？,公司收购升腾资讯和星网视易少数股东权益的工作已经于2017年完成。
32,锐捷网络的以太交换机在中国市场上的份额现在又多少？,公司年报里有披露，目前还没有更新的第三方数据。
33,是否认为公司是wifi龙头？是否存在价值低估？,公司在WLAN领域有一定的竞争优势。公司股价是市场通过竞价机制形成的。
