,Question,Answer
0,青岛海洋自从去年拿了3000万不到军工订单之后，是否有新进展？如果有，订单多大？军工这块预计今年能否多少订单？,投资者您好，感谢您的提问！青岛海洋2016年度的业绩承诺已经实现。
1,对比大股东而言，中小投资者的合法权益有哪些特别之处？,投资者您好，感谢您的提问！对比大股东而言中小投资者具有信息弱势、抗风险能力和自有保护能力弱等特点，我们公司非常重视中小投资者合法权益的维护。
2,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,投资者您好，感谢您的提问！公司的发展战略是倡导高效节能、低碳环保、科技创新的绿色智慧理念，持续巩固国内空调风机市场行业领导者地位；积极拓展新能源汽车领域产业布局，整合新材料、智能科技在风机、电机行业的广泛应用，致力于打造绿色智慧产品，不断提升人类宜居环境，努力将亿利达打造成为行业极具影响力的国际知名企业。
3,公司股东人数2016年9月底1.86万，2016年底1.67万，2017年2月28日1.59万，那3月15日股东人数多少？前十大股东在3月15日与去年底相比，有无变化？,投资者您好，感谢您的提问！3月15日的股东总户数较2月底有所减少。公司由于发行股份购买资产及配套募集资金导致3月15日的前十大股东与去年底相比有所变动。
4,公司今年的财务费用会有多少？,"投资者您好，感谢您的提问！
财务费用情况请及时关注公司相关公告。"
5,铁城的业绩何时可以并表？,投资者您好，感谢您的提问！铁城业绩2017年2月开始并表
6,如果我想对贵公司长期投资，能给我一个长期持有的理由吗？,投资者您好，感谢您的提问！公司营业能力、团队建设及成长性都比较好。
7,最近有无投资者到公司调研,投资者您好，感谢您的提问！由于近期公司需对外披露定期报告，所以暂无投资者来公司调研。
8,请问净利润的增长率和销售收入增长同步吗？,"投资者您好，感谢您的提问！
净利润及销售收入情况请及时关注公司公告。"
9,请问董事长目前市场上公司主要的竞争对手都有哪些公司？在细分行业公司处于行业处于什么排名？谢谢,投资者您好，感谢您的提问！公司主要竞争对手有：科鲁格、南泰、朗迪等，公司在行业内处于龙头地位。
10,贵公司员工一个月能挣多少？,"投资者您好，感谢您的提问！
员工工资根据其具体的岗位确定。"
11,叔叔好，公司的业务是鼓风机的生产和销售吗？和陕鼓动力、山东章鼓在业务上比较，你们的优势是什么？,"投资者您好，感谢您的提问！
我公司主要立足于空调风机及建筑通风机业务，和陕鼓动力、山东章鼓在业务上无相关性。"
12,请问未来公司对稳定股价会做出哪些举措？,投资者您好，感谢您的提问！我们将尽全力增加收入，降低成本，提高效益。
13,陈叔叔好，公司是2012年？月？日上市的,投资者您好，感谢您的提问！公司于2012年7月3日在深交所上市。
14,请问董事长，您名下有没有未注入上市公司的其他资产（公司）呢？,投资者您好，感谢您的提问！请关注年度报告中的相关内容！
15,建议公司在做好业绩的同时也要积极邀请各家机构前来调研，让更多人关注。,投资者您好，感谢您的建议。
16,公司管理层怎么看待去年的业绩，满意么？能说下今年有什么目标吗？,"投资者您好，感谢您的提问！
请及时关注公司公告。"
17,我对贵公司是长期投资的，请问预计今年一季度会盈利多少？,投资者您好，感谢您的提问！请及时关注4月份公司披露的一季度报告。
18,你怎么看公司的业绩和公司的股价和市值的？,投资者您好，感谢您的提问！二级市场股价受多方面因素影响，公司对未来的发展充满信心。
19,请问董事长平时与公司前十大流通股东有交流吗？,投资者您好，感谢您的提问！我们都有及时关注公司每期前十大股东的排名情况。
20,2017年有重组计划吗？,投资者您好，感谢您的提问！公司不排除2017年有重组计划！
21,铁成台州基地投产后总产能有多少万台？杭州现有产能多少万台？台州投产后杭州基地是否关闭？新产能中大功率的占比多少？,投资者您好，感谢您的提问！铁城台州基地产能可以完成市场的需要，目前台州基地已经全面投产，杭州基地不做关闭。
22,请问公司如何看待市值管理的？近期管理层新出的增发新规对公司以后资本运作有何影响？,投资者您好，感谢您的提问！公司非常看重市值管理，除再融资外增发新规对公司资本运作没有影响。
23,公司目前的股东结构是怎样的？是否有利于优化公司治理结构和企业长远发展？,投资者您好，感谢您的提问！公司在定期报告中都有对外披露股东结构，请关注相关公告。
24,去年下半年以来，地产基地业务火爆，为什么在公司主业业绩上没有体现？公司现金流1.8亿远高于净利润，是否有隐藏利润？主业这块未来发展前景如何？,投资者您好，感谢您的提问！公司的业绩已经如实体现，公司非常看好主业发展。
25,章总您好，作为长期关注公司的小股东，对公司的投资者关系感到很失望：1. 去年11月以来，公司没有接待过任何机构投资者；2. 投资者关系论坛回答问题速度非常慢，经常一周以上时间。再来看看公司股价，板块大涨公司微涨，市场一不好就是连续下跌。在台州的企业中，还有谁的估值比我们低，总市值我们也是下游吧。如果还是现在的投资者关系状况，那公司只能被边缘化，成交量就说明了问题。希望公司能重视，不要闭门造车。,投资者您好，感谢您的建议！在今后的工作中我们将积极改正不足之处，争取为广大投资者创造更多的利益。
26,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,"投资者您好，感谢您的提问！
公司不排除未来有相关计划。"
27,公司对市值管理是如何考虑的，目前70亿市值对未来的市场而言太小了，很多投资机构基本没有兴趣，流动性太差了，之前深港股也没有进入。公司如何考虑做大市值，还是继续收购吗？如果我们能把铁城和青岛海洋做大做强，相信至少可以支撑一百亿市值。,"投资者您好，感谢您的提问！
公司将持续巩固国内空调风机市场行业领导者地位；积极拓展新能源汽车领域产业布局，整合新材料、智能科技在风机、电机行业的广泛应用。"
