,Question,Answer
0,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司在上海设立了博彦科技全球研究与创新中心，并在美国和日本设立研发基地。2016年公司研发费用投入超过1亿元人民币。
1,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",公司战略转型取得了一定成效，新老业务齐头并进，各项业务稳健发展。
2,请问公司今年是否有对外扩张的打算？今年公司在市场开拓方面有什么计划？能否详细谈谈？谢谢,公司外延式并购的步伐并未停止，积极寻找符合公司发展战略的标的。
3,公司是否会计划多元化发展？,公司目前业务的发展方向主要为：金融IT、大数据、云服务。
4,请问公司今年营收的增长能超过行业的平均水平吗？,近三年，公司的营业收入保持稳定增长，增速在10%左右。
5,请问净利润的增长率和销售收入增长同步吗？,2016年公司净利润增长率小于销售收入增长率。
6,在做项目之前是否对项目进行严谨的可行性研究？,是。
7,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"2016年存货的账面净值为27,322.73元，金额较小。"
8,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,公司2017年第一季度归属于母公司的净利润预计比上年同期增长：0% - 30%。详见2017年3月23日刊登于信息披露媒体的《博彦科技股份有限公司2017年第一季度业绩预告》。
9,截至目前，公司的同比销售额有增长吗？,公司第一季度将于2017年04月25日披露，请您关注公司公告。
10,请问公司在财务结构上有什么不足，打算采取哪些举措。,公司财务结构从架构设置，人员职业资格，不同区域的工作经验，语言背景等能满足上市公司合规性和促进业务发展的需求。
11,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,日本地区的销售收入占比约为 20%，北美地区的销售收入占比约为41%，国内的销售收入占比约为39%
12,叔叔好，什么是大数据？,公司的大数据业务：通过主流的网站分析技术，为客户提供互联网消费者行为研究、行业竞争分析咨询以及媒体信息监测等服务；为企业提供24小时无间断的优质网站分析服务，通过实施严格的数据保护措施和网站数据运营服务来保证企业客户数据的准确性，为搜索、电子商务、社交网络、商旅、视频等网站提供高附加值的分析服务。
13,崔艳？是第一财经的主持人吧？什么是服务外包,您好，我是公司财务总监CUI YAN。并不是您所指的第一财经的主持人。
14,眼镜叔叔好，目前公司的主要客户很多，都要哪些呢？,公司的客户主要包括互联网企业、高科技企业、银行基金等金融企业。
15,叔叔好，什么是服务外包呢？,"英文原文Outsourcing，可以理解为有效地利用外部资源（人力资源）完成自己的非核心业务流程。
目前公司正向行业解决方案与服务提供商转型。"
16,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,公司有健全的内控制度，以确保公司业务稳健发展。公司可能面临的风险为：技术变革导致商业模式改变风险、汇率波动风险、人才流失风险、商誉减值的风险、管理能力风险、客户较为集中的风险，详见2016年年度报告“第四节、九公司未来发展的展望”。
17,叔叔好，公司地处北京，作为我国的it企业，公司的优势是什么？,公司自1995年成立至今，一直专注于IT服务，公司积累丰富的经验和技术，与公司客户保持良好的合作关系，为客户创造价值；同时，公司拥有一批高素质的管理团队和技术人员。
18,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,公司致力于追求业务稳定增长，提升公司价值，积极为股东创造价值。并和资本市场保持及时有效的沟通。
19,公司每次投资项目的可行性报告是否有详细说明公告？,公司将严格按照证监会和交易所的相关规定履行信息披露义务。
20,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,公司属于IT服务企业，目前暂无在建项目。谢谢！
21,公司未来发展前景如何?对目前这个行业的前途看好吗？,公司正在进行转型，定位为全球IT服务与解决方案提供商，从目前来看，公司转型已取得初步成效，我们对公司未来发展保持信心。
22,请问公司公司的核心竞争力是什么？,公司历年年度报告均披露了核心竞争力，请您查阅相关公告，概括讲包括4大块：交付能力、研发能力、质量管理能力、组织和人才发展能力。
23,公司是否具备长期投资的价值？你是怎么看的？ 如果有机会，你会增持吗？,公司业务发展稳健，自2012年1月上市以来，公司营业收入保持稳定增长，公司目前正在战略转型，我们对公司未来发展充满信心。
24,作为一家上市公司，为了更有利于与投资者交流，能不能在公司网站上设置交流互动功能？,谢谢您的建议，目前我们主要在深交所投资者互动平台上进行网上交流互动。同时，我们公布了投资者交流热线和邮箱。
25,王叔叔好，公司于2012年1月6日登录中小板市场，目前的主营业务是,公司主营业务为IT服务，目前正在向行业解决方案提供商转型，业务重点关注三个方向：金融IT、大数据、云服务。
26,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,公司会充分利用各种融资工具支撑公司业务发展。公司已参与发起设立博彦嘉铭产业基金。
27,公司会参加雄安新区建设吗？,您好，公司暂时无此方面计划。
28,请问贵司一季报何时公布,2017年04月25日
