,Question,Answer
0,公司销售费用中售后服务费包括哪些内容,您好！主要是售后维修费。感谢您对公司的关注！
1,截至去年底公司员工多少人？,"您好！截至去年底，公司员工总计1,325人。感谢您对公司的关注！"
2,公司的境外子公司2017年度利润占公司报表的多少？,您好！公司的在菲律宾投资设立的子公司，其业务主要是给客户做配套服务，该子公司的营收在公司的占比很小。感谢您对公司的关注！
3,数控钣金件的市场占有率是多少？,您好！关于数控钣金件的市场占有率情况没有明确的统计数据，感谢您对公司的关注！
4,请问公司最近股价差强人意，原因是啥？,您好！公司将继续努力提高经营业绩以回报投资者，感谢您对公司的关注！
5,火电灵活调峰服务的服务客户有哪些？,您好！火电灵活调峰服务的主要客户为火电厂，感谢您对公司的关注！
6,子公司友智科技2018年盈利预估超过6000万吗？,您好！友智科技监测设备业务较为平稳；火电灵活性调峰项目已初见成效，将成为公司新的利润增长点。感谢您对公司的关注！
7,2018年1季度公司借款增加，资金主要用于那些方面？、,您好！公司目前资金主要用于灵活性调峰项目投资。感谢您对公司的关注！
8,有没有新签约的火电调峰意向？,您好！公司已开展全面调研，并有选择性的进行项目投资。公司会充分利用自身优势，获取优质的新项目。感谢您对公司的关注！
9,公司上下游采购销售的账期是多久？,您好！公司的收付款账期根据客户和供应商的不同交易情况确定。感谢您对公司的关注！
10,夏天马上要来，用电剧增，公司的火电储备情况如何？,您好！公司不涉及火电储备情况，感谢您对公司的关注！
11,近期有无员工持股计划？,您好！公司近期无员工持股计划，感谢您对公司的关注！
12,大股东何时有定增计划？,您好！目前公司尚未收到大股东增持公司股份的计划，感谢您对公司的关注！
13,请公司说明下高压电极锅炉在国内的发展趋势及国家政策有无支持。,"您好！（1）我国广大的西、北部地区冬季多采用燃煤来采暖，这更加剧了空气的污染，使得西、北部地区冬霾逐年加重。2016年5月16日，发改委等八部委联合发布了《关于推进电能替代的指导意见》，提出要积极推广“煤改电”。“煤改电”是控制煤炭消费总量、减少大气污染的重要举措，通过以“电取暖”替代传统的燃煤取暖。在环保压力倒逼下，燃煤工业锅炉行业迎来以燃煤清洁化、替代化为主要技术路线的节能减排革命，将催生数千亿元的改造、运营市场。
（2）2016年6月28日、7月28日，国家能源局先后下达两批火电灵活性改造试点项目的通知，分别确定了提升火电灵活性改造试点项目。
2016年7月22日，国家发展改革委、国家能源局《关于印发<可再生能源调峰机组优先发电试行办法>的通知》（发改运行〔2016〕1558号）要求“逐步改变热电机组年度发电计划安排原则，坚持以热定电，鼓励热电机组在采暖期参与调峰”。
2016年11月7日，国家发展改革委、国家能源局发布《电力发展“十三五”规划（2016-2020年）》要求“加强调峰能力建设，提升系统灵活性”、“全面推动煤电机组灵活性改造”。
2016年11月18日，国家能源局东北监管局批复《东北电力辅助服务市场运营规则（试行）》，鼓励火电机组进行灵活性改造，提升调峰能力。其中第八十四条 鼓励技改，指出火电机组进行重大技术改造参与调峰的，同等条件下优先调用其参与调峰。
火电机组开展灵活性调峰改造后可获得较高的调峰收益，该市场的启动将为高压电极锅炉带来新的发展机遇！感谢您的关注！"
14,公司股价一路大跌，大股东今年会增持提升股民信心吗？,您好！公司一直努力做大做强主营业务，争取以最优异的经营业绩回报广大投资者对于公司的信任与支持。感谢您的关注！
15,请问，公司当前的股东人数多少？,"您好，截止2018年4月27日，公司股东总数为26,797户，感谢您对公司的关注！"
16,阜新发电厂什么时候开始盈利？盈利规模有多大？,您好！阜新发电厂的灵活性调峰项目已正式进入商业运营。盈利达到预期。感谢您的关注！
17,公司的自动化设备2018年已接到的订单量有多少？今年有无新的合作客户？,您好！预计2018年自动化设备订单量约1.5亿元，有比较多的新的合作客户在商谈，感谢您对公司的关注。
18,请问公司2017年在研发上的投入有多少？2018年研发资金投入将增加多少？,您好！公司2017年研发支出是3657万元。2018年公司将继续加大研发增加投入。感谢您的关注，谢谢！
