,Question,Answer
0,未来几年， 公司如何定位， 哪些市场更适合公司产品的长远发展？,尊敬的投资者，您好。 公司在“十三五”规划期间，将继续立足主业、持续创新，推动高端乐器制造业务和音乐文化业务联动发展，并借助各类金融服务和资本平台，逐步拓展音乐教育培训、文化娱乐、类金融服务等相关业务，将珠江钢琴打造成为集钢琴制造、数码乐器、音乐教育、文化娱乐及类金融服务为一体的综合乐器文化企业，促进企业效益持续提升。其中，钢琴产业将通过国际运营促进钢琴主业转型升级，加快推进钢琴产业的技术、品牌、市场、人才、资本的国际化运作，全面提升产品的国际竞争力，拓展全球市场；艺术教育将加快推进全国文化艺术教育中心建设，致力打造国内一流的文化教育品牌，谢谢。
1,请问公司针对自身的弱势已经有何改善的方针？,尊敬的投资者，您好。公司形成了以“造世界最好的钢琴、做世界最强的乐器企业”为愿景、以“基于全球视野的永恒创新”和“基于顾客导向的持续改进”为主线，不断提升企业研发水平及产品品质，致力打造世界一流品牌，谢谢。
2,贵公司去年收购了国际高端钢琴品牌舒密尔，请问舒密尔钢琴使用感如何？,尊敬的投资者，您好！我弹过舒密尔的三角钢琴与立式钢琴，这个品牌在国际上都很出名，受到国际上的认可。我第一次弹奏该琴是在美国参加吉娜.巴考尔钢琴比赛时，该琴是比赛指定用琴。当时给我留下很深的印象。我觉得舒密尔钢琴是欧洲顶级钢琴的代表之一，特性非常鲜明，共鸣非常独特，声音纯正典雅，音域之间衔接均匀，低音清晰，高音饱满，触键感觉也很好，键盘敏感，手感细腻。舒密尔钢琴能够帮助演奏者更投入，更有灵感，更准确地表现音乐，谢谢您的提问。
3,涂宇亮老师，您好。请问公司这么多钢琴型号，哪些给您留下了深刻的印象？,尊敬的投资者，您好！从我学习钢琴开始就是使用珠江钢琴，至今已经有三十年的时间了，星海音乐学院的也在大量使用珠江钢琴，有很多型号我都比较熟悉，它们各具特点。譬如我们学校有很多立式118教学琴，这款琴经久耐磨，经得起高频率的使用。立式的恺撒堡也非常好，声音，触键等更方面都能够应付专业的要求。三角琴的各型号都各具特色，如GP160适合一般家庭使用，性价比较高，我印象最深的是艺术家系列的钢琴，如KA180。我觉得这款琴与欧洲顶级钢琴非常接近，声音典雅，触键敏感，感觉非常好，适合室内乐的舞台使用。还有恺撒堡的九尺音乐会钢琴我也是经常使用，这款钢琴声音宏大，各方面都能适应大型音乐会的要求。谢谢您的提问。
4,请问公司所在行业走势如何？,尊敬的投资者，您好！随着十三五规划的深入推进，国内生产总值和城乡居民人均收入提高，产业迈向中高端水平，消费对经济增长贡献明显加大，户籍人口城镇化率加快提高，为中国乐器行业及珠江钢琴等乐器文化企业创造了良好的发展环境。公司所处行业在面临全球经济增长的不确定性上升、国内钢琴市场竞争压力加大、钢琴行业跨界竞争态势加剧同时，也有新的发展机遇。主要包括：一是我国钢琴市场仍有较大发展空间，钢琴产业向中高端发展成必然趋势。而随着社会财富结构的转变，未来中高等收入家庭将成为社会主流消费群体。中高收入家庭数量的快速增长，将有望促进中高档钢琴的消费能力显著增强。二是互联网等新技术促进乐器产业融合升级，走向大众市场。在新一轮技术革命的促进下，在国家大政方针指引下，中国制造业从机械化向智能制造、绿色制造和互联网+转变，传统乐器智能化、音乐教育培训品牌化、线上线下服务一体化、产销学演产业融合化的趋势越来越明显，为钢琴企业促进产业链的融合发展、整体产业的转型升级，钢琴市场从专业化走向大众化提供了更多机会。谢谢！
5,请问如何看待公司目前的市净率状况？,尊敬的投资者，您好！公司管理层致力于持续发展，希望给予股东更好回报，但二级市场受市场环境、宏观政策等多方面因素影响，公司市净率存在一定波动，感谢理解！
6,请对公司近期的表现做简短的总结。,尊敬的投资者，您好。公司坚持继续改革创新、品牌向高端发展，布局智能钢琴和艺术教育领域，开拓文化传媒业务，加快企业产业结构转型升级，继续巩固公司全球钢琴产销领先的市场地位，文化产业发展势头良好，乐器制造板块产品结构继续向高端发展，公司艺术教育以及文化传媒等新兴业务逐步进入正轨，谢谢。
7,公司今年的财务费用会有多少？,尊敬的投资者，您好。公司今年的财务费用会按照相关法律法规在定期报告里披露，感谢您的关注。
8,公司音乐艺术教育经营情况怎么样？,尊敬的投资者，您好！目前，公司通过产业运营及资本运作方式，加速艺术教育产业发展；成立文化教育投资公司，发起设立教育基金，以股权投资的方式对音乐教育产业链相关优质标的进行整合。2016年，公司运用文化教育投资公司及教育基金作为公司实施文化艺术教育产业发展的项目培育平台，先后与人民音乐出版社签署战略合作意向，与中国音乐学院国家美育研究与发展中心签署《中小学音乐教育戏剧培养计划合作协议书》等支持中国艺术素质教育发展，加速整合了国内外艺术教育资源；成立文化艺术发展公司，推进全国艺术教育中心建设项目，形成了从乐器产品、教育内容、线上线下多渠道以及互联网大数据分析平台一体化的生态体系；推出了包括珠江埃诺的爱上键盘等爱上系列课程、珠江钢琴艺术教室、珠江钢琴智能钢琴IN系列、趣乐科技的GEEK智能乐器等艺术教育产品；同时开展珠江恺撒堡全国青少年钢琴大赛、老年大赛、珠江恺撒堡全国高校音乐教育专业基本功大赛、全国高校音乐教育声乐大赛等覆盖专业、业余、中老年不同群体的品牌赛事，进一步扩大珠江钢琴品牌影响力。谢谢！
9,贵公司去年收购了国际高端钢琴品牌舒密尔，请问舒密尔钢琴使用感如何？,尊敬的投资者，您好！我弹过舒密尔的三角钢琴与立式钢琴，这个品牌在国际上都很出名，受到国际上的认可。我第一次弹奏该琴是在美国参加吉娜.巴考尔钢琴比赛时，该琴是比赛指定用琴。当时给我留下很深的印象。我觉得舒密尔钢琴是欧洲顶级钢琴的代表之一，特性非常鲜明，共鸣非常独特，声音纯正典雅，音域之间衔接均匀，低音清晰，高音饱满，触键感觉也很好，键盘敏感，手感细腻。舒密尔钢琴能够帮助演奏者更投入，更有灵感，更准确地表现音乐，谢谢您的提问。
