,Question,Answer
0,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，公司目前在建的项目是中航光电新技术产业基地项目，项目按计划正常推进，根据项目的建设进度和资金需求，实施资金筹措计划。
1,截至目前，公司的同比销售额有增长吗？,目前 公司销售额与去年同期基本相当。谢谢！
2,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"您好，公司2016年存货金额为127,816万元，主要是随着产销规模扩大，公司根据客户订单购买的准备投入使用的原材料，以及暂未齐套和待发出的产成品等增加，详细情况见公司于3月16日披露的2016年度财务报告附注。"
3,郭叔叔好，介绍一下公司的主营业务,公司的主要业务属于高端电子元器件，具体来说就是光、电、流体互联产品及解决方案，比如：飞机电子设备连接件，飞船仓内外连接器，通讯基站连接组件，平板电脑连接线等。谢谢关注！
4,您好，请问两位代表来自哪里？,您好，本人是国泰君安证券股份有限公司的保荐代表人。
5,刘叔叔好，公司是什么时候上市的？,您好，公司于2007年11月1日在深圳证券交易所上市。
6,公司未来发展前景如何?对目前这个行业的前途看好吗？,公司产品应用领域均为国家战略性新兴产业，发展前景良好，未来世界是一个互联越来越紧密、越来越频繁、越来越海量的世界，互联行业发展前景广阔。谢谢！
7,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",您好，公司接待投资者现场调研的投资者活动记录表披露在深交所互动易，您可以登陆巨潮资讯网查阅。
8,请预估一下未来十年公司的市场规模多大？谢谢！,我们对公司保持持续较快增长有信心，预计未来十年公司的市场规模应在目前的五倍以上。谢谢！
9,去年的市场行情并不好，物价又涨，今年公司在市场开拓方面有什么计划？能否详细谈谈？,公司今年将持续挖掘军工防务市场，加大力度开发通讯和工业及消费电子市场，重点开拓海外市场，尤其是欧洲和北美及东南亚市场，我们对实现市场订单总体较快增长充满信心。谢谢！
10,公司第一季度的报告是4月还是5月出啊,您好，公司2017年一季度报告预约4月28日对外披露。
11,中航光电在中航系统上市公司中，市盈率最低，从另一个角度看也就是股价相对于业绩偏低，由于公司宣传今后几年公司都会持续业绩增长，那么怎样让公司股价保持合理溢价呢？,您好，公司将努力实现经营业绩持续增长，在依法合规的前提下，于年度结束及实施重大项目等过程中，通过大型投资者交流会、路演推介等方式，加深投资者对公司及公司价值的了解，通过适当送转股和鼓励增持等方式，保持公司股票的合理估值。
12,目前公司享有的国家优惠政策有哪些？,您好！公司享受高新技术企业税率优惠、研究开发费用加计扣除等税收优惠，具体优惠政策可查阅公司于3月16日披露的2016年度报告，第十一节“财务报告”第六“税项”部分。此外，公司积极争取和享受国家、地方各项优惠政策，可查阅2016年度报告，第十一节“财务报告”第七“合并财务报表项目注释”第50“营业外收入”部分。
