,Question,Answer
0,公司去年主打产品的销量是多少？,您好，去年相关产品情况请参阅公司2016年年报，谢谢。
1,能简单的介绍下新项目的情况吗？,您好！公司拟通过非公开发行股票募集资金3.5亿元，用于视频图像信息大数据及深度智能分析系统产业化技术改造项目、综合安保社会化运营平台及公共安全智能终端产业化技术改造项目、监狱大数据信息综合管理平台技术改造项目的建设，从而进一步完善公司在业务和创新等方面的布局，该非公开发行股票事项已于2016年9月28日获得中国证监会审核通过，待取得证监会的正式核准文件后，公司将择机启动股票发行和项目建设工作。谢谢您的提问！
2,最近安全监控的上市公司比如海康威视还有大华股份走势都很强势，几乎都创历史新高，而公司一直在底部调整，请问公司是否觉得二级市场有低估公司的投资价值？,您好，股票二级市场价格波动受多方面因素影响，有自身运行机制和原理，请广大投资者注意投资风险。公司管理层将不断加强内部管理、努力提升业绩，以期更好的回报广大投资者。谢谢。
3,你们公司与同属安全监控的行业海康威视与大华股份走势可是天壤之别，公司对股价貌似一定都不重视，请问为什么？,您好，股票二级市场价格波动受多方面因素影响，有自身运行机制和原理，请广大投资者注意投资风险。公司管理层将不断加强内部管理、努力提升业绩，以期更好的回报广大投资者。谢谢。
4,公司是否会计划多元化发展？,您好，公司全面推进以智慧管理平台为切入点，以云计算、云存储、大数据、人工智能等各种创新技术为基础的金融安防业务，并积极推进智慧城市、智慧监狱、智慧水利、智慧口岸、智能建筑及智能消防等行业安全业务，实现公司多行业并行发展以及行业内部全方位的市场覆盖。谢谢。
5,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好！公司经过多年的开拓和积累，拥有专业的研发体系和稳定的核心团队。公司坚持以市场为导向，结合行业发展趋势及客户新需求，持续加大创新投入，加快云计算、大数据、人工智能等各种创新技术的发展融合，为客户提供定制化、专业化和个性化的服务，为公司的业务转型升级提供强大的技术和产品支撑。谢谢您的提问！
6,公司募投项目，预期如何？是否谨慎？,"您好，公司已在巨潮资讯网发布募集资金存放和实际使用情况专项报告,募投项目资金详细使用情况请参考此报告，谢谢您的提问。 "
7,请问公司的分配预案达到承诺的分红比例吗？,您好，公司严格按照公司章程的相关规定进行分红，谢谢。
8,公司未来五年的目标是多少？能够实现吗？,"您好！公司2016年年度报告中对公司未来发展情况有详细描述，具体内容请参见2016年年度报告第四节“经营情况讨论与分析”之九“公司未来发展的展望”。谢谢您的提问！
"
9,公司截止至今的产品有多少个种类？,您好，公司目前主要有安防系统和安防设备两类产品。谢谢。
10,请问开完股东会后，如果送股通过几日内会送股？,您好，相关权益分派方案将于年度股东大会审议通过后两个月内实施，谢谢您的关注！
11,公司截至目前为止都有哪些子公司和参股公司？,您好，具体内容详见公司2017年3月31日披露于巨潮资讯网的2016年年度报告中“第五节 重要事项”之“公司子公司重大事项”的相关表述，谢谢。
12,新投资的项目今年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好！请关注公司相关定期报告，谢谢您的提问！
13,请问老总公司今年净利润同比增长多少？而管理费用去用比去年同期的增长了多少呢？,您好！公司2016年归属于上市公司股东的净利润比去年同期增长32.29%，管理费用较去年同期增长48.61%，谢谢您的提问！
14,公司的发展战略是什么， 是否公司未来发展的主打方向？  以前没怎么听到这方面的动向， 能否详细讲解一下主要是面对哪些品种和市场？ 谢谢！,您好，公司将以创新为引擎，以智能硬件、智慧管理平台软件为基础，以高品质服务为保障，完整构建物联网在各行业应用的生态体系，实现物联网产品、物联网服务双翼齐飞。一方面公司将继续拓展传统的金融安防市场，另一方面将积极开拓包括智慧城市、智慧监狱、智慧水利、智慧口岸、智能建筑、智能消防等在内的其他行业，成为智慧和安全新世界的构筑者。谢谢！
15,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好！请关注公司披露的相关定期报告，谢谢您的提问！
16,请问老总， 2016年存货是多少，存货增加的内容是哪些？,您好，具体内容请关注公司于2017年3月31日披露在巨潮资讯网的2016年年度报告中存货的相关表述，谢谢。
17,公司2016年管理费用较上年同期相比如何，原因是什么？2017年会下降吗？,您好，2016年管理费用较上年同期增长主要是科技研发费用，职工薪酬、折旧费、中介服务费、差旅费、办公费、员工股权激励摊销费用增加所致。谢谢。
18,要实现公司的发展目标，请问信心来自哪里。,您好！公司在金融安防整体解决方案能力、技术与研发、行业经验及品牌、金融安防综合资质以及营销及服务网络方面均有着自己的独特优势，我们相信，只要方向对了，路就不怕远，谢谢您的提问！
19,请问2017年全年预计销售目标是多少亿元？实现净利润的目标是多少亿元？,您好，请关注公司的定期报告，谢谢您的提问。
