,Question,Answer
0,请问贵司应收账款占比过大的原因？18年一季度的营业收入同比减少的原因？是华南还是华中的营收减少了？,"尊敬的投资者您好，公司应收账款占比较大是因为客户信用期延长导致回款期延长。2018年一季度的营业收入同比减少是因为一季度电动汽车电机控制器产品销售收入减少。感谢您的关注！
"
1,山东蓝海为什么没有在年报中提及?山东蓝海那边运行如何，有没有产生收入，市场开拓进行的如何。,尊敬的投资者您好，山东蓝海华腾2017年底设立，2018年3月完成工商登记，目前正在进行生产经营的各项前期工作开展，尚未实现销售。感谢。
2,如何应对成本上升？,尊敬的投资者您好，1、在公司产品方面：公司会继续通过对产品结构设计的不断优化，不断加强产品的集成化程度。2、在采购原材料方面：公司会通过不断加强与原材料供应商的深入合作，优化供应商管理体系，从而有效降低成本。3、在生产方面，公司会不断优化生产流程，使生产效率不断提高，从而减少生产成本的支出。4、在公司管理方面，公司通过不断加强内部管控，从而有效降低管理费用和销售费用。感谢您的关注！
3,厦门子公司怎样了？,尊敬的投资者您好，目前厦门子公司正在进行内部装修和生产线布局，感谢。
4,想请邱总给我们中小投资者表个决心，让我们也有信心与公司一路前行。,尊敬的投资者您好，蓝海华腾的发展经历过外部严峻的市场环境，也承受着强大市场竞争，有困难也有成就，我们没有退缩也没有骄傲，面对未来，我们不忘初心，不畏竞争，公司全员将继续同心协力，以市场为导向，持续创新，努力做好经营，同时也将积极探索利用资本市场的平台，综合提升公司的发展和竞争力。感谢。
5,电动车行业竞争挺激烈的，你们有什么优势吗？,"尊敬的投资者您好，公司定位于服务中高端市场，在夯实研发基础、打牢技术平台的前提下，通过不断的产品创新、积极的市场拓展和良好的品牌塑造，推动自身的业务发展。公司的核心竞争力主要体现在研发与技术、产品、用户、人才等几个方面。感谢您的关注！
"
6,贵公司的主要竞争对手是哪些？,尊敬的投资者您好，与公司业务相类似的上市公司主要有：汇川技术、英威腾、麦格米特、合康新能、大洋电机（子公司上海电驱动）、正海磁材（上海大郡 ）、英博尔等。感谢您的关注！
7,2017年公司年终总结的宝贵经验和教训是什么？这对2018年以后的公司战略制定以发展有何帮助？,尊敬的投资者您好，随着公司的发展和规模扩大，对公司经营管理、组织设计、财务规划以及人力资源配置等提出更高要求，公司在战略规划、运营管理和内部控制等方面的管理能力面临更大挑战。公司十分重视现阶段发展中存在的问题和亟需改善的方面，对于阻碍公司发展的因素，公司自上而下，自内而外进行分析，总结，改正和解决。感谢。
8,公司的中低压变频器业务是否有望18年、19年厚积薄发？,尊敬的投资者您好，公司已经持续加大以中低压变频器为代表的工控产品的投入力度，力争实现稳定增长。感谢关注。
9,未来盈利增长点在哪里？,"尊敬的投资者您好，公司的盈利主要来自公司的主营产品，在机会合适时，不排除通过投资并购的方式获取新的利润增长点。感谢您的关注！
"
10,邱总是否考虑过请一位专门的营销精英来负责公司的营销推广，复合型人才有时候专业能力上还是不如专业人才的。,尊敬的投资者您好，2018年度，公司将加快对管理人才、技术人才和市场营销人才的培养和引进，感谢。
11,公司的商业模式和企业文化分别有哪些亮点和不足？希望贵公司结合自身，借鉴同行，发扬创新，独立思考，有则改之，无则加勉，知耻而后勇！,尊敬的投资者您好，公司秉承“开拓、创新、诚信、务实”的企业文化，按照现代企业制度进一步规范企业管理，以“为客户、员工、企业和社会创造价值”为经营理念，公司目前商业模式依然是和员工、客户、供应商保持一致的价值观和利益关系，以技术创新、产品和内部管理为支持，通过直销和分销的形式，实现销售和经营。感谢您的建议。
12,公司预付款的增加是否是为厦门工厂的原材料备货,尊敬的投资者您好，公司预付款的增加是因为预付原材料款的增加。感谢您的关注！
13,有没有拓展海外业务的打算？,尊敬的投资者您好，公司已经开始进行海外业务的拓展，2018年已经实现销售。感谢。
14,公司今年是否会考虑提高研发费用占比？,尊敬的投资者您好，2018年度公司会继续加大研发投入力度，感谢关注。
15,公司的主要客户有哪些？,尊敬的投资者您好，公司客户主要为国内主流的新能源整车厂商和动力总成供应商，感谢关注。
16,公司怎么维持高增长呢？,尊敬的投资者您好，公司会通过不断加强技术开发，技术创新，使公司的产品性能，产品技术，产品价格在市场上具有竞争力。公司会不断地加大营销网络的投入，不断开拓市场。感谢您的关注！
17,公司怎么降低销售的成本费用和内部管理费用？,尊敬的投资者您好，公司将持续优化产品结构和设计，加强供应商管理，同时继续强化公司的内部管理、成本预算等，感谢关注。
18,公司与精进电动，存在什么业务关系，否大批量供货于精进，量有多少?,尊敬的投资者您好，公司与精进电动目前是正常的业务关系，涉及产销量等信息不便在此回复。感谢。
19,最近股价跌的太厉害了吧，你们没有市值管理吗？,尊敬的投资者您好，股价受多方面因素影响，市值管理的基础是公司的经营业绩，公司在努力做好经营管理的同时也在积极探索符合公司的市值管理方式，感谢您的关注。
20,请问公司的技术在国际处于什么水平？,尊敬的投资者，您好，公司的核心控制技术处于国内领先水平，感谢。
21,请问股东中南桥资本公司，与公司是否存在关键关系？仅仅是财务投资？,尊敬的投资者您好，南桥投资作为公司的战略投资者，基于对公司和行业的发展认可，对进行财务投资，不参与公司的日常管理，与公司控股股东及实际控制人，董监高人员不存在关联关系。感谢关注。
22,鉴于目前市场表现，公司管理层是否会考虑在价格大幅低于内在价值的时候回购公司的股票？提振投资者信心,尊敬的投资者您好，我们会积极探索符合公司的市值管理方式，感谢您的建议。
23,厦门工厂投产是否又会延期?,尊敬的投资者，您好。从目前厦门工厂的施工情况看，不会出现延期情况。谢谢
24,公司目前股东人数如何？人均持股多少?,"尊敬的投资者您好，截至2018年3月31日，公司股东人数为17,057人，人均持股12,195股，感谢您的关注！
"
25,公司的长期竞争力体现在哪里？2017年业绩预期30%以上，并未达标，今年公司的工作重心在哪里？业绩可有预期？,尊敬的投资者您好，较强的研发实力和领先的技术水平是公司的核心竞争优势，也包括产品和品质、客户和人才等综合竞争优势。2018年度，公司将依然以做好主营业务为首要工作目标，同时继续加大研发投入，新产品开发，市场营销和探索合理利用资本市场扩大公司的规模等。感谢。
26,今年公司总体战略目标是什么？有什么具体规划吗？比如收购计划、市值管理等？,尊敬的投资者您好，公司将持续巩固在同行业内资企业中的技术领先优势，不断扩大国内市场份额，保持良好的市场口碑，充分利用分销商资源拓展海外市场。通过募集资金的投入和投资项目的顺利实施，全面提升公司综合竞争能力和品牌影响力，致力于发展成为国内一流、国际知名的工业自动化控制产品和节能解决方案供应商。2018年具体发展规划可参见年度报告“第四节 经营情况讨论与分析”的第九部分内容。感谢。
27,请问邱董，针对行业客车和专用车补贴大幅退坡的情况下，2018年公司有何对策？乘用车方面可有订单或业绩落地，能否量产。,尊敬的投资者您好，公司继续加大新能源商用车电控的研发和生产，提升公司的产品竞争优势，同时，公司也在积极的拓展下游客户，强化和整车厂商以及零部件供应商的合作关系，也在拓展新的合作模式和渠道。乘用车方面，公司与客户的产品技术衔接都进展顺利，争取本年度可以实现取得订单，感谢。
28,请问公司今年打算怎么提高毛利率 ？,"尊敬的投资者您好，1、在公司产品方面：公司会继续通过对产品结构设计的不断优化，不断加强产品的集成化程度。2、在采购原材料方面：公司会通过不断加强与原材料供应商的深入合作，从而提高一定的议价能力，尽可能控制原材料成本。3、在生产方面：公司会不断优化生产流程，使生产效率不断提高，从而减少生产成本的支出，感谢您的关注！
"
29,有视频直播？,尊敬的投资者您好，本次业绩说明会无视频直播，感谢关注。
30,公司今年有何发展计划？,尊敬的投资者您好，2018年度，公司将继续以提升主营业务为首任，同时加强技术研发能力，提升核心技术，优化产品结构；强化与客户的良好合作关系；创新优化生产管理模式，完善供应链体系；继续加大人才引进和培养，也将不断加强内部管理，从而实现公司持续发展。感谢。
31,公司为何会把重要研发营销区域健在无锡？,尊敬的投资者您好，无锡地处长三角地区，拥有较好的地缘优势，是重要的人才聚集地也是公司重要的营销区域所在地，考虑吸引人才及配合公司拓展华东区域的市场拓展，公司在无锡购买物业建设区域研发和营销中心。感谢您关注。
32,公司什么时候打算买房用自己的办公场所？还是说之后也一直租？,尊敬的投资者您好，鉴于目前深圳的土地资源紧张，公司在深圳总部短期依然以租赁的形式运营，同时已经向政府部门提出了用地申请。公司全资子公司厦门蓝海华腾作为募投项目的实施主体，拥有自己的办公和生产场所。感谢。
