,Question,Answer
0,人工智能和区块链技术在公司的发展中是否有所运用？,感谢您对珠海港的关注，公司未来将实施智慧绿色战略，充分借助信息化技术、自动化技术等提升码头智能化水平，谢谢！
1,请问公司有保税油库吗？,感谢您对珠海港的关注，目前公司没有保税油库，谢谢！
2,一季度货物吞吐量同比预计能否实现增长？,感谢您对珠海港的关注。云浮新港2017年完成货物吞吐量464万吨，同比增长30%，具体数据请关注公司公告，谢谢！
3,请问公司CMP研究已经实现了从0到1的突破，今年是否有希望，从1到X的突破。鉴于目前公司现金充裕的情况，公司应着力抓好自身研发的同时，尽快去布局收购今后方展中的企业，真正把公司做大做强。多年来，一直觉得公司发展稳定，但是创新精神不够。特别是公司市值的管理一直没有新的突破，请问今年是否有更多的举措来经营公司的市值？,感谢您对珠海港的关注。公司将会主动把握发展机遇，做大做强公司主业，谢谢！
4,预计公司每月集装箱吞吐量是多少？,感谢您对珠海港的关注。云浮新港2017年完成货物吞吐量464万吨，其中内外贸集装箱23万标箱；梧州港务2017年完成集装箱吞吐量5.86万标箱，谢谢！
5,粤港澳大湾区为公司带来哪些发展机遇？,感谢您对珠海港的关注。粤港澳大湾区涉及珠三角9座城市和港澳2个特区，公司位于粤港澳大湾区城市群范围内，但粤港澳大湾区发展规划的具体政策及规划尚未出台，对公司生产经营的影响存在较大不确定性。公司将密切关注相关政策动态，把握好政策及发展机遇，力争最大限度地发挥地缘优势，做大做强主业，在为大湾区发展作出贡献的同时实现公司的更好发展。谢谢！
6,贵司港城建设业务是指什么业务？是不是指房地产投资？有什么样的预估增长？,感谢您对珠海港的关注！这一板块业务包括港城配套开发、物业管理。谢谢！ 
7,粤港澳大湾区政策对公司经营影响几何？,感谢您对珠海港的关注。粤港澳大湾区涉及珠三角9座城市和港澳2个特区，公司位于粤港澳大湾区城市群范围内，但粤港澳大湾区发展规划的具体政策及规划尚未出台，对公司生产经营的影响存在较大不确定性。公司将密切关注相关政策动态，把握好政策及发展机遇，力争最大限度地发挥地缘优势，做大做强主业，在为大湾区发展作出贡献的同时实现公司的更好发展。谢谢！
8,公司核心战略是啥？,感谢您对公司的关注。随着国家“一带一路”战略的深入实施、粤港澳大湾区城市群发展规划的落地，公司的发展将迎来难得的发展机遇。面对全国经济发展的新形势和区域发展的新机遇，在2017年下半年，公司优化升级实施国际化战略、西江战略、物流中心战略及智慧绿色战略，谢谢！
9,港珠澳大桥的开通是否会给公司带来业务量大幅的提升？,感谢您对珠海港的关注。港珠澳大桥的开通将会使珠海成为连接粤港澳最便利的物流节点之一，而公司已在港珠澳大桥落脚点的洪湾港等布局了相关的物流设施及配套业务，大桥的通车预计将带来业务量的提升机会。同时，公司将密切关注后续新的业务机会，谢谢！
10,港珠澳大桥开通对公司经营有何影响？,感谢您对珠海港的关注。随着港珠澳大桥的即将通车，珠海将成为连接粤港澳最便利的物流节点之一，而公司已在港珠澳大桥落脚点的洪湾港等布局了相关的物流设施及配套业务，大桥的通车预计将带来业务量的提升机会。同时，公司将密切关注后续新的业务机会，谢谢！
11,贵司港城建设业务是指什么业务？是不是指房地产投资？有什么样的预估增长？,感谢您对珠海港的关注！这一板块业务包括港城配套开发、物业管理。谢谢！
12,请问近期有什么重大合作项目？是否会有重组？,感谢您的关注。
13,请问公司有石油轮船泊位吗？,谢谢您对珠海港的关注！公司参股企业中化珠海石化储运有限公司于2004年成立，由世界500强企业中国中化集团公司和珠海港股份有限公司合资组建。在全国主枢纽港、一类开放口岸——珠海市高栏港拥有1335米码头岸线和65万平方米仓储用地。规划总投资25亿元人民币，兴建年中转能力1560万吨的石化公用码头、170万立方米油库和30万立方米液体化工品库。是中国华南地区最具规模和国际一流水准的第三方液体石化物流基地，为国内外客户提供燃料油、成品油和液体化工品的储存、中转、保税等第三方物流服务。 谢谢！
14,目前公司投资收益占净利润比例大，公司业务定位如何？,感谢您对珠海港的关注。目前公司选择投资项目是在核心战略的指引下，着重考虑对公司主业的配合和支持。谢谢！
15,公司在粤港澳大湾区的主要竞争对手是谁？相比，公司有啥优势？,"感谢您的关注。粤港澳大湾区涉及珠三角9座城市和港澳2个特区，公司位于粤港澳大湾区城市群范围内，和其他同行既有竞争又有合作，我们认为共同合作、促进发展才是我们的主旋律。
随着港珠澳大桥的通车，公司所处珠海市是唯一与港澳陆路相连的城市，我们将会利用好这个区位优势，做大做强主营业务，为股东创造更好的回报。
"
16,贵司有子公司独立上市的计划吗？港昇会考虑转到主板吗？,您好，对于主板上市公司子公司独立上市的可能性，我们会保持关注，目前鲜有成功案例。谢谢
17,珠海港集团港口生产迎来开门红，得益于什么呢？,谢谢您的关注。根据集团有关业务介绍，2018年，集团大力实施国际化战略、西江战略、物流中心战略、智慧绿色战略，以西江流域、沿铁区域、西南地区、华南外三角、东南亚为主要发展方向，对内通过江海、海铁联运等多式联运通道，联通西南、粤西、湘南等陆向腹地的总体发展思路，通过与中远海运、万海航运、长荣海运、达飞轮船等船公司巩固合作关系，联合船公司、重点货主客户共同拓展，大力推动集团外贸业务发展，以珠海本地货物及集团西江码头为货源基础，通过完善东南亚近洋航线网络，争取突破中东、欧美远洋航线。同时，积极拓展粮食、煤炭、水泥、钢材等大宗散杂货业务；加强与铁路搭建战略合作关系，加快集团铁路通道建设，形成以内外贸航线和海铁联运通道为基础，以西南地区、湘南、粤北地区为目标区域，通过海铁联运通道上管理组织的整合与优化，持续编织富有珠海特色的以珠海港为核心战略支点的物流网络体系。通过加强协同合力，丰富集团的核心竞争力，全力扩大港口货源腹地，提升港口集聚能力，加快建设海港枢纽，打造华南地区重要的国际港口物流中心。正是得益于上述经营举措，集团港口生产迎来开门红。
18,本次非公开发行事项是否构成关联交易？,您好，公司控股股东珠海港集团将以现金方式参与本次发行的认购，已于公司签署了《附生效条件的非公开发行股份认购合同》，自发行结束之日起36个月内不得转让，本次非公开发行构成关联交易，但不存在损害公司及其股东特别是中小股东利益的情形。谢谢！
19,贵司最近在资本市场上有什么活动？主要是用于什么项目？,"您好，公司非公开发行股票事项已于2017年12月4日召开的第九届董事局四十七次会议及2018年1月19日召开的2018年第一次临时股东大会通过公开发行股票事项。公司拟定增不超过157，908,183股，募资总额不超过14.8亿元，投入云浮新港设备购置项目，新建6艘拖轮项目，新建40艘3500吨级内河多用途船，购置3艘沿海12000吨级海船项目，新建2艘沿海45000吨级海船项目、新建2艘沿海22500吨级海船项目以及分别购置、新建1艘沿海22500吨级海船项目.谢谢"
20,珠海在国家确定自由贸易港试点政策后，拥有得天独厚的区位优势，请问珠海港有打算申请建设自由贸易港吗？港珠澳大桥开通后对公司的业绩贡献会有多大？,"感谢您对珠海港的关注。高栏港综合保税区于今年2月5日获得国务院批准，规划面积2.514平方公里。综保区将立足保税仓储、国际贸易、国际中转、检测维修、保税展示、研发制造、港口作业等功能，形成与港口联动发展的格局。
随着港珠澳大桥的即将通车，珠海将成为连接粤港澳最便利的物流节点之一，而公司已在港珠澳大桥落脚点的洪湾港等布局了相关的物流设施及配套业务，大桥的通车预计将带来业务量的提升机会。同时，公司将密切关注后续新的业务机会。谢谢！
"
21,阳江港务成功挂牌新三板，请问珠海港是否为阳江港务的大股东？,感谢您对珠海港的关注。公司不是阳江港务的大股东，目前持有阳江港务的股份约5%。
22,公司现在都有哪些扶贫项目？,谢谢您的关注，公司的扶贫项目包括茂名市电白区观珠镇葛山村和严坑村精准扶贫项目。
23,请问公司常用闲置资金做理财吗？投资收益怎么样？对于上司公司做理财，很多股民并不赞成，公司如何看呢？,感谢您对珠海港的关注。在保证日常经营运作资金需求、有效控制风险的情况下，公司积极利用自有闲置资金开展理财业务，2017年获得理财收益约342万元。我个人认为，上市公司在风险可控的情况下充分利用闲散资金开展理财业务，可以增加现金资产的收益，实现股东利益最大化。
24,综合能源板块今年预计能有多少增长？,谢谢您的关注。公司综合能源板块在2018年将会采取如下措施：一是充分利用珠海港的资本品牌实力和港昇公司在新三板创新层的融资功能，在弃风限电影响较小的地区，继续并购风电场项目，拓展分布式能源、污水处理、垃圾发电等绿色能源投资机会；二是跟进在高栏港区以及云浮、梧州等港区新增岸电设施、LNG加气设施等项目机会，助力绿色低碳港口建设；三是推进市政燃气管网建设，大力开发工商业管道燃气用户和居民用户，加强与中海油协调，推进资产整合工作，为市民提供绿色美好生活，相信该业务板块在2018年将会有更好的发展。具体经营业绩详见公司2018年年报。
25,目前贵集团与瓜达尔的合作情况如何? 什么时候开通珠海--瓜达尔航线?,您好。公司控股股东珠海港集团与中国海外港口控股有限公司正式签署友好合作协议，将与巴基斯坦瓜达尔港在姊妹港建设、人员培训、航线开拓、物流仓建设、信息平台组建等方面开展全面战略合作。2016年3月19日，集团欧辉生董事长率队赴巴基斯坦参加“2016年第五届中巴商贸论坛”，进一步深化双方合作。有关航线开通工作还在继续探讨中！谢谢
26,近期媒体报道，无人驾驶卡车亮相珠海港，请问未来是否有更多智能化元素注入？具体有哪些？,感谢您的关注。我司将利用新一代信息技术和清洁环保手段，以整合、系统的方式进行企业管理和经营，为客户提供更高质量的服务。推动现代管理方法，信息技术、码头自动化技术、智能理货、智能闸口、智能仓储、OCR技术等在生产服务中的充分应用。谢谢！
27,公司定增目前什么阶段了？什么时候发行？,您好，定增事项已通过省国资委和股东大会审批，目前正在准备向证监会申报，具体发行时间将根据后续审核进度来确定。谢谢
