,Question,Answer
0,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,新三板扩容即全国中小企业股份转让系统是依据国家建立多层次资本市场的战略要求为广大中小企业所提供的除沪深两市以外的资本市场。对新三板合格投资者而言是其新的投资机会。
1,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司通过不断提高产品质量、优化产品性能等方式来维护和增强公司产品吸引力。同时，通过制定国内、国际市场开拓计划来不断开发新市场。
2,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?",你好，公司将通过进一步加大研发力度，缩短新产品投入市场时间；提高高附加值产品的销售比重；整合行业上下游资源，实现资源互补业务协同发展；加快募投项目建设及技术改造步伐等方式以进一步提高公司的经营优势。
3,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,你好！公司属高新技术企业，目前拥有18项专利。公司是目前国内激光OPC鼓生产制造行业内规模最大的民族企业。公司将通过不断加大研发力度、积极开拓市场等方式进一步提升公司业绩。
4,请问咱们公司股东是否有减持或者质押计划？,你好！公司暂未收到5%以上股东的质押通知。由于公司股份处于首发限售期，按照相关承诺，不得在此期间减持股份。
5,请问公司产品能否调高销售价格,你好！公司将根据市场状况、产品特性等因素综合确定产品价格
6,公司未来3年发展前景如何?,您好！ 激光OPC鼓作为激光打印机、数码复印机、激光传真机及多功能一体机等现代办公设备中最为核心的部件及耗材之一，其市场需求与激光打印机、数码复印机、激光传真机及多功能一体机的产量与保有量息息相关。未来激光打印机、复印机及数码印刷设备的市场需求量及保有量的不断增长必然会带动相应耗材需求的快速增加，从而为激光OPC鼓行业带来广阔的市场空间。
7,在企业文化方面，公司有什么特色吗？,公司坚持以人为本，立足于“技术先行，研发先导”，强调技术集成创新，注重全面质量管理，为客户提供优质产品。同时在企业发展过程中，公司始终坚持兼顾各方，共同进步，为员工创造更多机会，为客户创造更多价值，为供应商创造更多支持，为股东创造更高效益，为社会创造更多贡献。
8,请问我们公司的商标颜色能用红色体现么？绿色不是什么号兆头啊,你好！公司标志由Golden、Green两个英文单字组合而成。Golden（黄金般的）寓意卓越的产品品质，Green（绿色）寓意公司蓬勃发展的生命力，两者结合象征着苏州恒久追求卓越品质，公司以不断创新而永葆生机与活力并致力于成为一家持续发展、永续经营的企业。 
9,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,你好，公司目前经营状况良好，2017年全年经营业绩预计请参考公司2017年度第三季度报告。
10,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",你好，公司将通过进一步加大研发力度，缩短新产品投入市场时间；提高高附加值产品的销售比重；整合行业上下游资源，实现资源互补业务协同发展；加快募投项目建设及技术改造步伐等方式以进一步提高公司的经营优势。 
11,请问公司公司的核心竞争力是什么？,公司在行业内具备显著的技术优势、研发优势、设备集成及改造优势、规模优势等。公司未来将进一步提升自身的核心竞争力。
12,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,公司将通过做大、做强自身的核心业务及强化技术研发等方式，努力提升公司价值。
13,公司生产经营的季节性如何?哪个季节是旺季?,你好！激光OPC鼓属于办公耗材，没有明显的销售淡季和旺季，本行业不存在明显的周期性和季节性特征，但通常每年下半年的市场需求较上半年更为旺盛。
14,您好，董事长，请问现在雄安新区如火如荼，咱们公司有计划为雄安新区发展献上一份力么,您好，公司会根据未来发展战略及规划进行投资安排。公司将继续为中国激光有机光导鼓事业的发展贡献自已的力量。
15,希望公司在本专业领域专注于做强做大做实，提升公司的行业地位，给投资者以回报！,感谢您的建议
16,"请问董事长,关于公司最新项目进展如何？达到预期了吗？",你好，公司募投项目正在按计划进行建设。
17,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,公司将以激光OPC鼓及相关技术为核心产业基础，围绕公司发展战略，整合行业上下游资源，实现技术资源互补、各业务的协同发展，以丰富公司盈利模式，为股东创造更多价值。
18,请问公司的分配预案达到承诺的分红比例吗？,"你好！公司在招股说明书中承诺：“公司上市后未来三年，公司采取现金、股票或者现金与股票相结合的方式分配股利。公司每年以现金方式分配的利润应不少于当年实现的可分配利润的20%。”公司2016年利润分配预案为：“以现有股本12,000万股作为股本基数，向全体股东每十股派发现金股利人民币1元（含税）；同时以资本公积向全体股东每十股转增6股，合计转增7,200万股”公司2016年度利润分配预案符合上述承诺。"
19,公司最近几年增收不增利，公司如何摆脱目前窘境？,你好，公司目前经营情况稳定。公司将通过：进一步加大研发力度，缩短新产品投入市场时间；提高高附加值产品的销售比重；整合行业上下游资源，实现资源互补业务协同发展；加快募投项目建设及技术改造步伐等方式以进一步提高公司的经营业绩。
20,请问公司以后每年会用什么形式回馈股东？,公司会专注于激光OPC鼓的生产、销售及相关技术的研发，努力为股东及社会创造更多的价值。同时公司重视对投资者的合理回报，将依据股东回报规划，执行持续、稳定的利润分配政策。
