,Question,Answer
0,公司近期有新的利润分配计划吗？,"您好，公司最新的利润分配方案请见公司于2018年3月31日披露于巨潮资讯网的《关于2017年度利润分配方案的公告》（公告编码：2018-032）。
谢谢关注。"
1,"汽车涡轮增压 PA 吹塑管路总成项目一期已经投产,那预计二期建设的时间是多会？","公司在涡轮增压PA吹塑管路总成项目一期投产后，陆续实现了多家客户的项目定点、开发以及成功量产，2017年已经开始贡献利润。后续伴随批产项目的放量，产能也将逐步释放。
项目二期主要是设备投入。2018年，公司将依据一期设备投入使用的经验，以及客户需求，尽快完成二期设备的购置。
谢谢！"
2,作为汽车橡胶管路的龙头企业，公司的整体毛利率有多少？,您好!2017年度我公司毛利率为25.94%。
3,公司自产产品及技术的出口有没有受中美贸易战的影响？,公司自产产品及技术目前没有受到中美贸易战的影响。
4,同业竞争对手主要有哪些？相比有哪些优势？,公司同业竞争对手主要有宁波峻和，山东美晨，四川川环等，相比这些竞争对手，我公司在技术开发、产品质量方面有一定优势。
5,公司去年净利有所下降，今年有何措施改进业绩？,您好! 我公司2017年度净利润较去年有所下降。针对这一问题，2018年我公司将通过采取加大新产品开发、新项目的投入、持续提高企业的核心竞争力和优化企业内部成本管理方式来持续提高公司净利润指标。
6,请问今年有新的项目扩建计划吗？,"您好！公司2018年将重点推进PA吹塑项目的后续投入，同时，积极推进密封部件公司有关项目建设和设备投入工作，力争在年内实现投产。
其他产品线也会根据客户需求、产品技术特性等，同步进行更新完善。
谢谢关注。"
7,公司积极布局新能源车市场，取得的成果有哪些？,新能源汽车市场一直是公司重点布局的业务，目前已经成功开发了比亚迪汽车、一汽新能源汽车、广汽新能源汽车、小鹏汽车等新能源车企的管路项目；同时获得了一汽大众、上汽大众、宝沃汽车、神龙汽车、吉利汽车等主机厂的新能源车型管路项目的定点。
8,2018 年一季度归母净利润下滑的原因是什么？改进措施有哪些？,您好!公司受原材料价格上涨、环保投入加大以及固定资产折旧增加等因素影响，导致我公司2018年一季度净利润较去年有所下降。针对这一问题，公司将通过采取加大新产品开发、新项目的投入、持续提高企业的核心竞争力和优化企业内部成本管理方式来持续提高公司净利润指标。
9,公司目前研发实力如何？,公司研发实力在国内同行业是排在前列的，建有一万多平米的研发中心，拥有150多位研发工程师，可以进行产品设计、开发、验证等全过程研发；公司获得授权专利104项，5种产品获得国家重点新产品；公司研发中心为天津市重点研发中心。
10,在中国（青岛）橡胶工业博览会中公司获得“最具成长力企业”奖，对公司未来有什么实质性的利好？,"您好，2017年公司先后被评为“第十四届全国百家优秀汽车零部件供应商”以及”2016-2017年度中国胶管十强企业”，是对鹏翎股份的肯定和鼓励，充分彰显了公司在国内汽车零部件领域的突出成就和品牌影响力。
谢谢关注。"
11,公司主要与哪些汽车厂家合作？,公司目前主要合作的汽车厂家有：一汽大众、上汽大众、长城汽车、广汽乘用车、比亚迪汽车、江铃汽车、一汽轿车、一汽丰田、东风本田、东风日产、北京现代、长安福特等二十多家主机厂。
12,大股东最近有没有计划二级市场增持股票？,"您好，公司控股股东、董事长张洪起先生在公司2017年度的非公开发行股份过程中按照承诺，已经完成了相关股份的认购。
除上述之外，目前公司没有接到大股东的增持计划。
谢谢关注。"
13,目前海外市场发展如何？,国外业务正在积极拓展，目前主要集中在日产汽车的业务，现在正重点开发捷豹路虎、宝马汽车等客户的出口业务
14,公司有没有评估下，所需的上游原材料2018年价格走势如何？,您好！公司产品主要使用的原材料为橡胶和尼龙料，2018年普遍上涨10%-15%左右。
15,股份回购计划进行到了何种程度了？,近期公司处于定期报告的披露周期内，截止目前，公司尚未开始实施股份回购。谢谢关注。
