,Question,Answer
0,近期有无机构去公司调研？,公司调研情况均已按照上市规则在互动易网站披露。
1,公司是否有比较长远的发展计划？,公司未来长远计划已在定期报告中披露，请您详尽查阅公司2017年度报告相关章节内容。
2,公司目前主营业务是什么？,公司主要业务是索具产品的研发、生产及销售；并形成了以集中供热、军工为辅的“一主两副”的经营模式。
3,公司今年有哪些研发投入新产品？研发费用占比是多少？,"公司一贯地、持续地重视研发新品。报告期内，公司完成专利申请35 项，其中发明专利10 项，主要包括：专利申报“一种多功能系泊转环”、“一种带护套纤维索具及其制备方法”等。公司获得专利授权共计14 项（其中发明专利3 项），主要有：“空中运输救援装置”、“一种可悬挂式耐磨型绳索”等。
报告期内，公司投入研发金额7105.43万元，占营业收入比例为5.02%。"
4,公司十大股东中近期有无减持计划？,"截至目前，公司未收到控股股东、实际控制人及其一致行动人减持公司股份的通知；如有，公司将按照相关规定及时履行信息披露义务。另，基于对公司未来向好发展的坚定信心和增强投资者信心，公司实际控制人杨会德女士自2017年12月31日起6个月内承诺增持公司股份金额不低于人民币6,000万元，目前该计划正在实施过程中。"
5,今年公司新增客户有哪些？占比是多少？,公司新增客户群体重点集中在“一带一路”领域；具体情况建议你详尽阅读公司2017年度报告。
6,目前公司业绩受哪方面影响较大？,目前公司业绩主要是受原材料市场价格波动影响较大，受去产能、减排、环保压力等方面的影响，导致公司占比达到80%的产品主材出现大幅波动，致使公司主营产品盈利情况受到影响。为全面应对材料市场价格变动对公司业绩带来的影响，公司及时调整产品销售价格及销售策略，以确保最大程度的确保公司产品的获得能力。
7,公司近期是否有签订重大项目？,如有，公司将在第一时间履行信息披露义务。也欢迎广大投资者关注公司官方微信账号，及时了解公司动态。
8,目前公司产品在哪个行业应收占比最大？产销量是多少？,感谢您对公司的关注，公司应收帐款占比较大的主要集中在金属制品业和通用设备制造业。与其相对应的产销量情况敬请查阅公司在指定媒体披露的定期报告相关章节内容。
9,公司在军工行业有哪些新产品应用拓展？,未来公司将依托全资子公司“河北巨力应急装备科技有限公司”这一平台，逐步建设并形成以特种装备器材、配套器材、安全防护器材、捆绑加固器材、应急和抢修器材为主体的产业体系。
10,公司今年业绩是否会大幅增长？,公司2018年主要业务经营确立了以围绕“一带一路”、“军民融合”和高端装备制造领域的发展方针，并形成了“以点带面”主体产业逐渐外延的远期战略构想；上述发展方针是我国未来发展的国家战略，亦符合国家政策导向；我们坚信，随着公司业务的持续推进，其基本面必将得到较好的改变。 具体情况请随时关注公司在指定媒体刊登的定期报告。
11,公司今年是否有重组计划？,如有，公司将在第一时间履行信息披露义务。
12,公司目前有哪些并购项目？进展情况如何？,公司不排斥通过并购方式提升公司持续盈利能力的可能；如有，公司将在第一时间履行信息披露义务。
13,公司高管持股详细情况如何？,公司高管持股情况已在公司2017年度报告中详尽披露，你可以查阅公司于2018年4月25日在指定媒体刊登的相关公告。
14,预计第二季度公司净利润是多少？,感谢您对公司的关注，关于公司第二季度预计业绩情况敬请查阅公司在指定媒体披露的定期报告业绩预计相关章节内容。
15,公司在核电方面有哪些工程类项目？拓展情况如何?,报告期内，核电领域亦是公司重点开发领域，如：央视直播报道的“华龙一号” 福清核电6号机组穹顶吊装。
16,军品专用装备运输类捆绑加固器年产销量是多少？,首先感谢您对公司的关注，公司报告期内实现按产品类别的产销量明细敬请查阅公司的定期报告。
17,预计“一带一路”建设为公司业务增加收入多少？,感谢您对公司的关注，报告期内，公司取得的“一带一路”工程项目如：马来西亚槟城人工岛项目、阿尔及利亚Bajaia港口用钢板桩项目、马尔代夫机场项目、索马里码头项目、土耳其Manavgat斜拉桥项目、印尼BP物探节点连接器项目、卡塔尔2022年世界杯主体育场馆项目等。上述项目合同签订金额超3亿元，未来公司还将进一步推进“一带一路”建设的参与度。
18,公司目前利润如何?,公司已于2018年4月25日在公司指定媒体刊登了2018年第一季度报告，具体情况你可以查阅公司在指定媒体刊登的相关公告。
19,目前公司有哪些子公司处置？,截至目前，公司无处置子公司的想法或意愿。
