,Question,Answer
0,当前国内自动变替代手动变的趋势是怎样的？,您好！自动变的渗透率持续提高的阶段，相比国际发达国际，我国当前的比例还有很大提升空间。谢谢！
1,目前汽车行业景气度如何？预计中短期内会有哪些变化？对贵公司的业务有什么影响？,你好！汽车行业未来一段时期内将维持稳中有升的态势，但随着新能源汽车的强势崛起，版块分布会发生变化。进一步提高市场占有率，是本公司的要务。
2,自动变速箱产能布局的进展如何？预计新产能何时能释放？具体能为公司带来多少收益？,您好！这一二年，我国正迎来自主品牌乘用车从手动变向自动变转型的节点，公司对此有充分的准备。正处于大建设的时期，产能随着建设完成正逐步释放，已成为公司新增的重要引擎。谢谢！
3,为什么公司刚上市时齿轮的毛利率在30%以上，而最近几年只有20%-30%，大幅下降的原因是什么？,您好！主要原因是公司这一二年大投入阶段，投资和产出存在一定的时间差。谢谢！
4,浙江本部、嘉兴子公司、江苏子公司的自动变速器齿轮的产能分别是多少？,您好！自动变项目集中在浙江本部和嘉兴子公司，现在的状态正处于快速发展建设期，边建设边投产。谢谢！
5,请问叶总，公司一季度产能利用率和产销率各为多少，谢谢！,您好！公司各产线因市场需求不同产能利用率和产销率各有不同，但随着多条线调试完成、产品放量，产能利用率将进一步提升，能够满足市场需求。谢谢！
6,上汽变的自动变速器齿轮除了我们公司在供货，还有哪些厂家也在供货，即我们在这个客户的竞争对手是谁？,虽然目前上汽变的自动变速箱齿轮不止双环一家在供应，但国内的其他厂家不存在较大竞争关系。
7,请问公司在齿轮行业的地位，竞争对手状况？,您好！公司在该领域目前处于一线地位，成为国际一流的传动部件研制商是公司下一步努力的方向。谢谢！
8,有报告说，RV减速器有望为公司业绩增长带来全新动力，请问能具体说明一下这块业务，以及其盈利前景吗？,工业自动化和智能化是大势所趋，RV减速器市场过去长期由国外厂家垄断，目前国产化需求明显，市场前景广阔。
9,自动变速器这块市场有多大？国产的渗透率有多少？其中贵公司占多少份额？,目前没有权威数据。
10,公司及管理层近期是否有增减持计划？,您好!公司目前没有收到管理层个人是否增减持方面的信息。谢谢！
11,请问一辆新能源汽车主要需要哪些种类的齿轮？,齿轮各类与传统齿轮无异，主要是精度要求和加工工艺的差别。
12,公司与吉利达成战略合作，对公司业绩影响如何？,您好！相关公告已对此有阐述，烦请查阅。谢谢！
13,公司乘用车齿轮的收入结构中，是不是2015年底以来自动变速器齿轮的收入才大幅增加，在这之前主要是手动变速器齿轮？,是的。
14,请问17年及18年一季度营收及净利润都保持高速增长的具体原因分别是哪些？,自动变速器市场向好，公司提前战略布局。
15,公司给比亚迪供货的主要是自动变速器齿轮，还是手动变速器等其他齿轮？,您好！公司与比亚迪合作多年，为其提供全系列产品，包括手动变、自动变、新能源车等齿轮部件。谢谢！
16,公司实控人年内还有减持计划吗？,您好！公司目前没有收到这方面的信息。谢谢！
17,2017年公司RV减速器的收入规模大概有多大？2018年预计会有多大增长？,您好，2017年公司RV减速器主要是测试阶段，2018年会有明显的产出，谢谢
18,公司的齿轮是不是采用精锻工艺生产的齿轮精度更高？,不同工艺路线。
19,请问收购重庆神箭汽车传动件有限责任公司的目的是什么？该公司何时能够扭亏？,区域战略布局。今年扭亏。
20,请介绍一下江苏子公司的具体定位，产品类型，以及和母公司产品的差异在哪里？,江苏子公司主要定位螺伞齿轮。
21,公司业绩稳步增长，产能扩建进展如何？,您好！公司当前的产能能够满足市场需求，同时，产能扩大的弹性很大，公司能够及时响应市场的需求变化。谢谢！
22,AT、cvt、dct等不同的变速器，每一种变速器一整套齿轮大概分别价值多少钱？,你好！型号不同，客户要求不同，加工工艺不同，没有统一价格区间。
23,为什么公司乘用车齿轮的毛利率低于其他种类的齿轮？,乘用车产品结构中，手动变速箱产品的毛利相对较低。
24,公司生产的齿轮与精锻科技的产品在生产工艺、产品性能上存在哪些差异？,您好。我们两家虽同属齿轮行业，但就齿轮的制造工艺、运用领域是不同的。我们两家不是直接正面竞争关系。谢谢
25,请问17年的资本开支是多少？预计2018年的资本开支是多少？主要用于哪些地方？,你好，17年的资本性支出在年报里有相关披露，18年可 能略有增加，主要用于固定资产投资
26,请介绍下公司主要客户情况。,请参见公司网站及年报相关分析。
27,请问德国采埃孚的订单预计什么时候开始交货，预计今年的营业额会有多少？,你好，德国采埃孚8HP项目预计2020年左右开始交货，目前已经在合作的商用车领域预计今年销售额在6000万左右。谢谢！
28,请问怎么看待今后新能源电动汽车没有变速箱，所以齿轮业务会大幅减少的情况，公司有什么对策?,"您好，整个汽车行业对自动变速箱的需求空间是非常庞大的，新能源汽车属于新兴市场，其在未来很长一段时间内不会对自动变速器传动部件业务产生不利影响。谢谢！
"
29,公司现阶段发展过程中面临的最大挑战是什么？,人才资源是企业的核心竞争力。人才梯队的建设和储备，要跟上企业飞速发展的节奏，这是现阶段面临的最大挑战。谢谢！
30,贵公司18年一季度的经营活动净现金流罕见地为大幅净流出，请问这是否正常？,你好，那是因为去年核算时把承兑汇票放经营流入，而今年没放入，而导致净流出。谢谢
