,Question,Answer
0,请问董事长，目前辽源分公司深加工订单充足么？有没有产能闲置情况？,您好，目前吉林利源精制股份有限公司深加工订单充足，同时公司准备利用沈阳新建深加工生产线补充产能，以提高深加工产能。谢谢
1,根据国际商报报道，公司计划在沈北新区投资一个大型汽车轮毂生产基地是否属实，占地面积1200多亩？,您好，公司相关公告的指定发布网站为巨潮资讯网，谢谢。
2,王总您好！中国铝业报采访时您说2017年利润目标6.6亿元，请问是否属实？,"您好，经公司财务部测算，公司2017年度，归属于上市公司股东的净利润预计比2016年增长5%-25%，约57,700万元-68,800万元左右。谢谢"
3,公司目前面临的最大问题是什么？,您好，随着公司产业布局的调整，公司相关人员、技术储备、管理能力等均需相应跟进，因此，公司在新项目建设期，对相关人员进行多方准备，以外聘结合自身发展相补充的方式，解决未来在整车制造的人员储备工作。技术方面，公司本项目引进的产品，技术先进、成熟可靠，并由著名企业三井物产金属提供技术支持，同时企业已为产品的生产引进和储备了大批技术人员，可确保项目的顺利实施。谢谢
4,请问独董，据说公司沈阳子公司建成整车生产线将达到长客动车产能的2倍，是否属实？,"您好，沈阳公司新项目建成后，具备年产客运轨道车辆1,000辆（包括动车组400辆、铝合金城轨地铁400辆、不锈钢城轨地铁200辆）、铝合金货车1,000辆、铝型材深加工产品6万吨的生产能力。长客是中车旗下子公司，本人并不了解其生产能力。谢谢。"
5,请王民董事长回答问题，公司生产的轨道车有三种分别是地铁车、城轨车以及动车组，我要问的是动车组是否今年年底可以生产出动车组样车？,您好，公司目前计划是年底生产地铁和城轨样车，不排险动车样车，重点以前两项为主。谢谢
6,公司在沈北新区厂区内新建包括五栋员工宿舍楼，请问这些宿舍楼的使用功能？未来公司重心是要转移到沈阳吗？,您好，根据沈阳公司未来投产后的员工整体情况，新建员工宿舍楼，是为解决外地职工及其家属的住宿问题。沈阳公司为吉林公司的全资子公司，纳入合并报表范围，因此不存在重心转移。谢谢
7,6万吨深加工中5个深加工车间去年9月已经投产，根据王总接受采访时说的剩余的3个车间上半年全部投产，那么全部6万吨8个深加工车间今年一共可以创造产值多少？,您好，目前沈阳新项目仍处于建设期，深加工车间随建设进度逐步放产能，考滤新项目投产当年，受机器调试安装及新产品交付等因素影响，并不能完全实现测算效益。谢谢 
8,从沈阳地铁指挥部了解预计沈阳地铁9、10号线试运行将在2018年10月开始，涉及的城轨地铁车采购公司目前的轨道车项目进度是否可以跟上沈铁9、10号多达四十多列地铁车的采购？,您好，公司目前正在加紧安装相关设备，预计今年年底出相关样车。公司方面会加快相关速，以争取到沈阳地铁的订单。谢谢
9,2017年3月招标轨道车设备：不锈钢侧墙模块骨架、骨架与蒙皮自动点焊生产线、不锈钢车顶、不锈钢底架的自动点焊系统、不锈钢车体总组成点焊设备-----今年设备供应合同交货时间？,您好，根据合同约定，上述设备从10月底开始陆续从厂家发货。谢谢
10,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,您好，公司目前无相关投资计划。谢谢
11,公司是否在考虑开拓新的领域？取得初步进展没有？,您好，公司目前所处于铝加工行业，未来随着沈阳新项目投产，属于轨道交通的整车制造，公司将在上述领域精耕细作。谢谢
12,2017年6万吨铝型材深加工产能是否可以达到公司在定增中回复证监会（106973号）项目计划方案的预测产能？,您好，目前沈阳新项目仍处于建设期，深加工车间随建设进度逐步放产能，考滤新项目投产当年，受机器调试安装及新产品交付等因素影响，并不能完全实现测算效益。谢谢
13,请问公司以后每年会用什么形式回馈股东？,您好，按公司分红管理制度规定，公司在符合条件的情况下，需每年以现金或股份转增等方式进行利润分配。除上述规定外，公司会加强企业经营，以更好的效益回馈广大投资者。谢谢
14,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"您好，随着公司产业布局的调整，公司相关人员、技术储备、管理能力等均需相应跟进，因此，公司在新项目建设期，对相关人员进行多方准备，以外聘结合自身发展相补充的方式，解决未来在整车制造的人员储备工作。技术方面，公司本项目引进的产品，技术先进、成熟可靠，并由著名企业三井物产金属提供技术支持，同时企业已为产品的生产引进和储备了大批技术人员，可确保项目的顺利实施。
对于新客户引进，前期都有磨合期，公司对于新客户并不是采用单一形式，采用多元化储备方式，积极避免公司因某一行业或某一客户的兴衰而影响公司的业绩。谢谢"
15,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好，公司产品涉及建筑装修、轨道交通、电子电力、机械制造、石油化工，军工兵器等领域，在不同领域公司配备相应的研发团队。未来公司产品会延续产业链，向下游方向发展，生产高附加值的终端深加工产品。
16,2015年6月达产公司次募的轨道交通车体深加工项目预计提高公司营收18.9亿，即使不考虑公司首募的二个项目提升的公司营收，2016年公司营收才25.58亿，公司从1013年底的营收18.78亿到2016年底的25.58亿三年才增加6.8亿，都不到公司次募项目预计营收的36%？预计2017年上述公司次募项目产能可以达到吗？,您好，公司新项目投产有试运行调试及产品交付检测等前期磨合阶段，因此最近一年，未达到预测效益，随着设备逐步调试及产品的陆续交付，该项目效益会逐步释放。公司近几期项目建设，均属于完整产业链布局，完善公司产品结构，因此，新产品较多，公司相关管理层及技术人员会加大力度，推进新产品周期，使项目尽快达到预测效益。谢谢
17,在2013年增发项目已经投产，但一直没有达到承诺收益，且差距较大。请问原因是什么？何时能达到呢？,您好，公司13年《轨道交通车体材料深加工项目》在2015建成陆续投产，当年不能满负荷生产，产能需逐步释放。前期项目均可为本次项目做配套生产。谢谢！
18,“大截面交通运输铝型材深加工项目”建设期原预计为24个月，但因公司进口设备到货时间延迟等原因，达产时间推迟。----首募项目为什么会发生进口设备这样不可思议的延迟交货，导致公司首发项目迟迟不能落地？,您好，公司大截面交通运输铝型材深加工项目于2013年3月投产，效益达到预期计划。谢谢
19,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,您好，公司目前没有并购计划。
20,张总，我问的是动车组，不是地铁车样车、城轨车样车，所以请您回答动车组是否也是2017年底出样车？,您好，公司整车项目投产前期，国内市场考虑以地铁和城轨为主，目前工作以上述车型为重点，动车组也正在积极准备中。谢谢
21,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好，公司目前无股权激励计划。谢谢
22,你好：请问公司目前和日本三井是什么合作方式？轨道项目使用的是日本技术吗？,此次募集资金投资项目之轨道车辆制造及铝型材深加工建设项目由公司与日本三井物产金属共同实施完成。三井物产金属负责提供日本轨道车辆制造技术人员，以及轨道车辆制造技术、设计、自动化系统等技术信息，同时负责整车的销售工作。同时，公司设立自主研发团队，会根据实际情况进行匹配的。
23,王总在4月初接受某媒体采访时说今年公司利润6.6亿，记得2016年利润是5.5亿，增加1.1亿，但是光今年初募集的近30亿投入银行理财也要超过1.5亿利息收入？,您好，公司定向增募集资金会根据公司前期自有资金投入情况进行置换，除补充项目所需资金外，同时考虑归还前期银行借款。由于公司沈北新项目尚处于建设期，不能完全投产达效，考虑相关固定资产形成后，需相应计提折旧，公司财务部根据综合测算后进行公司2017年利润指标预测。谢谢
