,Question,Answer
0,智能电网行业还有什么深挖的潜力吗？,目前传统电网向智能电网的改造升级以及先进储能装置、微电网的普及，将为电力行业的发展提供更为广阔的空间，也对输电技术及产品提出了更高的要求，更清洁、更安全、更智能的地下输电技术将发挥重要作用。
1,今年盈利预期怎样？,公司秉承稳健经营、持续发展的管理理念，努力提升自身业绩与价值，积极回报广大投资者。
2,主营业务不景气，有没有向其他业务转向的想法？,您好，由于社会用电量增速逐步趋缓，近几年特高压电网投资增速确实处于下行周期，这对公司传统电缆连接件增量业务，带来一定压力。但，现有存量电网由于规划布局及运行时间长度的问题，存在大量重新布局规划、迁改以及更新换代的需求。公司目前新业务的重点拓展方向，一是“架空线入地”，二是“老旧输电线路迁移改造”，特别是一二线城市架空线入地业务，一旦市场打开将盘活大量土地资源，同时提升城市形象，这会为公司现有业务提供巨大的市场空间。技术方面，公司同时掌握电缆输电、GIL输电两种地下输电核心技术，相关产品也获得权威机构鉴定，处于国际领先地位。感谢您的关注！
3,陈总：特高压智能地下输变现今业务量专公司总业务量有多少比例？现今这块业务主要在哪些城市开展？,2017年公司销售收入中电缆连接件占比52.9%，电力工程承包业务占比20.89%，电力工程勘察设计业务占比8.87%，公司目前主要市场在华东、华中、华北地区展开。
4,有没有发展海外项目啊？很多发展中国家应该有很大的市场吧。,公司目前正在积极拓展海外市场，包括发展中国家。
5,请问公司2018年预计投入的研发费用预算多少？,公司研发部门根据市场前景开发差异化、智能化的电缆连接件产品、GIL产品，研发费用的投入将根据产品研发进度逐步投入。
6,公司的墙都是绿色的，环保方面有什么特色吗？,公司一直致力于绿色、智能、安全、可靠的国产化输电系统，助力于中国电网健康发展
7,有什么新研发项目吗？,公司研发部门正在积极根据市场前景开发差异化、智能化的电缆连接件产品、GIL产品
8,目前在行业中的竞争力怎样？有何竞争优势？,公司专注于电缆连接件、GIL及相关产品的研发及生产，掌握了智能地下输电核心技术，并拥有这些产品的自主知识产权。公司依靠自身力量进行自主研发，掌握了电力电缆连接设备及GIL在电力系统中的运行原理、制造工艺和生产、安装技术等，在满足国内电力建设的需求之外，也提高了我国智能地下输电领域的技术水平，现有的系列产品完全可替代进口产品。
9,股价跌成这样，怎么办啊？,股价波动是二级市场正常行为，公司会努力做好生产经营管理工作，努力提升自身价值，积极回报广大投资者
10,请问公司目前具有持续开发能力的优质客户占比多少？,公司的最终客户主要是国家电网、南方电网和五大发电集团等企业，以上客户占公司2017年销售收入约50%
11,公司下一步有何规划？,公司的长期战略目标是成为“国际领先的超、特高压智能地下输电整体方案供应商”，以电缆连接件及GIL为基础，为客户提供咨询、设计、融资建设、运维、能效管理等电力生态链系统解决方案，实现从传统装备制造型企业向现代先进制造服务型企业的战略转型。
12,股票上市最高价130，现在40多块，加强市值管理很重要啊，希望管理层多想想办法提升股价,您的建议已收到，感谢您的建议，公司会加强经营管理，拓展市场，尽最大努力回报广大投资者
13,公司的电缆输电、GIL输电两种地下输电两项核心技术，在国内领先，在国际上呢？处于什么状态？,公司自主研发的“AK-GD1-1100 1100kV刚性气体绝缘输电线路（GIL）”等四个产品通过了中国机械工业联合会组织的新产品新技术鉴定并取得相关鉴定证书，产品综合性能达到国际或国内先进水平。
14,请问公司目前股价能反应公司真实价值吗？,公司目前动态市盈率约37倍，在同行业次新上市公司中处于较低水平。上市公司股价受二级市场多种因素影响，长期来看，会围绕真实价值波动，谢谢！
15,今年的老输电线路迁移改造规模有多大？,输电线路迁移改造与政府规划密切相关，公司目前正在积极与各地方政府接洽、沟通，拓展市场
16,公司今年将怎么提升内控及管理水平？有什么举措吗？,公司将继续提升规范经营和治理水平。进一步完善公司相关的规章制度，促进公司董事会、管理层严格遵守；继续优化公司的治理机构，提升规范运作水平，为公司的发展提供基础保障，建立更加规范、透明的上市公司运作体系；同时加强内控制度建设，坚持依法治理企业；优化内部控制流程，不断完善风险防范机制，保障公司健康、稳定、可持续发展。
17,国内在电网设计仿真这一块，技术还是比较落后吧？,公司在电网设计方面使用了先进的仿真技术
18,公司是否有拓展海外业务,公司目前正在全力开发海外市场
19,公司目前正在报的专利有多少项？,公司目前正在报的专利有9项
20,公司的核心技术人员占比多少？,目前公司核心技术人员占比10.68%
21,公司在材料研究上会用哪些新材料？和环保相结合的？,公司在材料研究方面使用了食品级硅橡胶等环保新材料
