,Question,Answer
0,今年公司人力成本的大幅度上升？对公司产品价格影响有多大？,您好，请您关注公司2016年年度报告相关经营数据，谢谢。
1,去年公司经营遇到的最大困难是什么?今年有望改善吗？,您好，公司2016年年报经营讨论与分析做了较为详细的阐述，请您关注，谢谢。
2,除了在巨潮网上查看公司公告，还可以在哪里了解公司的日常经营情况？,您好，公司还通过投资者热线、公司官网、投资者关系互动平台加强与投资者的互动，公司官网(http://www.forcom.com.cn)，投资者及内幕交易举报热线(86-591-83992010)、投资者关系管理邮箱 (fuchungroup@fuchun.com) ，谢谢。
3,公司未来发展前景如何?对目前这个行业的市场潜力有多大？,目前公司主营业务为通信业务及游戏娱乐业务，并围绕主业就未来发展进行布局，谢谢关注。
4,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,目前公司已经实现通信与游戏娱乐双主业的发展，分地区情况请详见公司4月26日披露的2016年年度报告，谢谢。
5,公司今年有没有新产品和新业务拓展？,国内将陆续推出SNH48、还珠格格、仙境传说海外版等新手游，不断丰富产品线，同时今年将正式启动富春的海外娱乐业务，在海外发行、IP合作等领域力求有所突破
6,自从微博出现后，对于舆情的关注和扩散在一定程度上都有所放大，关于舆情的监控，公司有些什么样的手段？而在应对负面舆情的时候，又有什么样的应急措施？,您好，目前新的媒体平台及新的传播途径不断出现，公司积极关注舆情，同时公司通过严格的内控体系和管理制度，严格自律
7,请问公司在财务结构上有什么不足，打算采取哪些举措。,谢谢关注。
8,今年如何分红，是否高送转，有计划吗？,"您好，公司已于2017年4月26日披露2016年年度报告，并披露2016年底利润分配预案为：以380,002,637为基数，向全体股东每10股派发现金红利0.80元（含税），以资本公积金向全体股东每10股转增5股。谢谢。 "
9,请问公司上一季生产经营状况如何？与去年同期相比如何呢？,您好，公司2017年第一季度公司实现营业收入1.72亿元，较上年同期上升115.67%；归属于上市公司股东的净利润为6221.65万元，较上年同期上升333.22%。详情请查阅公司于2017年4月26日披露的2017年第一季度报告。谢谢。 
10,公司未来3年发展前景如何?,您好，公司坚持安全、健康、可持续的发展理念，不断夯实主营业务，积极布局未来具有远大发展前景的业务，请及时关注公司公告，谢谢
11,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,"您好，公司在2016年年报中列举了公司面临和挑战和风险，公司拟通过以下措施加快公司健康可持续的发展：1、夯实主业，推动公司安全、健康、可持续增长 公司将在公司在研发、IP资源、优质娱乐内容创造、人才引进等方面继续加大投入，进一步提升公司运营和管理能力， 加强优化资源配置。 2、推进投资、并购工作，布局未来业务。3、构建泛娱乐内容平台，实现公司文化娱乐产业链上下游的合作共赢与共同发展。 4、做好财务管理，提升资金运营能力。 5、加强企业文化建设，提高企业文化融合力和制度输出力 。
欢迎及时关注公司公告，谢谢。"
12,最近公司财务状况如何？,您好，2016年度，公司实现营业收入4.53亿元，较上年同期增长19.61%；利润总额为1.33亿元，较去年同期增长66.83%；归属于上市公司股东的净利润为1.098亿元，较去年同期增长56.97%。2017年第一季度公司实现营业收入1.72亿元，较上年同期上升115.67%。详情请查阅公司于2017年4月26日披露的2016年年度报告及2017年第一季度报告。谢谢。
13,"国家要求实行经济节约型政策,公司具体是怎么做的?",谢谢您的建议和关注，谢谢。
14,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,公司目前围绕通信和游戏娱乐为主营业务进行业务发展布局，公司业务同比增长较快，2016年度，公司实现营业收入4.53亿元，较上年同期增长19.61%；归属于上市公司股东的净利润为1.098亿元，较去年同期增长56.97%。2017年第一季度公司实现营业收入1.72亿元，较上年同期上升115.67%，谢谢关注。
15,新三板的扩容，带来了新的投资机会，你们公司在这方面有什么打算吗？,公司积极关注一切能够增强主营业务，获得新的行业发展的投资机会，谢谢您的建议。
16,请问主要游戏产品《秦时明月》《仙境传说》等的月流水在多少？趋势如何？（建议公司能逐季披露运营数据）,公司目前上线运营众多款手游产品，公司将根据相关规定及时履行披露，请关注公司公告，谢谢。
17,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",您好，我们当然有信心，我们也一直在为此而努力。感谢您的关注！
18,"这几年社会道德严重滑坡,不讲诚信，为了个人利益突破道德底线的行为屡屡发生，你作为企业高管如何看待？",精神文明随着物质文明的提升而不断提升，不能因个体事件或个别现象而以偏概全，否定精神文明取得的进步。富春股份追求成人达己，成己为人的价值观，努力成立有责任、有担当的公司，谢谢。
19,在企业文化方面，公司有什么特色吗？,您好，公司以“成人达己、成己为人”为价值理念，积极打造“一体两翼”企业文化体系。“一体”即以公司为主体，“两翼”分别代表运动(即修身)和学习(即善学)，贯彻“野蛮体魄，文明精神”，开启健康快乐的人生。公司依托“悦读”、“乐跑”两项核心活动，引导全体员工积极参与乐跑等文体活动，提高素养、增强体魄；通过读书分享会、制定年度阅读目标等方式，有效实施“悦读计划”，即以员工成长成才为准则，搭建交流、互动、分享、进步的学习平台。谢谢！
20,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"公司始终坚持科技为本的发展方向。2016年，公司共取得“富春通信面向5G的分布式移动云计算协同架构与管理软件”、“富春通信5G与WiFi融合组网需求分析软件”、“富春通信基于C-RAN的5G无线接入网架构软件”、“富春通信电动汽车充电桩智慧云系统”和“富春通信基于北斗导航的车载监控系统”5项软件著作权；取得发明专利：一种建筑基础结构及其施工方法；公司参编的2项国家通信行业标准已于2016年开始实施，该标准的发布与实施为通信行业相关专业技术发展和行业市场规范提供指导性依据，促进行业健康有序发展，得到了国家主管部门的肯定，提升了公司在行业内品牌影响力。
而在游戏领域，公司旗下两家子公司骏梦游戏和摩奇卡卡的技术水准同样位居同行业一线行列，拥有多项专利，在行业内有较大优势。采用最新引擎技术研发的三国战纪、SNH48手游、雪鹰领主、还珠格格等产品，将带来新的利润增长。
更详细情况请查阅公司于4月26日披露的公司2016年年报，谢谢。"
21,希望公司在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力！,感谢您的关注与建议，公司将通过多种方式汇聚和储备人才，包括但不限于员工持股、事业合作等方式。公司已于2016年推出并实施了2016年员工持股计划，谢谢。
22,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,公司除了加大业务内生增长做大做强上市公司，也力求通 过外延式并购、事业合伙人、参股、投资孵化等多种方式，实现公司跨越式发展，公司已在2016年年度报告中体现，请您关注。
23,股价升等于做免费广告，有助于公司产品销量升、业绩升，形成良性循环。建议公司配合将股价做上去。,谢谢您对关注。
24,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,您好，公司在定期报告中已详细披露了未来可能面对的风险及应对措施，烦请查阅。公司也将进一步加强有效的内部控制，规避和减少可能存在的风险。谢谢。
25,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,公司2016年年报和2017年一季报均已披露，公司营业收入同比较大幅度增长，请关注公司公告。公司持续增长源于主营业务的有序扩展，通信和游戏两大业务板块都以此为目标开展各项运营工作。通信方面在稳固现有业务的基础上，积极探索通信创新业务的机会；游戏方面两家全资子公司骏梦游戏和摩奇卡卡，在今年都有丰富的后续产品开发计划，类型和题材都有所开拓，将陆续推出包括还珠格格、SNH48、仙境传说在内的多款知名IP手游。
26,"去年有机构投资者去公司做调研吗,都是哪些？我们这些中小投资者在哪里能看到机构投资者的调研情况？",投资者对上市公司的调研情况，公司会及时披露于深交所指定网站，请您关注，谢谢。
27,近一年来，贵公司高管考虑增持吗？,谢谢对公司的关注，请及时关注公司公告。
28,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好，公司主要在建项目是厦门研究中心项目，目前该项目工程积极推进建设施工方案的修订，将于2017年进行施工建设。谢谢。
