,Question,Answer
0,步森股份在2016年终止“年产 40万件中高档茄克衫生产线建设项目”，同时又设立了诸暨市步森服饰有限公司，这两者是否存在矛盾？,尊敬的投资者您好！感谢对公司的关注！“年产 40万件中高档茄克衫生产线建设项目”是针对铜陵步森的一个募投项目，而设立诸暨市步森服饰有限公司是为了公司接下去的战略发展规划，两者不存在矛盾关系，谢谢。
1,请问公司如何看待上市公司的并购和市值管理？,您好！感谢对公司的关注！关于公司的相关情况，敬请关注公司在指定的信息披露媒体《上海证券报》、《证券时报》、《证券日报》及巨潮资讯网（www.cninfo.com.cn）上的公告。谢谢！ 
2,陈董，贵司在2016年底提出了金融科技转型的战略，至今有何实质进展或重要突破？,您好，感谢对公司的关注！关于公司的情况请关注指定的信息披露媒体《上海证券报》、《证券时报》、《证券日报》和巨潮资讯网（http://www.cninfo.com.cn）。
3,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？,"尊敬的投资者您好！感谢对公司的关注！目前公司在往年渠道管理的基础上继续对现有渠道进行整合与转型。着重加强对现有直营店铺的经营情况及盈利能力分析，排查出需要优化和关闭的店铺，并对潜力店铺进行了优化调整，提高销售渠道的整体经营能力。谢谢。

"
4,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理？,您好！感谢您对公司的关注与支持！目前公司暂无固定资产技术改造项目，谢谢！
5,公司每次投资项目的可行性报告是否有详细说明公告？,您好！公司投资项目的审批流程严格按照相关制度进行决策，披露严格按照法规进行，关于公司的情况请关注指定的信息披露媒体《上海证券报》、《证券时报》、《证券日报》和巨潮资讯网（http://www.cninfo.com.cn）。
6,虽然说公司的股价由二级市场决定，但股价是公司经营的一个表象，请问管理层对回报投资者持有怎样的态度？,尊敬的投资者您好！感谢对公司的关注！公司将积极听取广大投资者的批评与建议，多与投资者交流互动，同时努力提升公司经营生产能力，创造更多的经营业绩，以回报投资者。谢谢！
7,请问公司以后每年会用什么形式回馈股东？,您好！感谢您对公司的关注！在保证公司正常经营发展的前提下，公司会积极回报投资者，履行应尽社会责任，建立投资者对公司发展前景的信心。敬请关注公告！谢谢！
8,贵公司是否会考虑实施股票期权等规范股权激励方式，惠及更多员工？,尊敬的投资者您好！公司如有这方面的决策，会第一时间进行信息披露，感谢投资者的关注与支持！谢谢。
9,能介绍一下公司现在各大区域的销售和占有率等基本情况吗?,尊敬的投资者您好！感谢对公司的关注！关于公司的相关情况，敬请查阅公司在指定的信息披露媒体《上海证券报》、《证券时报》、《证券日报》及巨潮资讯网（www.cninfo.com.cn）上的〈2016年度报告〉。谢谢！
10,公司的前三大客户是哪些公司？,尊敬的投资者您好！感谢对公司的关注！关于公司的相关情况，敬请查阅公司在指定的信息披露媒体《上海证券报》、《证券时报》、《证券日报》及巨潮资讯网（www.cninfo.com.cn）上的〈2016年度报告〉。谢谢！
11,公司目前有哪些在建项目？建设进度如何？还需要多少资金？,您好！感谢您对公司的关注与支持！目前公司暂无在建项目。谢谢！
