,Question,Answer
0,河北荣盛发展迅猛，请问公司与其有合作业务吗？,有，公司是荣盛防水材料的战略供应商。感谢您的关注。
1,雄安千年大计，公司有哪些业务涉猎其中？公司在雄安新区签订的订单有哪些？什么时候会公布？业务拓展如何了？,雄安的所有基建项目均与公司的业务高度相关。目前雄安新区还没有进入实质性建设阶段，公司设立了雄安新区事业部，目前业务工作正在有条不紊地进行中。具体合同签订情况公司会按照信批要求做好披露，敬请关注。
2,预计今年公司自主研发的“高分子自粘胶膜”产品产销量是多少？,高分子自粘胶膜是公司的核心产品，且在这一领域具有核心竞争力，随着应用领域的不断扩大，预计今年销售仍会保持较快增长，具体请关注公司公开披露信息。
3,"今年年初有很多新三板公司放弃了IPO,公司作为一个转板成功的企业，有什么秘诀吗？",规范，规范，还是规范，重要的事情说三遍。
4,公司第三个生产基地成都工厂建设情况如何？,目前已经进入前期设计规划阶段，预计建设周期为12个月。具体情况请关注公司公告。
5,公司的股权高度集中，这在重视重大事件上的决策上会不会有什么负面影响？,我们不认为公司的股权结构属于高度集中的情形，同时公司建立了健全的公司治理结构，可以保证公司的重大决策符合规范性要求。
6,目前公司的利润分配方案是怎样的？近期不少公司都有高送转，贵公司也有吗？此外，还有哪些激励员工和投资者的利好措施？,利润分配方案详见公司3月13号公告。感谢您的关注。
7,成都建设的第三个生产基地目前进展如何？何时能投产？,目前已经进入前期设计规划阶段，预计建设周期为12个月。具体情况请关注公司公告。
8,目前楼市行情对公司经营有多大影响？,在房地产政策方面，国家坚持房地产的居住属性，对不同城市的房地产实行差别化调控，受此影响，虽然房地产投资增长率呈下降趋势，但随着国家调控深入，房地产的集中度进一步提升，相应促进了具有品牌和资本优势的防水材料企业的市场占有率的提升。
9,请问公司今年出成都基地外，是否还会新建其他基地?,公司会随着业务发展进一步推动生产布局的完善，下一步公司还会择机在华中、华南等地建设新工厂。具体情况请关注公司公告。
10,贵公司为哪些知名客户提供服务？,目前与公司有合作关系的大型地产商包括万科、碧桂园、恒大旅游、时代地产、荣盛、复星地产、绿地、华发、南山地产、中航里城等。
11,三四线城市房地产去库存告捷，对公司经营有何影响？,房地产的健康发展会对防水材料行业产生积极正面影响。
12,防水卷材行业的发展趋势如何？,国内经济坚持稳中求进工作总基调，坚持创新驱动发展，加快经济发展方式转变和经济结构调整，经济运行保持在合理区间，呈现出稳中向好的发展态势。国家大力推动“供给侧改革”，淘汰低端和落后产能，对建筑防水行业的转型升级和进一步规范产生了积极的影响。
13,公司今年能否像去年一样，在股东会召开后，尽快发布权益分配实施公告？,权益分配事宜请及时关注公司相关公告，感谢您的关注。
14,公司现在订单及销售情况如何？产能能满足需求吗？还是产品滞销,公司经营和销售情况一切正常，目前产能和销售匹配，高分子材料下半年有产能扩张需求。
15,请问，公司唐山工厂预计什么时候能够进行投产？,预计唐山工厂3月底可以完成验收工作，之后即可正式投入生产。
16,公司在雄安是否已经有业务布局？,公司已经成立雄安新区事业部，相关工作正在有条不紊地展开。
17,公司在雄安新区目前有业务吗？,雄安新区目前尚未有新建项目，公司已经成立雄安新区事业部，并在有条不紊开展相关工作。
