,Question,Answer
0,公司有没有计划在适当的时侯推出激励计划来聚集和挽留人才，保持公司的竞争力？,公司将以“成为员工实现价值的理想园地”为核心理念，围绕巩固发展及转型定位，通过引进、培养、激励等措施，完善公司人才管理。扩大高级人才引进。通过多渠道引进符合公司战略发展要求的中高级管理、技术、业务人才。同时，加强管理团队培养。公司坚持严格挑选、提拔中高级管理人员，并持续加强对管理人员培养力度，同时完善核心管理岗位，有序推进人才梯队建设。公司建立起了一套较为完善的员工考核、晋升、培训和奖惩激励机制，并建立了特殊人才引进机制，以吸引、留住、用好高层次人才。
1,你好董事长，贵公司的主打产品是什么，市场占有率如何。你们公司靠什么来不断提高自己的产值，发展前景如何。,您好，感谢您的关注！公司主要产品为LED封装和LED照明，均处于领先地位。
2,请问公司以后每年会用什么形式回馈股东？,您好！公司制定了分红政策和计划并严格执行。谢谢！
3,请问总经理你对你们公司现在的股价满意吗？,您好，感谢您的关注！公司股价受二级市场等诸多因素影响，公司管理层致力于做好公司的生产经营管理，为公司股东创造最大利益。
4,请问公司今年营收的增长能超过行业的平均水平吗？,您好，感谢您的关注！公司2017年营收情况请持续关注后续相关公告。
5,独立董事对公司的内部控制有怎样的意见呢？,作为公司独立董事，认为公司内部控制符合《企业内部控制基本规范》、《创业板板上市公司规范运作指引》等有关规定，公司内部控制建立、健全，内部控制是有效的。
6,公司去年有没有新产品，请问新产品的推出是什么原因？2017将会实现多少的销售收入？,您好，感谢您的关注！根据市场的需求，公司一直加强研发投入，新产品的试产。2017年实现销售收入详情请持续关注相关公告。
7,您是否认为公司有核心竞争力？公司的核心竞争力是什么呢？,您好，感谢您的关注！ 公司一直以来倡导“长长方方做人，实实在在做事“的长方精神，互相尊重、忠诚大于能力、一切按流程进行，合适的岗位选择合适的人，让结果说话，对事讲原则，对人讲感情的管理风格。追求：诚信、创新、超越、全局观念，以客户为导向的价值观。本着对客户和员工高度负责，做LED行业集研发、生产、销售于一体的综合发展企业集团。 公司致力于做深做强，稳健式发展。秉承“信誉为主，品质至上，追求完美，永续经营“的经营宗旨，本着”诚信“、“创新”、“超越”、“高效”的理念，力争成为世界上LED节能照明技术的积极倡导者和领导者。在提供一流LED照明产品、树立一流LED照明产品、树立一流LED照明品牌的同时，更关注客户利益及全球环保问题。长方LED照明将用自己的努力及不断的创新，为人类照明事业的发展，进步及环保事业作出应有的贡献。 为适应业务发展的需要，增强公司综合竞争力，公司依托核心竞争力及研发实力，在稳固封装原有市场地位的同时，加大了对封装的研发投入，引进行业高端研发人才，在垂直封装、高压封装等方面取得了新的突破，加大研发投入的力度，谢谢！
8,请问公司公司的核心竞争力是什么？,"您好，感谢您的关注！
公司一直以来倡导“长长方方做人，实实在在做事“的长方精神，互相尊重、忠诚大于能力、一切按流程进行，合适的岗位选择合适的人，让结果说话，对事讲原则，对人讲感情的管理风格。追求：诚信、创新、超越、全局观念，以客户为导向的价值观。本着对客户和员工高度负责，做LED行业集研发、生产、销售于一体的综合发展企业集团。
     公司致力于做深做强，稳健式发展。秉承“信誉为主，品质至上，追求完美，永续经营“的经营宗旨，本着”诚信“、“创新”、“超越”、“高效”的理念，力争成为世界上LED节能照明技术的积极倡导者和领导者。在提供一流LED照明产品、树立一流LED照明产品、树立一流LED照明品牌的同时，更关注客户利益及全球环保问题。长方LED照明将用自己的努力及不断的创新，为人类照明事业的发展，进步及环保事业作出应有的贡献。
      为适应业务发展的需要，增强公司综合竞争力，公司依托核心竞争力及研发实力，在稳固封装原有市场地位的同时，加大了对封装的研发投入，引进行业高端研发人才，在垂直封装、高压封装等方面取得了新的突破，加大研发投入的力度。"
9,请问今年的营销额，公司给的任务是多少？去年的有没有完成？,"您好：感谢您的关注！
公司2016的营收收入详见2016年度报告，2017年营业收入请关注公司后续披露报告。谢谢！"
10,请问公司是品牌为先还是品质为先？谢谢！,您好，感谢您的关注！公司一直致力打造长方品牌，同时严格把控产品品质，谢谢！
11,请问公司1季度预计的收入是多少，同比，环比增减多少？,您好，感谢您的关注！公司已经披露一季报，请关注！
12,请问独立董事，您的履职情况如何，是否能真正保护了中小股东利益？,您好！本人作为长方集团独立董事，认真履行独立董事职责，了解公司生产经营、管理和内部控制等制度完善及执行情况、财务管理等相关事项，查阅有关资料，与相关人员沟通，关注公司治理情况，促进公司进一步规范运作，保护中小股东权益。
13,公司今年有确定的订单吗？金额有多大？净利润怎样？,您好：感谢您的关注！请您持续关注公司后续披露相关公告。
14,今年公司有新的融资计划？,请关注公司后续的相关公告，谢谢！
15,现在行业间的并购都比较频繁，你们今年有没有兼并收购计划？,请关注后续公司的相关公告，谢谢!
16,公司属于什么行业？在行业内的地位如何？,LED制造业，在行业内属于领先地位，谢谢！
17,"国家要求实行经济节约型政策,公司具体是怎么做的?",公司是国家高新企业，响应国家经济节约型政策，降低能耗，大力推行清洁生产，谢谢！
18,你们把哪些公司做为竞争对手？据你们自己了解有哪些公司把你们做为目标对手？,详见年报，谢谢！ 
19,请问公司在财务结构上有什么不足，打算采取哪些举措。,您好，感谢您的关注！公司财务结构分析详见2016年年度报告。
20,管理方面是否有不到位的地方？,"您好，感谢您的关注！
公司逐步完善和健全内部控制制度体系，根据生产经营和管理的需要，按照相互制衡的原则，合理设置部门和岗位，科学划分职责权限，形成各司其职、各负其责、相互配合、相互制约的组织体系，各个职能部门能够相互制约、相互监督。公司明确规定了各部门的主要职责，制定了各项业务和管理程序的操作规程，各业务人员在授权范围内进行工作，各项业务和管理程序遵照公司制定的各项操作规程运行，确保了权力与责任落实到位。未来，公司将继续完善内部控制制度，规范内部控制制度执行，强化内部控制监督检查，促进公司健康、可持续发展。"
21,行业有没有周期性？,受季节环境影响不明显，谢谢！
