,Question,Answer
0,胡总，请问商业空调部品业务近2-3年增速能到多少？公司对业务未来的规划是什么？,您好！我们争取20%以上的增长，按照目标规划成为商用的第一名；2017年，公司将紧密关注市场发展需求，确保对各细分市场商机关注的全覆盖，进一步推进商用制冷、商用空调、热泵热水器和冷链运输等产品的系列化开发，注重产品研发设计，以高品质的产品积极拓展市场，为客户提供优质的技术服务和解决方案，以技术领先创造客户价值。谢谢您对公司的关注与支持！
1,请问公司最近发行股票购买什么资产，推进顺利吗？预计什么时候复牌？谢谢！,公司目前正全力推进发行股份购买资产项目，具体复牌时间以公司公告为准。谢谢！
2,请问张总，亚威科业务未来的规划能否介绍一下？毛利率是否还有提升空间？,"    您好!2017年，公司将加快推动亚威科业务在亚太地区销售的快速增长；同时推进波兰、芜湖、土耳其三地产能布局优化，更好的体现三地产能的协同效应。
    随着国内芜湖生产基地的投产与亚威科杭州研究院的建成，毛利率还有提升空间，谢谢您对公司的关注与支持！"
3,请问下国内空调知名企业：美的，格力空调，海尔，为这三大企业提供空调零部件占比有多大？同时公司是否有买其公司的股票投资？谢谢！,公司是全球制冷控制元器件的领军企业，上述三大企业均是我司重要客户，其占比是动态变化的。公司是世界及国内众多知名空调厂家的战略合作伙伴，为全球各大空调厂商提供富有竞争优势的空调零部件产品。目前，公司尚未购买上述三大企业的股票。谢谢！
4,请问胡总，2016年亚威科洗碗机业务情况？今年有没有新的计划？,亚威科业务在2016年保持良好的增长势头，收入稳定增长，利润增长较快。洗碗机在中国几乎是一个从零到有的产品，随着人口老龄化、人工成本不断提高及年轻一代对生活品质要求的提高，洗碗机在中国的销售预计将呈爆发式增长。2017年，公司将加快推动亚威科业务在亚太地区销售的快速增长；同时推进波兰、芜湖、土耳其三地产能布局优化，更好的体现三地产能的协同效应，进一步为公司贡献利润，谢谢您对公司的关注与支持！
5,小波叔叔好，三花股份的主营业务是什么？,您好!公司主营业务为生产销售制冷空调冰箱之元器件及部件、咖啡机洗碗机洗衣机之元器件及部件。制冷业务主要产品包括截止阀、四通换向阀、电子膨胀阀、电磁阀、变频控制器、微通道换热器、家电热泵系统控制部品等，广泛应用于家用空调、商用空调、冷链业务和热泵系统等领域；咖啡机洗碗机洗衣机业务主要产品包括Omega泵、加热管、水软化系统、分配器等，广泛应用于咖啡机、洗碗机、洗衣机、洗干一体机等白色家电领域。谢谢您对公司的关注与支持!
6,请问墨西哥工厂什么时候可以达产？预计多久可以盈利？有没有预测过利润率？,您好！在墨西哥建设微通道换热器生产线项目预计2017年底达到使用状态，具体参见年报募集资金使用情况说明。谢谢！
7,小小建议，公司网址页面三花微通道有需要修改的字眼，希望公司有待改进，谢谢！,非常感谢您对公司网站以及产品信息的关注，我们会立即整改，并不断提供更优质的产品和服务。
8,请问张总，三花为奔驰CO2冷媒空调提供的电子膨胀阀今年能形成多大的规模？　对欧洲市场三花有什么期待？ 谢谢,三花汽车零部件公司是三花控股下属的子公司，目前尚未在上市公司体系内。据了解，其目前用于奔驰S级车型。谢谢！
9,发现公司近两年来的研发投入，尤其是专业人员和资金，投入越来越大，希望得到的经验和成果对公司提倡的环保节能降耗发展很大帮助，特别看好公司对此的投入。所以请问下公司旗下的三花汽车零部件公司的投入研发资金没有记录到公司年报的吧？同时三花汽车零部件公司大概何时纳入公司旗下？谢谢。,三花汽车零部件公司是三花控股下属的子公司，目前尚未在上市公司体系内。具体以公司公告为准。谢谢！
