,Question,Answer
0,公司在雄安新区有业务吗？有相关计划吗？,您好！公司暂时没有在雄安新区开展业务，我们会关注公司产品及服务在雄安新区的市场机会。谢谢您的关注！
1,公司18年在经营上有哪些新的规划？,您好！2018年，公司将继续贯彻“提升金融安防的市场占有率，深入挖掘客户的各类应用需求，积极构建行业安防整体解决方案”的发展策略，全面推进以金融安防系统为切入点，以云计算、大数据、人工智能、边缘计算等各种创新技术为基础的金融安防业务，并积极推进智慧城市、智慧司法、智慧教育、智慧口岸、智能交通及智慧水利等行业安全业务，实现公司多行业并行发展以及行业内部全方位的市场覆盖能力，具体请见公司于2018年4月18日披露于巨潮资讯网的公司《2017年年度报告》“第四节经营情况讨论与分析/九、公司未来发展的展望”，谢谢您的关注！
2,去年非金融安防业务板块收入增速达到多少？今年能延续吗？,"您好，2017年非金融安防业务的收入为12,388.89万元，具体可详见公司于2018年4月18日披露于巨潮资讯网的《2017年年度报告全文》之第四节经营情况讨论与分析之二、主营业务分析“营业收入构成”，感谢您对我司的关注。"
3,公司发展物联网业务，具有哪些技术和人才储备？,您好！在人才储备方面，截至2017年12月31日，公司研发团队人员数量为266人 ，占比员工总数的17.24%，团队由行业标准制定参与人领队，同时还在持续扩大研发团队规模；在技术储备方面，公司十余年深耕金融安防领域，对于客户需求有深刻理解，在银行安防、业务管理上拥有雄厚经验，公司以此为基础自2012年开始研发智慧物联网管理平台，现已迭代至4.0产品，实现与边缘层物联网数据的对接，并通过云端智能分析达到智慧安全、智慧管理的目的；同时，公司凭借2017年新设立的孙公司即湖南久视智能科技有限公司这个平台，结合国防科技大学、汕头大学博士科研团队，从事深度学习等人工智能算法研究，开展尖端计算视觉技术研发以及物联网操控类语音语义专项技术攻关，为公司向相关行业和领域拓展延伸做了技术沉淀。
4,与竞争对手相比，公司具有什么优势？,您好，我司具备技术与研发优势、整体解决方案能力优势、行业经验及品牌优势、综合资质优势以及营销及服务网络优势，具体详见公司于2018年4月18日披露于巨潮资讯网的《2017年年度报告》之第三节公司业务概要“三、核心竞争力分析”，感谢您对我司的关注。
5,控股股东质押股份是否面临平仓风险？,您好，根据2018年4月26日公司股票收盘价22.27元/股计算，距离控股股东质押预警线尚存在较大价差，不存在平仓风险。感谢您对我司的关注。
6,公司对区块链技术是否有研究？,您好，公司目前暂未涉及区块链业务，谢谢您的关注。
7,公司在金融安防领域具有哪些竞争优势？,您好！公司自成立之日起就一直深耕于金融安防领域，凭借多年深耕于该领域多年的市场和经验技术积累，公司已成长为国内金融安防行业领先企业之一，公司在该领域的竞争优势较为突出，主要体现为金融安防整体解决方案能力优势、技术和研发优势、行业经验和品牌优势、金融安防综合资质优势以及营销及服务网络优势等5个方面，谢谢您的关注！
8,目前公司股东数多少？人均持股多少？,"您好，截止公司2017年12月31日的股东人数是10,643户，人均持股数为20,518股，谢谢您的关注。"
9,控股股东近期还有没有增持计划？,"您好，我司董事会于2018年2月8日收到公司控股股东、实际控制人茅庆江先生增持公司股份的计划函，茅庆江先生计划自2018年2月8日起6个月内增持公司股份，累计增持股份数量不超过公司总股本的 2%且累计增持金额不低于人民币2,000.00万元，上述计划已于2018年2月8日披露于巨潮资讯网。感谢您对我司的关注。"
10,去年润安科技作出多少业绩贡献？今年收入增速预计能达到多少？,"您好，2017年司法行业的收入为3,521.01万元，感谢您对我司的关注。"
11,公司一季度业绩同比扭亏，主要原因是什么？今年全年能否保持盈利？,您好，公司第一季度业绩同比扭亏为盈主要系本年度公司积极围绕既定的发展战略和经营目标，巩固和开拓市场，实现了营业收入稳步增长。全年业绩预计情况请关注我司后续业绩预告情况，感谢您对我司的关注。
12,您怎么看待公司在物联网行业的发展前景？,您好，物联网是新一代信息技术的高度集成和综合运用，对新一轮产业变革和经济社会绿色、智能、可持续发展具有重要意义。物联网将为全球经济增长注入新活力，麦肯锡预测2025年物联网对全球经济影响将达11.1万亿美元。我国高度重视物联网产业发展，于2017年1月发布《信息通信行业发展规划物联网分册（2016—2020年）》，提出产业规模突破1.5万亿的发展目标，并制定“强化产业生态布局”等重点任务。在此背景下，公司将继续增强公司在智慧物联管理平台和智能硬件方面的领先优势，融合物联网、云计算、大数据、人工智能、移动互联网、边缘计算等新兴技术，以工业4.0思想构建全新的智慧物联管理平台，打造全方位智能感知产品；以柔性定制、敏捷实施为核心能力持续在智慧金融、智慧城市、智慧司法、智慧教育、智慧口岸、智能交通、智慧水利等各个行业进行拓展，成为智慧和安全新世界的构筑者。感谢您对公司的关注。
13,请问2017年公司主营业务有什么变化？,"您好！2017年，公司从事的主要业务仍为金融、司法以及平安城市这三个领域的业务。其中，金融、司法和平安城市的业务分别为公司创造44,590.61万元、3,521.01万元以及4,223.46万元的收入。谢谢您的关注！"
