,Question,Answer
0,请问2017年全年预计销售目标是多少？实现净利润的目标是多少？,您好！我公司的销售情况及净利润情况，请您在巨潮资讯网上关注我公司的后续相关财务报告。谢谢！
1,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,公司下属海南中航特玻材料有限公司的“特种玻璃国家重点实验室”是海南省第一个企业国家重点实验室，该实验室面向国际高端玻璃、特种玻璃新技术前沿，在特种玻璃研发、玻璃表面功能化改性研发等领域开展关键技术和共性技术的研究。公司其他业务板块均依托自身优势建立研发机构。报告期内，公司研发投入金额为6672.31万元，研发支出比上年增长86.57%。主要是根据市场需求，开展玻璃深加工产品的研发和镀膜玻璃技术的研发，用于建筑幕墙和门窗产业；研发出一系列光伏深加工玻璃新产品，极大地推动了光伏组件行业的发展；研发电子镀膜玻璃；加强特种玻璃生产技术与工艺的研究与开发等。
2,公司有可能参与中航工业其它上市公司的增发吗？,您好，公司目前无此计划。
3,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,按照公司十三五发展规划发展思路和目标，以及国内外经济形势和行业变化情况及趋势，公司调整了产业规划，明确将幕墙工程与通航机场建设、光伏玻璃与光伏工程、特种玻璃深加工及技术三大产业作为公司未来发展的重点。
4,截至目前，公司的同比销售额有增长吗？,您好，公司销售收入情况及增长比例将在2017年一季度报中对外披露，一季报披露时间为4月21日，敬请关注。
5,能简单的介绍下新项目的情况吗？,您好，上市公司新项目的信息需要按照深交所法规要求进行披露。近一年已披露的新项目如：漳河通用机场建设项目情况、北京内装增资项目等已在巨潮资讯网上披露，漳河通用机场建设项目已完工，其他项目尚在正常推进中。
6,公司募投项目，预期如何？,公司此前募投项目均已完成建设。募集资金均按募投计划全部使用于募投项目，项目运作正常。没有变更募集资金用途的情况。
7,公司去年主打产品的销量是多少？,2016年公司幕墙工程实现收入约28亿元，占收入比重62.51%。
8,公司是否会计划多元化发展？,"按照公司十三五发展规划发展思路和目标，以及国内外经济形势和行业变化情况及趋势，公司调整了产业规划，明确将幕墙工程与通航机场建设、光伏玻璃与光伏工程、特种玻璃深加工及技术三大产业作为公司未来发展的重点。
幕墙工程与通航机场建设：幕墙工程，通用航空机场建设，内装工程。
光伏玻璃与光伏工程：高品质光伏玻璃、光伏工程。
特种玻璃深加工及技术：航空玻璃深加工、高品质AR玻璃、触摸屏玻璃，特种节能建筑玻璃深加工；成套玻璃生产装备与技术、玻璃生产线节能环保技术。
"
9,公司今年有新投资的项目吗？如果有，当年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,公司到目前为止没有重大投资计划，但有部分新购固定资产和部分固定资产更新改造的计划总计110项，以调高生产效率和质量。
10,请问公司的分配预案达到承诺的分红比例吗？,根据《公司法》、《公司分红管理制度》规定，公司累计亏损未经全额弥补之前，不得向股东派发股利。公司2016年度不进行现金分红或其他形式利润分配。
11,公司未来五年的目标是多少？能够实现吗？,"按照公司十三五发展规划发展思路和目标，以及国内外经济形势和行业变化情况及趋势，公司调整了产业规划，明确将幕墙工程与通航机场建设、光伏玻璃与光伏工程、特种玻璃深加工及技术三大产业作为公司未来发展的重点。幕墙工程与通航机场建设：幕墙工程，通用航空机场建设，内装工程。光伏玻璃与光伏工程：高品质光伏玻璃、光伏工程。特种玻璃深加工及技术：航空玻璃深加工、高品质AR玻璃、触摸屏玻璃，特种节能建筑玻璃深加工；成套玻璃生产装备与技术、玻璃生产线节能环保技术。
随着五年规划的完成落实，公司资产、主营业务经营成果将有较大飞跃，具体业绩指标完成情况公司会以定期报告形式对外披露。"
12,请问今年预计主要产品的销售目标是多少？净利润是多少？,您好，公司目前无法提供2017年全年度的盈利预测，全年度盈利预测将在公司发布第三季度报告时提供。
13,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"公司2016年底存货金额为87,850.79万元，存货构成为原材料、在产品、库存商品、周转材料、建造合同形成的已完工未结算资产、发出商品等内容。2016年存货较去年同期略有降低。"
14,公司截至目前为止都有哪些子公司和参股公司？,公司主要子公司有中航三鑫太阳能光电玻璃有限公司、深圳市三鑫幕墙工程有限公司、海南中航特玻材料有限公司，详见公司2016年度审计报告合并报表注释中“在其他主体中的权益 - 在子公司中的权益 - 企业集团的构成”相关内容。
15,在做项目之前是否对项目进行严谨的可行性研究？,您好，公司已建立了比较完善的项目投资管理制度，如：《固定资产投资管理办法》、《股权投资管理办法》......等，并且长期以来严格执行了上述制度，已决策的重大项目均符合上市公司及国资相关管理规定，不存在不进行严谨可行性研究的情况。
16,为什么这次年报中漏洞百出，是不是管理上存在严重问题？有没有引起管理层的重视？,首先，因本次年报进行了更正公告对广大投资者造成影响深表歉意。其次，公司对此已引起重视，要求严格内部审核流程，各环节工作人员需充分履行各自职责，提高责任心。
17,请问公司今年营收的增长能超过行业的平均水平吗？,公司所处玻璃行业不确定因素较大，2017年公司依然面临较大市场竞争压力，目前无法提供2017年全年度的预测。
18,公司截止至今的产品有多少个种类？,包括幕墙工程、幕墙玻璃制品、家电玻璃制品、幕墙门窗制品、特玻材料等五类。
19,公司的前5大客户是哪些？,2016年，公司前五大客户情况请见2016年年度报告中“经营情况讨论与分析 - 收入与成本”中相关内容。
20,公司目前面临的最大问题是什么？,您好。外部经济环境不容乐观，玻璃行业整体仍处于低迷状态，产能过剩比较严重、近年来一直处于产业调整进程中，另外环保要求也日益提高，都给企业经营发展提出了更高的要求和挑战。公司经过近几年努力，调整了产业规划，明确将幕墙工程与通航机场建设、光伏玻璃与光伏工程、特种玻璃深加工及技术三大产业。
21,公司的前5名供应商是什么，与公司存不存在关联关系？,2016年度，公司前五名供应商与公司不存在关联关系，主要供应商情况请见2016年年度报告中“经营情况讨论与分析 - 收入与成本”中相关内容。
22,公司有没有股权激励计划？,您好！公司目前暂无股权激励计划。
23,请问开完股东会后，如果送股通过几日内会送股？,您好，经公司第五届董事会第二十五次会议审议，公司2016年度拟不进行现金分红或其他形式利润分配。该预案需提交2016年度股东大会审议。
24,请问净利润的增长率和销售收入增长同步吗？,您好。公司通过强化技术创新，促进生产效率提升；关注市场，聚焦成本管理；立足幕墙工程传统优势，探索新产业的延伸与发展；夯实管理基础，降低经营风险；狠抓现金流，保障各项经营工作的展开等方面的努力，实现了整体经营质量的改善。2016年利润增长略高于收入增长。
25,公司今年的财务费用会有多少？,近几年，公司一直严控资金流，尽可能控制有息负债规模，这个基调在2017年度不会有大的变化。但今年开年以来，银跟偏紧，对公司融资成本会造成一定影响。公司将努力控制2017年度财务费用不发生较大增长。
26,请问朱董事长，别的公司路演，股价很多都涨，或许是给股民树立信心了。今天三鑫股价又大跌，你怎么看三鑫的未来？三鑫和通飞或者成飞有戏吗？,"您好，股价受公司经营、行业发展期、经济景气度等多方面影响，公司无法左右股价。公司坚持不断加强管理、提高研发能力，加强公司经营，促使公司实现可持续发展。
公司目前不存在应披露而未披露的资产重组等事项。公司将按证监会、交易所相关规定对应披露的重大事项在《证券时报》及巨潮资讯网上进行信息披露，请投资者以公司官方所披露的信息为准。"
27,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"您好，按照公司十三五发展规划发展思路和目标，以及国内外经济形势和行业变化情况及趋势，公司调整了产业规划，明确将幕墙工程与通航机场建设、光伏玻璃与光伏工程、特种玻璃深加工及技术三大产业作为公司未来发展的重点。
详见2016年年度报告第四节中“公司未来发展的展望”相关内容。"
28,2017年公司是否考虑对高管实行股权激励，如果有的话大概什么时候实行？,您好。公司目前没有推出股权激励计划。
29,请问老总公司今年净利润同比增长多少？,您好，公司2016年度归属于上市公司股东的净利润约946万元，同比增长104.11%。
30,公司在税收方面有没有相关的优惠政策？具体税率是多少？,公司总部及部分子公司为国家高新技术企业或深圳高新技术企业，享受相应的税收政策。
31,公司截止目前的股东总人数是多少？,截至2017年4月15日，公司股东总人数为74656人。
32,请问朱董，目前公司主营业务运营情况如何？,"公司目前重点发展幕墙工程与通航机场建设、光伏玻璃与光伏工程、特种玻璃深加工及技术三大产业。
1、幕墙工程与通航机场建设
幕墙工程与通航机场建设主要包括幕墙工程、通用航空机场建设和内装工程等业务，业务范围覆盖全国乃至港澳、东南亚、欧美、中东、西亚等国家及地区，是国内知名的幕墙骨干企业，在国内行业综合实力排名前列。公司控股子公司三鑫幕墙工程公司作为深圳市高新技术企业，多年来专注于高端幕墙工程的设计、生产、施工、维护服务等，具有建筑幕墙工程设计专项甲级、施工壹级资质，同时拥有上下游产业链配套较强的实力。幕墙工程业务以深圳总部、北京、上海、珠海为核心，重点在政府公建、高层建筑、购物中心等领域进一步深耕，并积极开拓通航机场建设业务，依托幕墙优势发展内装业务。2016年度，幕墙工程中标的单笔订单过亿元的工程项目达11个，高效完成了荆门通航机场建设。
2、光伏玻璃与光伏工程
光伏玻璃与光伏工程主要包括高品质光伏玻璃制造和光伏工程业务。2016年度，安徽蚌埠生产基地的一期一窑二线250T/D超白太阳能玻璃生产线技改并点火复产，国内首条G6智能化深加工光伏玻璃生产线投产。光伏玻璃产品由普通AR光伏玻璃向双绒面、双玻组件等高品质、高透玻璃延伸。安徽蚌埠生产基地还加强了融合境内外优势，聚焦优质客户。同时，依托幕墙工程市场优势和管理理念，公司大力发展光伏工程，通过市场开拓、股权注资等多种模式发展光伏工程EPC业务，同时带动光伏玻璃的销售。
3、特种玻璃深加工及技术
特种玻璃深加工及技术主要包括特玻原片制造及特玻深加工产品、特玻技术的产业化等业务。2016年度，公司一方面加强特玻及其深加工产业的内部管理提升、提高产品质量，不断开展新的深加工产品，现可生产航空玻璃深加工、高品质AR玻璃、ITO导电玻璃、防雾玻璃、AS防污玻璃、半透镜面玻璃、角度防窥玻璃等产品；另一方面，利用国家特种玻璃重点实验室平台，融合国外引进的特玻技术，实施成套玻璃生产线装备与技术的总承包，推广节能环保技术，并在安徽蚌埠基地实施了余热发电、脱硫脱硝等环保项目。
"
33,公司预计2017年业绩较去年同期是上升还是下降？若上升，则增幅是多少？,公司目前无法提供2017年全年度的盈利预测，全年度盈利预测将在公司发布第三季度报告时提供。
34,请问公司有无通过发行债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好，公司目前无此计划。
