,Question,Answer
0,公司的智能制造好像是西门子合作，您认为目前这种制造制造属于什么水平？能国际领先吗？,公司正在实施“精密电子元器件智能制造新模式应用项目”，公司按照国内领先，国际先进的理念打造这一项目。谢谢！
1,请问公司一季度业绩如何？为何不发预增公告。谢谢,公司一季度业绩预计在4月26日披露，敬请关注！
2,公司生产经营中遇到的最大困难是什么，公司将如何解决？,公司目前面临的困难是未来保持持续快速发展所需的创新能力和关键资源，公司将坚持“创新驱动、人才强企、军民融合、智能制造、资本运作、质量致胜”，不断加大资源投入，完善内部机制，努力提升企业综合竞争力。谢谢！
3,公司有涉足新能源汽车领域吗？目前发展状况如何？,公司在积极拓展新能源汽车配套领域，目前已为部分新能源汽车厂商提供小批量连接器及电缆、电机产品。谢谢！
4,公司有哪些同业竞争对手？相比有何优势？,公司与中航光电、航天电子等企业有部分业务竞争关系；相比公司在部分产品领域具有技术、品质和成本优势。谢谢！
5,公司的市场营销策略是？都取得了哪些成果？,公司按照“横向拓展、纵向深入”的市场营销原则，不断拓展市场客户面和单个客户的配套品种及配套量，努力实现销售收入逐年增长；公司目前在国际市场、新能源汽车、医疗设备等领域有所突破。谢谢您的关注！
6,请问：贵公司2016年下半年开始的重组工作让投资者损失了一年的时间，今年贵公司是否有重组计划?谢谢!,2018年公司将以“高新技术、补短板、产业链协同”为导向，积极开展资本运作，助力公司持续快速发展。谢谢！
7,"在技术创新持续推进2017年,公司重点新产品科研项目有哪些？",2017年公司重点推进光电、高速及互联一体化等新产品研发项目。谢谢！
8,"航天电器2017年净利润3.11亿元,同比增长19.28%，今年如何继续保持？",今年公司继续加大产品研发和市场开发力度，同时加强内部资源保障，力争年度实现收入和利润同比增长。谢谢您的关注！
9,军民品市场多点开花，未来三年有望快速增长，公司如何布局？,公司在巩固原有业务、市场的基础上，积极开发拓展5G通讯、新能源汽车、大飞机、轨道交通等领域的业务。谢谢！
10,国家制造业与互联网融合发展，公司在“大数据工业”领域有何建树？,公司2016年承担了工信部“精密电子元器件智能制造新模式应用项目”，公司正在建设基于模型、数据和流程驱动的科研生产管理平台。谢谢您的关注！
11,公司有没有切入5G业务？进展情况如何？,5G业务是通讯发展必然趋势，公司正在积极研制相关配套产品。谢谢！
12,公司目前股东人数是多少？,3月末公司股东总数为27700人，谢谢！
13,国家重大工程“天舟一号”公司有多大涉足？完成了多少？,公司与“天舟一号”配套的产品包括继电器、连接器、电机等系列产品，公司圆满完成了“天舟一号”配套任务。谢谢！
14,公司是大飞机的金牌供应商。大飞机目前对公司的利润贡献不大。预计何时能产生利润？,公司有部分微特电机、连接器产品用于大飞机配套，有小批量供货。谢谢!
15,“人工智能”是当前产业发展的热词，以智能发展破题，以智造产业为方向，公司在此方面有何产品应用？,公司始终关注智能化技术和产业发展方向，目前公司连接器、电机、自动化设备等可广泛应用于“人工智能”领域。谢谢！
16,公司光通讯器件的增速较高。这个市场有多大？18年预计还能维持目前的增速吗？,2017年公司光通信器件的增速较高的原因是：2016年6月将江苏奥雷光电有限公司纳入合并报表范围，光通信器件广泛应用于通信、电力、工业控制、安防监控等领域，市场空间较大。谢谢！
17,公司连接器收入下滑的原因是什么？为何在民用领域不仅无法追赶中航光电、得润电子，反而退步？,2017年公司连接器产品收入同比增长12.1%，谢谢！
18,公司目前研发实力如何？,公司始终重视技术创新和研发投入，公司研发能力在逐年提升。谢谢您的提问！
19,根据航天十院发布的信息，公司三月份订单创历史新高。是否属实？,公司一季度订单总体好于上年同期水平。谢谢！
20,公司近几年业绩可以说是稳步增长。但与股民的期望还是有很大差距。请问：公司业绩如果要取得较大增长，除了通过并购做大以外，自己的内生性增长有无可能？,公司制定“创新驱动、人才强企、军民融合、智能制造、质量致量”五大发展战略，积极推进转型升级、军民融合协同发展，进一步加快公司发展速度。谢谢！
21,公司的智能制造设备有无在行业内推广的可能？如有？预计何时能产生订单？公司会转变为设备制造企业吗？,公司的智能制造设备目前主要满足内部需求，在有富余能力的前提下也可以对外提供服务；预计今年有少量的外部订单；公司视业务发展情况，在合适时机将智能制造业务培育成公司新的主业之一。谢谢！
22,公司目前有无股权激励计划？,目前，公司正在积极研究股权激励政策、案例。谢谢！
23,公司是否为可穿戴设备提供元器件？,公司目前产品尚未与可穿戴设备配套。谢谢！
24,张董秘应该是公司的老人了。还记得曹军董事长当年的豪言壮语吗？公司还有可能做到30亿利润？有可能成为中国的GE吗？你当年买的股票卖掉了吧？,目前，我所持有的航天电器股份没有出售打算。谢谢！
25,中兴通讯是公司客户。中兴事件对公司影响有多大？,中兴通讯是公司的客户，中兴业务发展对公司经营有一定的影响。谢谢！
26,公司拟购买的标的别别人买走了？对公司影响有多大？是否变成了公司的竞争对手？,公司2017年因各种原因终止并购重组，公司对外并购原则是“高科技、补短板、产业协同”，拟并购标的一般与公司现有业务不存在竞争关系。谢谢！
27,上海汽车新能源电机项目进展如何？,上海汽车新能源空调压缩机电机项目正在积极跟进中，目前有小批量供货。谢谢！
28,公司在新能源汽车产业电机和锂电池方面布局情况怎样？,新能源汽车领域用电机是公司当前和未来重点发展的产业，目前正在进行新产品研发和市场开发。谢谢！
29,抽油机还在干吗？项目从立项到专利作价有无腐败在内？为何项目失败？,公司抽油机业务在控股子公司苏州航天林泉电机有限公司，目前仍在生产和销售。谢谢！
30,公司目前军民融合业务发展如何？尤其民用方面占比多少？,公司除继续做好军工业务配套外，利用其技术优势，积极拓展民品业务，实现军民融合发展。目前公司在民用通讯、交通、医疗、石油装配等领域已有业务，2017年民品销售占总收入比例在30%左右。谢谢您的提问！
31,公司有无海外业务？贸易战对公司有无影响？,目前，公司有直接出口产品业务，但出口业务收入占总收入的比例低于5%，贸易战对公司影响较小。谢谢您的关注！
32,公司有无涉足区块链？,"公司主业为电子元器件，目前未涉足区块链业务。谢谢！
"
