,Question,Answer
0,人工智能公司有什么规划吗？与德国人工智能中心有合作的打算吗？,公司已经布局开展人工智能相关传感器的研发，目前与德国人工智能中心正进行技术交流和合作探讨。
1,你好，请问公司是否有应用到个人消费方面的惯导产品推出。例如，汽车带全景导航功能的行车记录仪，带雷达红外功能的家庭财产安全监控设备。如果没有，建议推出，市场需要潜力很大。,您好，公司的智能驾考系统每天服务11万驾驶员考生的科目二考试；您提到的“带雷达红外功能的家庭财产安全监控设备”，公司已有“复合式安防雷达”与之对应；后续公司会加强针对消费市场的产品研发及推广，谢谢！
2,公司最好并购一个人工智能的软件公司,您好，无人智能是公司的重要发展方向，人工智能软件是无人智能的重要组成部分，公司会从内生和外延两方面构建无人智能的产业链，感谢您的建议，我们会认真考虑，谢谢！
3,徐总好，公司现在涉及的范围很广，惯性导航、卫星通信、无人机、雷达、光电稳控、红外探测等，请问2017年的收入具体在这些方面是如何分配的。,您好！公司涉及的业务范围较广，但是所有业务都是惯性技术为中心进行孵化，拥有相同的核心关键技术。当前，惯性导航、卫星通信、智能驾考是公司较为成熟的核心业务方向，2017年将继续支撑公司的主要收入来源，新布局的无人机、雷达、光电稳控、红外探测等方向作为公司新布局的方向，产品研发和业务发展都比较顺利，2017年将在2016年的基础上实现50%以上的增长速率，这些方向将在未来几年，作为公司业绩快速增长的重要支撑力量。
4,张叔叔好，公司是什么时候上市的？目前的主营业务是什么？, 您好，公司于2016年12月13日在深交所挂牌上市。 公司始终专注于惯性技术开发及产业化应用，主要开展惯性组合导航、惯性测量、惯性稳控产品的研发、生产及销售，并为航空、航天、航海、电子、石油、测绘、交通及通信等多个领域用户提供全自主、高动态的位置、速度、姿态等信息的感知、测量及稳定控制服务。 经过多年的发展，公司形成了以惯性技术为核心，行业应用为驱动的 “1+N”发展模式，形成了研发、应用协同发展的良好局面。公司的产品涵盖了从器件、部件到系统；行业应用形成了导航、测量、稳控的全产业链。2016年，公司原有的导航、测量、稳控业务稳步提升，光电稳控、红外探测、无人机、安防雷达等新增业务进展顺利。
5,贺叔叔好，公司的主要优势请您详细介绍一下。,您好，公司的主要优势体现在以下几个方面，首先是战略优势，公司结合新兴行业的特点及公司的发展阶段，制定了清晰的发展战略，即以惯性技术为中心，以行业应用为驱动的“1+N”发展战略；二是公司具有极强的战略落地能力，在战略制定之后，公司以极快的速度的在导航、测量、控制三项主体业务稳健提升的同时，布局了无人机、光电稳控、雷达探测、红外感知等新的行业应用，目前新老业务融合发展，公司业务有望迎来高速发展阶段；三是公司具有行业领先的技术人才储备，截止2016年年底，公司共有技术人才173人，其中2016年引进高级人才49名，为公司在技术方面保持持续领先奠定了基础；四是公司在产业化方面具备领先地位，公司在技术、人才、市场、服务等方面具有较强的实力，产品的性价比、良好的口碑都成为公司在竞争中不断胜出的重要因素。谢谢！
6,请问张总，什么时候公布今年季报呀？,您好，公司计划于4月18日前后公布今年的一季报，谢谢！
7,徐总好，请问公司上市后除了前段时间的股权激励外，针对员工福利待遇方面还有什么别的措施吗,您好！公司将坚持以“奋斗者为本”的理念，通过股权激励让核心员工与公司同成长，共发展，让那些为公司发展做出重要贡献的员工分享到公司成长的收益。关于员工福利，公司将根据公司的经营情况，并充分调研广大员工的需求，制定一套完整的、更加人性化的福利体系，让员工们在星网宇达工作感受到公司的温暖和关怀，并能更加全身心地投入到公司的发展中来。
8,叔叔好，公司目前有哪些产品？另外，宣传片提到了惯性导航，什么是惯性导航？惯性指的是车辆在停止前继续行驶，之后司机踩刹车后开始停车,咱们普通汽车及手机导航使用的是GPS卫星导航，一旦进入隧道、桥底下、楼内就没有信号了，无法进行位置引导。惯性导航就是可以解决在这些遮挡环境下的位置导引问题。另外，GPS卫星导航容易被电磁干扰，在军事作战中无法应用，惯性导航是军事武器装备不可替代的重要导航设备。
9,最新数据，卫导惯导12家公司平均市盈率为137.65倍，公司估值大大低估。,您好，感谢您对公司的关注，二级市场的股价受多种因素影响，短期内会有一定的偏离，但我们相信从长期来看，公司的估值会随着业务持续健康发展而趋于合理，谢谢！
10,公司有无与东风快递相关的业务？无人潜艇有可能吗？公司未来加强与海军的联系应该有所得。,公司目前与许多军兵种都有直接和间接的合作，惯导、卫通类产品为各军兵种的信息化建设做出了一定的贡献；此外，公司与海军有较好的合作基础，同时公司将大力发展无人智能产业，无人潜艇也是公司未来布局发展的一个方向。
11,您好，去年公司的业绩情况怎么样？虽然是去年年底上市的次新股，但是新股成绩单也是投资者关注的问题,"您好！2016年度，公司实现营业收入27,740.76万元，较上年同期上升16.99%，主要是本期导航类产品收入增长所致。归属于上市公司股东的净利润7,332.61万元，较上年同期上升9.90%，扣非后净利润为6974万元，较上年增涨19.52%，谢谢！"
12,徐总理：你好，首先感谢你给我的回答。我参加过很大公司的交流，很大都是应付和走过场，因为我们小股东的地位不高。通过对公司上市以来的交流和了解，我感觉到了一股资本市场上的清风，公司给我的感觉是务实，有发展，尊重小股东， 这才是我们需要的好公司，资本市场真正有希望的所在，希望公司踏实做事，透明做人，回馈股东。当然，希望公司在今天的交流会上反馈一些硬东西给我们，例如外延收购方面的。谢谢。,非常感谢您的鼓励和认可，我们将继续保持脚踏实地的工作作风，更加努力推动公司发展。
13,无人机定型后的收入规模有一个预期么？,无人机是公司十分重要的战略性业务方向，一旦定型并被采购将给公司业绩带来持续快速的增长，预计在未来3-5年可以为公司带来5亿以上的年产值。
14,公司日常与投资者互动做的很好，借此机会表示感谢！,您好，感谢您对我们工作的认可，我们会再接再厉持续做好投资者权益保护和投资者互动交流工作，谢谢！
15,公司有无参与军队的科研项目？,公司今年获批主持承担了几项军委装备发展部的“十三五”预研项目，同时也承担了几项各军兵种的重要的军队科研项目，这些科研项目是未来新装备定型的重要前提。
16,徐总您好，请问公司对无人机产业的战略规划，以及目前的定型进展？,公司在无人机业务主要面向专业领域及专业应用，公司拥有包括飞机气动设计、结构设计、飞控设计在内的一批优秀人才，主要是面向军方及专业应用领域的重大需求牵引开展大载荷、长航时、高速无人机系统的开发，目前有2款重要的型号正在进行封闭式开发和测试，预计今年内可以完成定型。
17,股权激励费用进成本，是否可以少交所得税？而且实际是账面调整，对公司盈利无实质影响？,您好，股权激励费用是可以进费用的，可以抵减企业所得税费用，形成税盾作用，并对公司的盈利能力无实质影响，谢谢！
