,Question,Answer
0,在海南、雄安这些地区是否有业务布局?,公司目前在海南有车厂客户，但没有在海南、雄安设置公司的下属机构。
1,有舆论说，说华阳是第二个华为，公司怎么看待？,华为是一个非常优秀的企业，我们一直在向华为学习。
2,目前公司在手的订单有多少？,参见前面类似问题的回复。
3,公司今年有新的利润增长点吗？,公司今年的主要业务在年报中已披露，利润增长点主要来自升级产品、扩展的新产品。
4,公司研发的精密电子部件，是否都是独立知识产权？,公司精密电子部件业务一部分是自主知识产权，一部分是客户授权。
5,智慧工厂如何理解，如何建设智慧工厂？,公司一直大力推进智慧工厂建设，探索智能化改造，推进技术升级与精益管理。下属全资子公司惠州华阳通用电子有限公司通过“两化融合管理体系贯标试点”，成为全国首批200家“两化”融合管理贯标企业，并顺利获得国家工信部“两化融合管理体系评定证书”，为“智慧工厂”建设奠定了基础。
6,现在BAT很有可能ATM了，与小米有合作么？,目前与小米还没有合作项目。
7,公司产品在汽车后市场方面的占有率如何？,公司近几年业务重点转向国内外前装市场。
8,公司做LED芯片是否是独立自主的研发技术，还是需要从国外进口技术？,公司从事LED芯片封装业务，封装技术是自主的。
9,请问公司今年发展重点是在哪些方面？,今年公司重点发展的业务在年报中已经披露，请查阅。
10,对目前二级市场股价如何看待?能否反映贵公司的现有价值?,二级市场股价受多重因素综合影响，公司将努力提升经营业绩来回报投资者。
11,公司出口美国业务占比不高，那么主要出口国是哪个？,主要出口的地区为东南亚、南美、欧洲。
12,公司今年以来承接订单情况如何？,汽车电子业务新项目很多，研发人员已经超负荷；精密压铸业务延续增长的势头；其他业务与去年基本持平。
13,公司是否获得国际上的一些奖项和认证？,过去的一年里，公司获得了一些国际大客户的奖项，也有国际认证项目，包括ESD（防静电），CARPLAY，ANDROIDAUTO等
14,新能源汽车不断发展，公司是否会考虑布局相关独角兽企业以切入这一市场？,公司在密切关注和跟进新能源汽车的发展，也已经有落地的项目与所谓的独角兽企业合作。
15,海外市场拓展情况如何？,客户升级和优化是当前的中心任务之一，海外市场开拓已经取得进展，包括工厂审核和投标的机会越来越多。
16,大宗商品价格上涨对公司经营有何影响？,您好！大宗商品价格上涨会造成公司部分原材料成本变化，对当期盈利构成一定的影响。公司正努力提升经营效率，消化该部分影响。
17,与阿里合作AliOS项目预计会为公司释放多大的市场空间？,与BAT均有项目合作，市场空间有多大目前难以定量预测
18,公司未来是会深耕国内市场，还是逐步走向全球市场？,深耕国内市场，正在大力开拓全球市场
