,Question,Answer
0,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好，公司重视历来重视自主创新，秉承柔性软件研发理念，依托自主研发的核心技术平台，为政府部门和企业集团信息化建设提供产品、解决方案及咨询服务。公司坚持对技术创新和产品研发的投入，近三年研发支出总额逾5亿元，千余人的技术团队为公司业务创新和市场拓展提供了强有力的支撑，构筑了公司发展的坚实基础。
1,公司去年软件销售中，来自老客户和新客户的比例分别是多少？未来新老客户哪个是重点？,您好，公司2016年以深度聚焦行业为市场策略，以拓展老客户新需求和深挖新客户为抓手，促进了电子政务和集团管控业务的快速增长。政府领域，公司将继续围绕财税、司法、交通、民生、教育等领域深入布局；集团管控方面，公司将继续深挖建筑、能源、通信、金融、军工等领域需求。
2,做为高管你对公司的股价有何看法？股价的上扬能体现上市公司的潜质和气魄！希望管理层关心一下自己公司的股价！以提振二级市场的股东对公司的信心！！！谢谢,我们将努力经营好公司，提升业绩，做好投资者关系管理工作。我们欢迎价值投资者关注久其。
3,"公司采取了具体怎样的应对措施,在同业中不断做大做强?",您好，公司通过内生增长与外延发展并举的方式在同业中做强做大。
4,公司现阶段发展过程中有何不足？面临的最大挑战是什么？如果新客户在磨合期放弃与公司合作，公司有无应对措施？,您好，人才是高科技企业发展的基石。在企业发展过程中，能否不断吸引和留住高端人才对企业非常关键。公司目前建有较为完善的绩效激励体系和企业文化体系，倡导尊重人才、重用人才的人才观，高度重视人才的培养和梯队人才体系建设，为公司未来发展提供保障。公司目前主要客户大多为长期战略合作伙伴，与公司具有非常高的粘性。
5,公司各条业务线之间的交叉销售目前多吗？过去几个大的并购的协同效应有十分明显的体现出来吗？,您好，公司重视投后整合工作，这其中包括业务整合。通过与被投资企业的资源共享与优势互补，提升协同效应。
6,远光软件就做电力一个行业，营收就有7个亿，久其那么多行业，软件营收才6个亿，为何差别这么大？,我们将聚焦行业，深入拓展，结合久其的技术、方案、业务等方面的优势，我有信心在行业领域会有更好的发展。
7,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,您好，基于我国”十三五“发展规划，为软件行业带来了良好的发展前景。2016年，公司以深度聚焦行业为市场策略，依托云计算、大数据和移动互联网的新技术和业务形式，推动产品与解决方案适应新环境下的业务变革需求，加大对重点行业老客户的拓展力度，并深入挖掘新行业的客户需求，在深化行业布局方面取得显著成效，电子政务、集团管控、数字传播等业务均实现了快速增长。
8,互联网金融的监管和竞争都使得业务不再好做，公司未来还要继续烧钱吗？,您好，公司的久金所设立之初的目的是围绕久其生态体系提供金融信息服务，有别于互联网烧钱模式。
9,前几年大数据概念火热，但一直缺乏实质性落地成果，现在大家已经关注人工智能了，公司对大数据有什么不同的认识？能对利润带来多少贡献？,感谢你的提问。公司深度聚焦民生与财税领域的大数据布局，旨在打造B2B2C的大数据综合信息服务提供商。目前政府大数据已经在财税、民生、教育、交通等领域落地多个项目，数字传播业务方面也得到了进一步的应用，同时大数据技术平台能力及方案能力也得到提升，为后续的业务推广奠定了良好的基础。
10,小军叔叔好，软件类企业的特点是什么？,软件企业多为轻资产企业，具有行业趋势变化快、技术产品更新快、研发投入占比高、人力资源成本大等特点。
11,小超叔叔好，公司是什么时候上市的？,你好，公司于2009年8月11日上市。
12,叔叔好，公司的主营业务是什么？,您好，公司主营业务围绕电子政务、集团管控、大数据和移动互联领域展开。
