,Question,Answer
0,在3D玻璃加工方面，公司有哪些技术专利？,公司在3D玻璃加工方面拥有行业内最多的专利数量。
1,公司的长期投资价值何在？,公司立志成为“中国先进制造”具有代表性的企业。
2,苹果今年有两款产品，公司订单都有拿到，还是只拿到一个？如果拿到一个，这一个是小尺寸产品还是大尺寸产品？,您好！公司与重要客户保持良好的合作关系，公司会根据客户的订单需求安排生产和出货，谢谢！
3,公司近期能拿到A客户触控模组贴合业务订单吗？若无，未来什么时候切入A客户,公司是A公司重要客户，一直保持良好的合作关系。
4,今年公司能拿到A客户订单有多少？,您好，公司会争取尽量多的订单，谢谢！
5,今年国内品牌订单数量较16年能够大概成长多少？,这个还取决与国内品牌客户中、高端产品市场增长的幅度，公司产品对不同品牌客户的销量与他们实际的市场销量占比基本吻合。
6,请问公司2016年就是去年2.5D玻璃的出货量是多少？,您好。随着无线充电、5G通讯等新技术的推广应用，手机后盖由金属材料改变为非金属材料的趋势已经很明确，未来两三年玻璃的市场渗透率会越来越高，前后盖双面玻璃的设计将为公司带来新的成长空间。产能方面，公司的浏阳南园新生产基地已经提前做好了准备，今年上半年即将实现正式投产，东莞松山湖新基地未来也将主要面向国产品牌新增加一些产能。预计到2017年底，公司2.5D玻璃的年产能将达到5.5亿~6亿片。谢谢您的关注！
7,公司会切入触控模组贴合业务吗,公司早在2013年就有触控模组贴合业务。
8,请问公司会进入新的细分领域吗？这一领域与公司现有业务的相关性？,公司目前所进入的行业主要还是与本行业密切相关的。有上下游整合，也有平行的相关行业。
9,请问，能否年年大比例现金分红,公司实行持续、稳定的利润分配政策，公司的利润分配重视投资者的合理投资回报并兼顾公司当年的实际经营情况和可持续发展。 
10,近日，国际全触与显示展中某厂商展示出oDLC玻璃镀膜技术，即在普通玻璃表面镀制特殊薄膜，宣传可使普通玻璃达到类似蓝宝石玻璃的硬度，防刮和显示效果，并出具了性能对比图。鉴于该技术成本相对于蓝宝石玻璃大幅降低，请问周群飞女士怎么看待这个技术，是否会对蓝思科技造成一定的威胁冲击？谢谢！,蓝宝石这种材料在很多方面的特性并不是其他材料全能替代的，作为消费功能产品，材质的不同本身就可能成为一个新的卖点。
11,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,您好。公司将以现有产品为基础并围绕募集资金投资项目，不断提高现有产品品质和性能，扩大现有防护屏产品及新材料产品产能，不断加大对新产品的研究和开发力度，不断扩大公司产品的应用领域并适当向上下游发展，推进主营产品的系列化和多元化。包括：蓝宝石、陶瓷材料在消费电子产品上的开发应用、穿戴式设备及车载防护屏产品、2.5D及3D产品、精密金属结构件等。谢谢您的关注！
12,公司未来会涉足oled产业和郭台铭三星等老牌竞争者竞争吗？,OLED是个很大的产业，需要行业内的企业共同努力才能有更大的发展和进步
13,"国家要求实行经济节约型政策,公司具体是怎么做的?",您好。公司将进一步挖掘内部管理潜力，提高精细化管理水平，遏止制造费用快速上升的势头。①全面控制采购成本，抓大不放小。不仅要控制玻璃基板等主要原材料的采购成本，也要提高对磨粉、保护胶带等耗材、辅材采购的管控力度，一方面通过强化供应商管理和采购审计，提高采购的质量和透明度，一方面通过布局耗材、辅材的产能，降低对外采购的依赖程度，提高采购议价能力；②提高对基层生产管理人员的管理，完善基层管理人员提拔任用、激励考核和技能培训，直接或间接地改善一线生产、管理水平，提升生产一线的效率和产品良率；③加强业务、研发、生产、人事部门间的信息联动和协同效应，加强资源调用的计划性和效率，减少库存、资金占用、资源浪费。谢谢您的关注！
14,公司预测2017年2.5D玻璃产能5.5-6亿片，请问比2016增长了多少？,您好。随着无线充电、5G通讯等新技术的推广应用，手机后盖由金属材料改变为非金属材料的趋势已经很明确，未来两三年玻璃的市场渗透率会越来越高，前后盖双面玻璃的设计将为公司带来新的成长空间。产能方面，公司的浏阳南园新生产基地已经提前做好了准备，今年上半年即将实现正式投产，东莞松山湖新基地未来也将主要面向国产品牌新增加一些产能。预计到2017年底，公司2.5D玻璃的年产能将达到5.5亿~6亿片。谢谢您的关注！
15,请问，公司在3D玻璃后盖加工，国内外主要竞争对手有哪些？相比优势有哪些？,目前3D后盖加工具有实际量产能力的也就三家。三星、蓝思及另外一家。
16,请问周董，对公司的oled面板产业怎么看？,应该是下一阶段显示屏发展的重点方向。
17,请问公司领导对近期深股通持续大力度净买入蓝思科技怎么看？,说明海外投资机构对公司未来前景看好。
18,能简单的介绍下新项目的情况吗？,您好。顺应市场需求，公司将继续把研发重心放在蓝宝石、精密陶瓷、3D曲面玻璃等新材料、新工艺、新设备的研制开发和改进，挖掘在汽车、智能家居等应用领域的市场潜力，为公司创新工艺、创新产品、实现可持续发展注入动力。谢谢您的关注！
19,请问去年手机防护屏、平板视窗防护屏以及其他产品的平均单价各是多少？,您好！公司客户较多，产品型号不同，价格差异较大，谢谢！
20,公司2016年定向增发的股票将在2017年5月份解禁，请问他们会出售股票吗？他们是长期投资者还是财务投资者？,公司2016年定向增发的股票，投资者主要以财务投资为主。投资者目前对公司增长的信心较高，不一定会全额出售。
21,能预计2017年1-6月的销售收入和净利润吗？,公司制定的年度目标是：销售增长40%，利润增长50%。
22,公司研发投入为什么没有资本化？,您好！公司研发投入的资本化严格按国家相关法律法规在处理，谢谢！
23,周董：2017年全年的销售毛利率预测是多少？同 比增加多少？,公司产品销售平均毛利在不同的季节会有一定的波动，但总体会在25%-30%左右。
24,刘总好！这里是证券时报·e公司记者提问：2017年前五大客户占比预计是否会降低？年报显示去年总体投资29亿元下降25%，具体是什么原因？今年是否会继续下降？,您好！公司客户占比会随终端市场销售情况波动。去年投资在公司预算以内，由于公司看好消费类电子未来的成长，公司还将根据市场需求持续投入，谢谢您的提问
25,公司的发展战略是什么， 和公司现有的主营业态一致吗？  能否详细讲解一下？ 谢谢！,"您好！公司将秉持“技术创新引领行业潮流”的发展理念，坚持新材料、新工艺、生产自动化的发展战略不动摇，把握住行业新一轮快速增长带来的重大机遇，稳步推进重大投融资项目和研发项目的实施，继续努力提高内部管理效率、降低运营成本。为实现上述经营目标，公司2017年计划重点推进以下工作： 1、落实新增产能项目建设，努力达成全年生产目标；2、完善产业布局，有序推进新基地项目建设；3、优化研发资源配置，适度控制研发费用过快增长；4、强化管理，控制内外部风险；5、加强人才队伍建设，完善薪酬与激励机制。
谢谢您的关注！"
26,公司是否会计划多元化发展？,公司将坚持以市场为导向，满足客户多元化需求，稳步推进新产品、新技术、新工艺等研究开发，继续挖掘可穿戴设备、智能家居、自动驾驶汽车等新应用领域的市场潜力。谢谢您的关注！
27,016年第三季度跟第四季度收入相差不大，为什么一个是5.9亿，一个是2亿？,产品价格因素有一定影响。
28,如何进入说明会现场？,您好，本次说明会为网上业绩说明会，投资者可以通过网络平台参与交流，谢谢！
29,彭，刘两位副总，在业绩发布会前—天率先减持股票，虽数数量不多，但是否给会议蒙上阴影，给小股带来高管也不看好自已的公司前景的铻觉？影响了公司的声誉形象！,您好！我们在业绩发布会前一天没有减持本公司股票，谢谢！
30,请问贵公司的3D玻璃加工机械，主要是进口还是国产的？,都有
31,公司去年主打产品的销量是多少？,"公司去年产品销量为890,278,549PCS。"
32,2016年折旧年限的缩短是从2016年二季度开始的吗？,您好，折旧年限的调整从2016年1月1日起执行，谢谢！
33,彭总好！这里是证券时报·e公司记者提问：请问2016年年报显示新设立了蓝思智能机器人（长沙）有限公司、蓝思生物识别有限公司，请问现在公司工业自动化布局如何？生物识别跟现有业务有什么协同？公司业务规模扩张这么大，人工成本增长大么？谢谢！,公司现在自动化的导入方面已经取得一定成效，人工成本占比下降明显。
34,目前贵公司在A客户所占份额为多少？S8发布以后，3D玻璃的主要客户及月出货量？,您好。公司目前是全球中高端面板保护玻璃的主力制造商之一，占有较高的市场份额。公司也是国产品牌中高端机种3D玻璃的核心供应商，目前已形成2700万片/年的3D玻璃产能。三星、华为、小米、VIVO等安卓阵营品牌已推出了使用3D玻璃的手机，例如华为荣耀Magic、VIVO Xplay6等等，3D玻璃提升了产品的新颖性和显著的外观差异性，增加了产品的卖点和售价。公司在前期研发成果和小批量生产的基础上，不断优化各项制程和工艺、全新开发设计了一些关键生产设备，显著提高了公司在3D面板及后盖玻璃各制程的工艺水准和良率，并首创四面弯曲3D玻璃的加工方法，实现了对VIVO、华为新机型四面弯曲3D玻璃面板及后盖的独家供货。谢谢您的关注！
35,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,公司已启动向合格投资者公开发行公司债券的计划，并于12月12日收到了中国证监会出具的核准文件。下一步，公司将根据发展的资金需要及债券市场情况，择机启动公司债券的发行工作，为公司未来可持续发展及再上新台阶注入动力。公司在年报中披露了并购基金的情况，敬请查阅。
36,非常荣幸能参加说明会，请问周总，贵司订单一般的交货期是多长？今年的订单情况如何？贵司前十名销售客户占比较高，今年是否分散的趋势？,公司在年报信息披露中有详细披露，谢谢你关注。
37,公司的股本结构庞大集中，未来是否会引入长期投资者？,公司会根据发展需要，通过资本市场引入长期投资。 
38,您好，请问公司目前的主营业务是什么？,您好！蓝思科技专注于触控防护玻璃面板的研发、生产和销售，以及蓝宝石、陶瓷等新材料在消费电子产品上的推广与应用，自主掌握工装夹具、模具、专用设备、原辅料、工艺流程的开发设计与制造，产品广泛应用于中高端智能手机、平板电脑、笔记本电脑、智能穿戴式设备、数码相机、播放器、GPS导航仪、汽车仪表、智能家居等的视窗防护。谢谢您的关注！
