,Question,Answer
0,在共享制造平台上，公司有什么成果？,感谢您的关注，在共享制造平台上，公司已拥有从模具设计及制造、成型、加工、表面处理到电子装配等完整的生产环节。
1,公司的在建工程数量减少的原因是什么？,感谢您的关注，公司在建工程比上年减少23.81%，主要原因系大富机电在建工程完工验收转入固定资产所致。
2,公司基于机电共性制造平台都做了什么？,感谢您的关注，基于机电共性制造平台，公司有能力利用丰富的共性加工工艺，向E、R、A等各下游业务领域提供定制化精密零部件产品，已经从早期的通信行业拓展到围绕着万物互联，涵盖各类智能终端、物联网等领域在内的定制化零部件，并将持续培育一系列拥有各自特色工艺或产品的分子公司。
3,公司在爱立信的业务有什么进展吗？,感谢您的关注，经过数年的拓展，公司在核心客户爱立信获得了滤波器产品线的实质性突破，已同时成为爱立信的结构件和滤波器供应商，将有机会获得更多的市场份额。
4,在5G基础设施方面公司有什么布局？,"公司已完成金属小型化滤波器、介质波导滤波器、多通道滤波器、介质加载滤波器等项目的技术研发工作，并在客户端进行样品或小批量认证；系列陶瓷材料、高导热铝合金开发取得重大进展完成小批量验证，并通过客户认证，为产品的小型化和性能稳定性做好了充分的工艺准备。
"
5,在网络设计平台上中，公司有什么成果？,在网络设计平台上，公司已拥有神经元并行计算机语言(NPL)、3D设计及动画制作软件Paracraft创意空间、可多人在线异地实时同步设计的3D设计软件NPLCAD等。
6,我看年报中的应收利息有很大幅度上升，原因是什么？,应收利息比上年增加143.16%，主要原因系募集资金利息收入增加所致。
7,在通信设备制造领域，公司有优质的市场和客户资源吗？,"在通信设备制造领域，公司与国内外行业领先的主设备供应商进行长期、稳定的战略合作。凭借着精密共性制造平台，公司能为合作伙伴快速进行产品开发和新产品成果转化，逐渐实现量产。公司能为客户提供具有成本优势的、高质量和高可靠性的产品，持续向客户贡献价值。
"
8,公司的主要业务在去年有没发生重大变化？,在严峻的大环境下，公司坚持长期以来的发展战略，推动外延和内生增长。在内生方面进一步开源节流，抓住需求低谷的机遇练好内功，从开源角度，在整体需求低迷的情况下力求通过份额提升以及突破新客户、新产品线的方式确保一定的销售额。
9,去年公司亏损的主要原因是什么？,"主要原因一是由于公司前期投资所产生的，长期股权投资计提减值准备约人民币27,367万元，公司长期股权投资占净资产比例由上年度17.71%下降至13.25%，二是由于主营业务受市场波动等相关因素的影响。"
10,为什么公司的货币资金减少了那么多？,货币资金比上年减少44.02%，主要原因系定增募集资金购买保本型理财产品所致。
11,请问公司属于软件行业吗？有没有软件核心开发能力？能否有效益？,经过多年的发展，公司拥有自主研发的核心软件技术，已逐步彰显效益。
12,公司在环境保护方面有没履行社会责任？,"公司致力于预防污染、节能减排、环境监测与改善，致力于成为自然生态的伙伴，天人合一的践行者。公司遵守环境保护相关法律法规的规定，在生产经营管理中始终坚持“保护地球环境、建设绿色文化”的方针，在研发、生产、运营过程中，致力于流程改善、生产工具改善、物流改善以及自动化改善等，持续推行绿色生产，节能降耗，循环利用，做到全程环境友好，达到人与自然、社会与生态的和谐发展。
"
13,能否简单说下配天与公司的关系吗？以及配天芯片的进展？及有可能带给公司的效益？,感谢您的关注，公司关联方配天技术的芯片战略“配天智芯”已布局多年，瞄准人工智能和工业运动控制领域，推动复杂运动控制芯片的发展，该项目的成功实施，将填补中国人工智能及工业自动化领域的芯片技术空白，突破国外芯片技术的封锁。目前，该项目的前端设计验证已完成，为响应国家的号召，加速芯片业务的产业化，公司将参与并联合相关方，共同推进后续项目的设计、制造，封装及应用的产业化。
14,在新材料研究方面，公司有突破吗？,新材料研究方面，系列陶瓷材料、高导热铝合金开发取得重大进展完成小批量验证，并通过客户认证，为产品的小型化和性能稳定性做好了充分的工艺准备。
15,公司在滤波器方面有什么突破没有？,公司结合新一代移动通信产业发展趋势，已完成金属小型化滤波器、介质波导滤波器、多通道滤波器、介质加载滤波器等项目的技术研发工作。
16,公司的纵向一体化的精密共性制造平台的优势体现在哪里？,"公司拥有纵向一体化的精密制造能力，使公司能够实现产品设计与模具设计并行、模具设计与模具制造并行、产品设计与工艺准备并行、制造加工与设计优化并行，既缩短产品的技术准备和制造周期，加快对客户的响应速度，又适应行业定制化的特点，满足客户个性化的需求。
谢谢"
17,公司在投资者关系维护管理有什么行动？,在投资者方面，公司自上市以来严格按照相关法律法规规范运作，制定《投资者关系管理制度》，高度重视及保护股东权益，加强投资者关系维护管理，建立健全信息披露制度，开展多样化投资者交流活动，以实际行动回馈公司股东。
18,据我所知，通信行业现在处于周期性低谷，对公司有影响吗？,受累于通信行业周期性低谷的影响，公司通信业务出现大幅下滑。
19,公司的股权资产为什么有这么大的变动？,公司的长期股权投资比上年减少31.76%，主要原因系计提减值准备增加所致。
20,在人才引进方面，公司有没什么打算？,"公司通过各地协同效应和资源配置，一方面能提升产能，及时快速响应，满足客户需求；另一方面能吸引各地优势人才，为公司可持续发展提供人才支持。
"
21,为什么公司的货币资金减少了那么多？,货币资金比上年减少44.02%，主要原因系定增募集资金购买保本型理财产品所致。
22,公司去年的其他流动资产为什么增长那么多？,感谢您的关注，其他流动资产比上年大幅增加，主要原因系募集资金购买保本型理财产品后重分类所致。
23,公司目前的业务区域布局情况如何？,公司拥有多个生产和研发基地，以深圳为核心，覆盖东莞、蚌埠等多地。深圳作为中国经济、人才最活跃的地区之一，汇集了大量海内外高学历、高技术的优秀人才，公司较易招聘所需的各类人才；深圳拥有完善的产业配套，公司较易获得所需的各种零部件及加工配套服务。安徽制造基地能够获得充足的劳动力并具有较低的土地、能源、人力、运输成本，与深圳研发、生产基地形成区位互补。
24,公司目前业务构成的格局？,公司致力于打造“从硬件到软件，从部件到系统”的具备垂直整合能力的三大平台：共享制造平台、装备技术平台、网络设计平台，公司依托三大平台优势，聚焦移动通信、智能终端、汽车等业务领域，并通过投资并购，积极布局上下游产业。经过多年的发展和积累，在共享制造平台上，公司已拥有从模具设计及制造、成型、加工、表面处理到电子装配等完整的生产环节。在网络设计平台上，公司已拥有神经元并行计算机语言(NPL)、3D设计及动画制作软件Paracraft创意空间、可多人在线异地实时同步设计的3D设计软件NPLCAD等。公司凭借着自主创新的研发能力、纵向一体化的精密制造能力、原创的计算机语言及3D、AI引擎开发能力等核心优势，为国内外客户提供一站式的专业服务。
25,请介绍公司2018年的客户开拓情况以及产能供应情况。,公司一直在积极开拓新的客户及市场，并不断优化产能布局，提升公司的竞争力。
26,公司前5大客户占公司营收的比例多少？,感谢您的关注，2017年公司前5大客户占公司营收的比例为70.01%。
27,公司3.9亿的业绩补偿收回进度如何？2018年内可否收回？,感谢您的关注，公司已与交易对手进行了深度沟通，双方同意将严格按照协议约定进行补偿
28,3.9亿的业绩补偿款回收情况如何？,感谢您的关注，公司已与交易对手进行了深度沟通，双方同意将严格按照协议约定进行补偿
29,在汽车零部件业务领域方面公司有做什么努力吗？,"2017年公司开始调整产品和客户的结构，更加关注新能源汽车部件以及优质客户业务的研究和开发；传统汽车的零部件业务收入有所下降，但是随着前期开发的多个博世项目逐步进入量产，相关业务收入保持增长，取得5,267万元收入，同比增加106%，2007年开始研发的自主知识产权空调压缩机也已开始为新能源汽车厂商批量供货。
"
30,3.9亿的业绩补偿款回收情况如何？,感谢您的关注，公司已与交易对手进行了深度沟通，双方同意将严格按照协议约定进行补偿
