,Question,Answer
0,公司未来3年发展前景如何?,投资者您好！公司各项业务都有较好的发展前景，未来三年公司会继续深耕主营业务，保持业绩增长。谢谢！
1,公司投入巨资建设IDC和云计算，是否得到一些大客户的支持？有无一些实质性的大客户合同？公司三大数据中心建成后在该领域的地位是怎么样的？公司是否非常看好IDC的前景，该领域国内现状如何？是否朝阳行业?请简单介绍谢谢,投资者您好！2016年底，公司广州南沙IDC数据中心客户上架率超过70%，主要客户是百度、京东、腾讯等大型互联网企业，为公司未来IDC及云计算业务开展打下了良好的业绩基础。目前中国电信、中国联通及中国移动开展业务合作，为公司IDC业务发展提供了充分的保障，谢谢！
2,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,"投资者您好！公司一贯重视技术研发，不断完善核心技术能力，并坚持以市场为导向，升级产品结构，开发新产品，全面提升公司综合竞争力。
截止2016年12月31日，公司共取得有效专利174件，计算机软件著作权登记122件。公司共计有2款产品取得PCI4.1认证，23款产品获得国密认证，19款产品获得银联终端安全认证，7款产品获得银联入网认证，1款通过银联云POS入网认证测试。
公司金融电子中自助终端产品、支付产品及IDC数据中心的机柜租赁等业务是公司今年业绩的主要增长点，谢谢！"
3,在企业文化方面，公司有什么特色吗？,投资者您好！公司坚持“诚信、敬业、团队、创新”的企业精神，以“创世界名牌，建百年老店”为经营理念，实现客户增值、员工发展、企业进步  。谢谢！
4,在给用户提供增值服务方面，公司做了哪些工作以增强对原有客户的锁定、新客户的拓展？,公司金融电子传统为硬件设备的产销研，近年来公司积极应对传统商业银行的转型升级，在保持硬件设备的优势地位的基础上，在软件、整体解决方案、运营等方面积极开展为银行业务转型提供服务，并取得积极成效。谢谢！
5,"公司采取了具体怎样的应对措施,在同业中不断做大做强?","投资者您好！金融电子业务领域，公司利用银行智慧网点转型升级的机会，做好“银行+行业”的市场开拓工作，巩固在银行领域的优势地位，并利用品牌、规模优势，推进自助设备在其他行业客户的销售。今年我们将利用建行智能柜员机标杆项目影响，加大中行、工行、邮储的智能柜员设备升级的销售机会，进一步强占自助终端市场。
支付产品，公司将集中资源，针对银行、第三方支付、海外市场，做精几款产品，以差异化方式开展竞争，突破重点客户；并结合微信支付通道在国内和海外市场打造聚合支付的样板工程。
IDC业务领域，公司提高IDC事业部的能力建设，形成IDC四个中心五地的业务基础，抓好政务云和金融云的业务拓展。谢谢！"
6,"同行业内有哪些主要竞争对手？公司采取了什么样的应对措施,在保持稳定增长的前提下不断做大做强?","投资者你好！公司目前涉足业务领域都有竞争对手。公司在银行业非现金类自助服务终端的主要竞争对手有恒银金融、长城信息、浪潮集团等。支付产品竞争对手有福建联迪、百富、新国都、新大陆等。
IDC业务的主要竞争对手有网宿科技、世纪互联、光环新网、宝信软件等。
LED道路照明的主要竞争对手有新阳蓝光、洲明科技、勤上光电；城市景观照明市场的市场集中度低，主要竞争对手有金达照明、名家汇等。
公司将在今后的市场竞争中，加大市场营销力度，提高在产品、技术、营销模式上的创新能力，持续保持或构建公司竞争优势，以应对市场竞争，做大做强。谢谢！"
7,你好，请问贵司目前产品的销售趋势如何？今年的销售目标是多少？公司有没有一个具体可行的持续增长计划？,投资者您好！目前公司金融电子、IDC及云计算、LED照明三大业务领域市场需求旺盛，公司销售稳健，预计今年公司在三大领域内保持较大幅度的增长，未来公司坚持深耕三大主要业务，加大研发投入，抓住市场机遇，保证公司业绩目标实现，谢谢！
8,行业有没有周期性？,公司目前主要业务涉及金融电子、IDC及云计算、LED照明。目前看来，这些行业在未来几年都具有良好的发展前景。谢谢！
9,请问公司公司的核心竞争力是什么？,投资者您好！公司多年来深耕金融领域，是国内最早生产金融电子设备的高新技术企业之一，具有较强研发技术优势，并通过向银行客户提供自助服务终端、支付产品、柜面产品等多个产品系统，积累了优质的客户资源，与国内五大国有银行、主要股份制银行构建了紧密的客户关系，“证通”品牌在在金融电子领域具有较高的知名度，是公司金融电子业务持续发展的关键因素，同时品牌优势为公司金融电子业务拓展其他客户，以及公司在IDC业务、LED照明开展业务提供了良好的支撑。谢谢！
