,Question,Answer
0,公司有无激光电视的技术？有没有打算介入这个领域？,您好，公司有激光电视技术储备，但基于成本和市场的因素，暂无介入该领域的打算。
1,与中科极光相比，中视迪威的激光显示技术 有优势吗？,您好，中视迪威为国内唯一一家有国际DCI认证的企业，公司在高端激光显示领域具有明显的先占市场优势。
2,根据公司的调研，影院对推广三色激光放映机的积极性高吗？,您好，激光影院是未来大趋势，影院对三色激光放映机的一直有很高的关注度。目前市场正在积极的探索中。
3,公司智慧城市这块，为什么利润率和近期上市的苏州科达差这么多（近10%）？,你好！城市发展的智慧化建设涉及互联网、云计算、物联网、3S等多种信息技术领域，客观上存在利润率差异性。谢谢关注！
4,激光光源解决方案是何时推出的？目前有订单吗？,您好，未有需要披露的信息。
5,高投互联投资的鄂尔多斯到北京的光纤项目完工了吗？,您好，目前在建设期，尚未完工。
6,公司有计划利用激光显示对全息或AR技术进行研发吗？,您好，公司已有此方面的技术储备，一直在关注全息AR领域的应用。
7,激光显示这块看上去很高端，但是目前好像市场并不如想象得简单，请问鄂尔多斯机房这块目前和预期比怎么样？视频会议智慧城市这块，目前公司业务主要在哪些省市？,您好，鄂尔多斯的机房建设目前进展顺利。视频会议公司主要布局于国家骨干网。
8,新软件业务发展得如何？,您好，新软件业务运行正常。
9,高投互联2016年为什么几乎没有营收？,你好！相关项目还在建设中，谢谢！
10,安策恒兴有众多投资项目，未来有可能注入公司吗？,您好，我们不对大股东的投资做绑架行为，未来不可知，但肯定一切会以保护上市公司利益为准备，谢谢！
11,本周公司股价暴跌，股东损失惨重，既然公司经营正常，建议大股东增持公司股票，维护股东信心！,感谢您的关注，公司会考虑以合适的方式维护市场信心。
12,公司在智慧城市领域的核心优势是什么 ？,您好，公司以智慧城市生态系统为主线，提升端对端的综合服务能力，逐渐在智慧城市管理、智慧交通、智慧园区、智慧安保等领域形成成熟的服务体系。
13,三色激光的成本高，主要是因为绿色半导体激光器吗?,您好，相对来说绿色半导体激光器成本偏高。
14,中视迪威的绿色半导体激光器的生产成本比蓝色半导体激光器要高多少？,您好，涉及商业数据，恕不奉告。
15,4号数据机房目前有哪些有合作意向的客户？可以透露一下吗？,您好，暂无相关信息可披露。
16,为何签订那么多的合作协议，最终都没有什么进展？什么原因造成的？,您好，部分项目无进展。涉及商业机密，恕不奉告。
17,中威讯安这两年基本没么业务，未来有什么发展规划？,您好，中威讯安业务暂无变动。
18,公司的三色激光会被荧光粉激光取代吗？,你好，具有不可替代性。
