,Question,Answer
0,请问董事长，您最看重的竞争对手是哪一家？金卡智能做了什么竞争对手还没有做的战略活动吗？,尊敬的投资者，您好，感谢您对公司的关注，公司的竞争对手是值得公司尊重和学习的对象。公司致力于成为智慧燃气综合解决方案服务商，经过长年不懈地发展，公司在先进技术的研发和应用方面一直走在行业前列，不断丰富终端产品，优化系统服务，积极推进云战略，完善整体解决方案，从而不断提升公司核心竞争力。
1,公开信息看，公司的民用表占有率在20%以上，工业流量计占有率在30%以上，市场渗透率规律一般是达到20%以上的占有率后，产品销售增速会减慢不少。请问公司在市场开拓方面有进一步提高占有率的信心吗？采取了什么措施进一步提高占有率？,尊敬的投资者，您好，感谢您对公司的关注，一方面我国目前天然气使用率还比较低，根据天然气十三五规划，要逐步提升天然气在一次消费能源比重，市场空间有望进一步扩大。另一方面，公司在行业内一直保持较高的研发投入，在物联网应用领域拥有丰富的人才和技术储备以及市场经验，作为未来主流的物联网智能燃气表对系统要求非常高，公司预计未来行业集中度将进一步提升，从而促进公司业务可持续发展。另外，公司智能燃气表市场占有率达20%以上，但如一并统计机械表，则公司占比为10%以上，尚有较大提升空间，公司认为未来智能化率将会进一步提升。
2,请问公司的主打产品智能燃气表，是否属于物联网的具体应用？,尊敬的投资者，您好，感谢您对公司的关注，公司无线智能燃气表主要通过GPRS/CDMA/NB-IoT等通讯技术实现远程抄表等功能，是物联网技术的具体应用。
3,年报里披露浙江金广17年没有营业收入，但是有400多万净利润，请问是什么原因？,尊敬的投资者，您好，感谢您对公司的关注，浙江金广净利润全部为对广州金燃的投资收益，因此营业收入为0。
4,5G的发展会给公司带来哪些影响呢？,尊敬的投资者，您好，感谢您对公司的关注，通讯技术，尤其是NB-IoT物联网通讯技术的发展有助于加快公司NB-IoT智能燃气表的商业推广进程。
5,现在很多地方设立了身份证自助办理机器，里面的身份证是公司提供的吗？,尊敬的投资者，您好，公司有自助缴费终端产品，但与身份证无关，感谢您对公司的关注。
6,公司今年有哪些项目，项目推进情况如何？,尊敬的投资者，您好，感谢您对公司的关注，公司目前主要工作是扎实推进物联网智能燃气表和工商业气体流量计的研发与销售，同时积极开展NB-IoT智能燃气表试挂工作，为后面规模化商业推广奠定基础，公司重点研发项目请参考2017年年度报告。
7,近期有哪些政策面消息利好公司业务发展？,尊敬的投资者，您好，感谢您对公司的关注，一方面国家政策鼓励天然气在全国的推广使用，另一方面，工信部加强推进我国物联网基础设施建设，有利于公司业务拓展。
8,为什么北京银证的净利率只有不到5%？,尊敬的投资者，您好，感谢您对公司的关注，因北京银证控股子公司易联云为迅速占领智慧公用事业SaaS云服务市场，前期投入较多，导致北京银证合并报表净利率较低。
9,也就说NB表相比于2G燃气表，功能上并没有很大的突破，那么最近一两年内采购了2G表的客户，还会有动力更换为NB表吗？,尊敬的投资者，您好，感谢您对公司的关注，如前所述，NB表是新一代物联网通讯技术，在通讯效果方面比2G表有较大提升，能耗更低，续航时间更长，且规模量产后，从长期来看，大批量成熟化应用后，预计成本不会高于2G表。
10,你好，从公开信息来看，金卡智能的民用表似乎是采购膜式基表，在客户需求的基础上添加IC卡读卡、通讯等模块，然后接入相应的燃气管理系统，公司的价值增值在基表的改进与系统开发，以及持续的系统服务上。请问这个理解对吗？有什么需要补充的吗？,尊敬的投资者，您好，感谢您对公司的关注，您的理解基本正确，公司在膜式基表的基础上添加IC卡读卡、通讯等模块，以及智能控制器，并提供相应的软件系统服务及互联网增值服务。
11,现在煤改气，数以亿计的居民将使用燃气卡来充值天然气，目前公司有没接到相关订单？,尊敬的投资者，您好，感谢您对公司的关注，公司在煤改气地区已有IC卡智能燃气表和物联网智能燃气表销售。
12,请问贵公司，大股东可交债是否还有第二期，以及换股价格上多少，这个价格是如何确定的，谢谢,尊敬的投资者，您好，感谢您对公司的关注，公司未收到控股股东关于发行第二期可交债的通知。换股价格系控股股东与投资人讨论后确定，投资者可通过深交所业务系统查看前期发行可交债相关信息。
13,请问NB表比2G表的优势在哪里？又有什么缺点导致现在销售2G表为主，NB表只是试点呢？,NB-IoT通讯技术的优势在于容量更大、覆盖范围更广、穿透性更强、信号更稳定、功耗更低。NB-IoT是一项新技术，商业化推广需要一定时间，但我们对前景比较乐观，未来随着采购成本和通讯资费下降，产品有望得到快速推广。
14,请问公司的大股东近期有无减持计划？,尊敬的投资者，您好，感谢您对公司的关注，公司近期未收到控股股东或实际控制人的减持计划。
15,从公开信息看，民用燃气表与工业气体流量计在技术上是有一定跨度的，虽然并购天信仪表，能否实现技术上的互补或者加强的协同效应？,尊敬的投资者，您好，感谢您对公司的关注，民用燃气表与工商业气体流量计在计量方式（如超声计量）、电子、通讯、传感器等技术上有较多的共同性，可以发挥协同效应。
