,Question,Answer
0,请问公司的产品技术水平在国际上处于什么位置？,部分产品达到国际先进水平。
1,军方市场和民用市场哪方面更能盈利？,公司目前军品收入占70%y以上，主要利润来源于军品。
2,贵公司主要是做服务的吧？而不是专研前沿技术,请仔细阅读公司招股说明书及年度报告。
3,公司今年有何发展计划？,请关注公司公告。
4,公司在军方市场的竞争力怎样？,公司与中国船舶工业集团公司旗下的江南造船（集团）有限责任公司、上海外高桥造船有限公司、广船国际有限公司、广州中船黄埔造船有限公司（现中船黄埔文冲船舶有限公司），中国船舶重工集团公司旗下的武昌船舶重工有限责任公司、大连船舶重工集团有限公司、七O一研究所、七O四研究所、七O八研究所、七一一研究所等国内主流大型船厂和船舶设计院建立了良好稳定的长期合作关系，成为这些中高端客户群体认可的船用电气与自动化系统供应商。
5,请问公司二季度的预计出货额有多少？,目前还未统计出
6,请问公司在新材料的选择上有什么想法？,我们主要围绕船用新材料
7,公司修改章程后，增加了非船用产品，公司有拓展非船用产品的计划吗？谢谢！,公司章程没有增加非船用产品
8,请问：公司在无人船方面有技术储备和发展计划吗？,有的
9,请问公司拥有几级军工保密资质？,无法回答
10,请问：如使用公司的船舶节能（优化）航行系统，能节约多少成本？该系统有订单和需求意向的企业船东了吗？谢谢！,这个要根据不同船型、不同航行里程等分很多种情况
11,公司的舰用快速电源自动转换装置有订单了吗？每套设备平均生产成本约多少？国家环保部门要求推广岸电，请问，该业务市场空间大吗？,有订单
12,请问：公司的声电磁一体式海洋探测浮标主要用在哪些方面，市场容量有多大？谢谢！,主要用在海洋环境监测，属于新产品，市场规模很大，但需要大力进行市场拓展，是未来智慧海洋必备平台。
13,请问公司二季度的目标是什么，在研发投入上有什么计划？,国轮国造，科技兴军是一贯的目标，不懈的追求。
14,贵公司有没有做市值管理？,我们严格遵守证监会及交易所的法律法规和监管要求。
15,请问公司的产品环保吗？,我们产品没有污染，没有危害坏境
16,贵公司的主要竞争对手是哪些？,我们主要竞争对手就是我们自己，逆水行舟，不进则退。
17,请问公司预备如何提高国际客户认可度？,加强与船舶行业国际知名品牌的合作。加强研发投入，提高技术含量。
18,贵公司在国内的市场占有率怎样？,公司以军品为主，市场占有率无法统计。
19,请问公司在提高产品品质方面有什么举措？,公司已建立了完备的质量控制体系，取得了军工产品及船舶电气行业所需各类认证。
20,请问公司在后期维修配套上建立了怎样的体系？,公司有专业的售后服务团队。
21,请公司谈一谈上游行业对公司的影响?,我们上游行业都是市场充分竞争行业
22,有没有拓展业务范围的打算？,我们将围绕船舶配套产品拓展业务。
23,未来盈利增长点在哪里？,"主要在以下几方面：
1、深耕已有市场，提高市场占有率
2、加强对外合作，提高公司知名度
3、条件合适会通过资本手段兼并收购一些有核心技术及核心团队的公司
4、积极拓展新的业务范围"
24,送红股要收税吗？如是，能否改成转赠股份。,要收税，目前是预案，需经股东大会表决
