,Question,Answer
0,董总是认为之前任职的单位都没有未来发展了么？哪天董总要从公司离职的时候提前发个预告呀，我们小股民好提前跑路。,投资者您好，目前没有离职考虑，感谢对公司的关注。谢谢
1,董总是认为之前任职的单位都没有未来发展了么？哪天董总要从公司离职的时候提前发个预告呀，我们小股民好提前跑路。,投资者您好，目前没有离职考虑，感谢对公司的关注。谢谢
2,董总，公司给您定的多少年薪？,投资者您好，请留意公司2018年年度定期报告中的薪酬内容，谢谢。
3,公司未来发展了，会给您加薪么？董总,投资者您好，公司未来发展了，相信公司会给我们一个满意的回报，再次感谢对本人的关注。谢谢
4,董事长你本人有这么有投资途径，为什么不带领上市公司一起参与？让公司业绩更好,个人投资行为不能与公司混为一谈，投资有风险，不能保证所有投资都能成功。
5,17年分红是否考虑长期投资者对贵司的支持！？,在符合相关条款的情况下，对所有的投资者一视同仁。
6,公司如何平衡两块业务的资源分配？,公司会统筹安排。
7,请问尹总/秦总，公司是如何规定董总的工作重心的？,以公司董秘工作为主。
8,请问尹董事长，您认为公司未来的业务重心是电机业务还是无人机业务？,当然是双主业齐头并进了。
9,董总您好，看您的工作经历非常丰富，想了解一下是什么原因让您到公司任职的？公司最吸引您的是什么？薪酬福利？社会地位？还是其他原因？,投资者您好，首先感谢您对本人的关注，本人主要是看好公司未来的发展。谢谢
10,请问董总，除了上市公司外，还有哪些社会上的任职？,投资者您好，对于个人的其他任职，已经在2017年年度报告中列示，请自行查阅。谢谢！
11,楚总，公司的融资成本一般在多少？相较于基准利率上浮还是下调？,感谢关注，2017年仅子公司存在外部融资，融资成本较基准利率略有上浮。
12,"公司业绩不错，为什么董监高的薪酬这么低？
是不舍得发？还是有私下奖金发？
抑或都是活雷锋？",投资者您好，公司的薪酬体系为多年来的经营战略需要而设定，对于投资者的建议，我们会及时提交公司管理层讨论，感谢对公司的关注，谢谢！
13,公司无人机业务的主要竞争对手都有哪些？相对于对手，公司的优势如何，劣势如何？能否深入分析一下,投资者您好，公司无人机的优势在2017年年报中有所表述，请参阅“竞争优势”内容；公司目前为国内列装军机，彩虹、翼龙主要以外销机为主。谢谢！
14,董总，您平时的工作重心在哪块？,投资者您好，作为公司董秘，工作重点肯定是根据公司规定来执行。谢谢
15,公司是否认为今往后董事长的个人投资都与公司无关！？但上市公司负责人是董事长。,投资者您好，对于董事长个人的投资，公司无法去评论，只要不涉及同业竞争均可。董事长是公司的负责人没有错，但也不能否认他是一个投资者，除非在法律层面有规定董事长的投资均要对外披露，否则作为个人投资行为，公司只能遵从个人意愿适当披露。谢谢！
16,无人机几时下地生产，目前有接到订单吗,投资者您好，公司第一架无人机组装于2017年11月已经下线。现在还处于手续办理中，请留意公司后续相关公告。谢谢！
17,年报有提到收购北航剩余股份，有时间吗,投资者您好，感谢对公司的关注，具体时间暂无安排。谢谢
18,公司所产无人机的优势在哪里？,投资者您好，公司的无人机业务在2017年年度报告“竞争优势”中有表述，请参阅年报资料。谢谢
19,为什么董事长持有宁德时代股份，那么迟披露情况,这是个人投资行为，与公司无关。谢谢
20,公司今年的无人机业务占公司总业务的百分几？还在不断扩大研发经费吗？,投资者您好，感谢对公司的关注。无人机业务相比来说会有所增长，同时也会持续对研发的投入。谢谢！
21,公司预计2018年无人机业务与传统业务的占比各多少？,投资者您好，公司2018年的业绩主要还是以原有业务为主，无人机业务相比2017年也会有所增长。谢谢！
22,公司怎么看待更名带来的舆论影响？,投资者您好，感谢对公司的关注，公司更名，是为了更好的体现未来双主业发展的布局。谢谢！
23,公司在民用无人机方面今年会加大投产吗？,投资者您好，公司在2017年年度报告中的“未来发展规划”中有提及相关内容，具体还要看后续相关进度。谢谢关注！
24,贵公司与富田电机的合作进行到哪个阶段？,投资者您好，公司与富田电机未进行任何合作。谢谢
25,与竞争对手相比，公司有哪些优势？,投资者您好，请参阅公司2017年年度报告中的“公司竞争优势”，谢谢！
26,在充电汽车产业链中有哪些关联产品？,投资者您好，公司在新能源汽车方面的产品仍然围绕电机零部件来开展。谢谢
27,2月份公告的不超过2亿元的增持计划，增持完毕了吗？,投资者您好，因为窗口期的原因，公司增持计划尚未完毕。谢谢
28,新能源汽车发展对公司业务是否利好？,公司作为电机零部件供应商，为二级供应商，对于汽车行业的发展，无论是传统还是新能源，都需要用到电机。谢谢
29,公司的外贸出口订单，今年的政策因素情况下，会出现大的波动吗？出口占比多少？,感谢关注，公司的外贸出口订单基本无影响。2017年出口收入占比15.96%，以欧洲市场为主。
30,董事长持股宁德时代是个人原因，还是打算为公司搭桥，公司日后会和宁德时代合作吗？,宁德时代主要是个人投资行为，以后的事情还要看未来的发展计划。谢谢
31,请问公司所生产的定子及总成2017年销量如何？,感谢关注，2017年各产品产销量均有不同程度的提升。
32,公司去年收购天宇长鹰股权，布局无人机，目前该公司的无人机有什么应用场景？已经实现了哪些应用场景？,2017年收购天宇长鹰股权，目前公司无人机主要为列装军机，谢谢
33,对宁德时代的投资是您个人行为，还是公司行为？,个人业务，与公司无关。谢谢
34,无人机业务是否和传统业务相冲突？,投资者您好，无人机业务与公司原有业务不会形成冲突。谢谢
35,公司在新能源汽车方面投入占比多少？,投资者您好，公司在新能源汽车方面投入相对传统汽车来说金额不是特别大，我们也在抓紧对新能源业务方面的统筹安排。谢谢！
36,贵公司生产的定子及总成，2018出厂价提高多少？,感谢关注，产品出厂价与大宗材料价格联动，随大宗材料（如钢材、铜材）波动而变化。
37,扁线项今年会投产吗？,投资者您好，公司的扁线电机已经进行试生产，具体情况还有待客户进一步落实。谢谢
38,公司关于传统汽车电机定转子生产有哪些优势？,投资者您好，公司定转子的主要优势集中体现在工艺成本上的节省。谢谢
39,美国出口占总收入的比例大概多少？,感谢关注，2017年出口美国收入占总收入比重不足2%。
40,新闻说，无人机产业已经有了实质性进展，短期内会对公司业绩产生影响吗？,投资者您好，感谢对公司的关注，公司无人机项目短期内对公司业绩无重大影响。谢谢
41,请问，贵公司海外客户有哪些？,海外客户主要集中在欧洲，如博世、法雷奥等。
