,Question,Answer
0,请问今年预计主要产品的销售目标是多少？净利润是多少？,"您好，目前公司经营平稳，销售规模预计稳定增长，新投资的项目将陆续为公司贡献利润，公司预计2017上半年业绩较去年同期上升。详情请见公司一季度报告全文。谢谢！  
"
1,公司目前主要的研发方面是什么？,"您好！公司关注重点在石材资源的勘探和产品工艺的改进。
谢谢！"
2,公司在税收方面有没有相关的优惠政策？具体税率是多少？,"您好！目前公司在税收方面暂未享受有关优惠政策。
谢谢！"
3,请问老总， 2016年存货是多少，存货增加的内容是哪些？,"您好！2016年存货余额20,944.36万元，主要为库存商品及工程施工等增加，谢谢。
"
4,能简单的介绍下新项目的情况吗？,"您好！详情请见公司2016年报第四节《经营情况讨论与分析》之五“投资状况分析”。
谢谢！"
5,公司募投项目，预期如何？是否谨慎？,"您好！公司募集资金使用严格按上市公司募集资金管理和使用的监管要求执行。大理石深加工项目已部分投产，贡献项目效益；北京万里石公司项目已完成公司注册及前期相关准备工作，预计将逐步贡献项目效益。
谢谢！"
6,公司去年主打产品的销量是多少？,"您好！主要产品销量详情请见公司2016年报第四节《经营情况讨论与分析》之二“主营业务分析”，谢谢。
"
7,新投资的项目今年能否为公司贡献利润？如有利润贡献，公司预计能实现多少利润？,"您好，目前公司经营平稳，销售规模预计稳定增长，新投资的项目将陆续为公司贡献利润，公司预计2017上半年业绩较去年同期上升。详情请见公司一季度报告全文。谢谢！
"
8,请问2017年全年预计销售目标是多少亿元？实现净利润的目标是多少亿元？,"您好！目前公司经营平稳，销售规模预计稳定增长，公司预计2017上半年业绩较去年同期上升。谢谢！详情请见公司一季度报告全文。 
"
9,公司是否会计划多元化发展？,您好，全产业链、专业化是我们的发展战略，我们将围绕这一专业方向，横向和纵向作相应的延伸发展。谢谢！
10,请问公司的分配预案达到承诺的分红比例吗？,您好！公司承诺：每年以现金方式分配的利润不少于当年实现的可分配利润的10%。公司严格执行该项承诺。谢谢！
11,请问公司目前的研发机构有哪些？公司未来产品的研发与创新将如何进行？,1.公司地矿事业部负责新资源的地质调查与研究；2.集团产品研发与创新由各事业部研发组承担；3.智能制造等重大研发和创新由集团牵头与厦门大学、厦门理工大学、成都理工大学等院校合作，各制造工厂配合。谢谢！
12,公司今年的财务费用会有多少？,"您好！随着公司经营规模扩大，银行融资规模及成本将适当增加，预计公司17年财务费用会适度提高。谢谢！
"
13,公司2016年管理费用较上年同期相比如何，原因是什么？2017年会下降吗？,"您好！公司2016年管理费用较上年同期增长15.11%，增长原因主要为经营规模扩大相应工资、办公等运营支出增加。2017年将根据公司经营发展需要合理投入，管控支出。
谢谢！"
14,公司未来五年的目标是多少？能够实现吗？,您好，未来五年的目标是：1.国际市场稳步发展尤其是美国市场、一带一路市场将有较大突破。2.国内市场转型发展。从单一的材料供应商向设计安装一体化方案解决者转型，从单一工装向工装与家装并举方向转型。我们的目标有相应的措施匹配，一定能有实现，谢谢！
