,Question,Answer
0,公司今年盈利能力较同期有较大提升，但贵公司近期股票却未有增长，有点不明白，请解释一下原因？,您好！公司股价受公司经营情况、国家政策、经济形势、证券市场行情等多种因素影响，公司管理层和全体员工将通过持续创新，集中精力搞好经营，努力创造较好的经营业绩，回报广大投资者。谢谢！
1,贵公司2015年资产负债率为21.01%，2016年上升到40.2%，请问一下增加负债的原因是什么？,"您好！公司总负债92,489.74万元，较上年末增长了58,335.6万元, 增长率170.8%。其中：流动负债85,221.92万元，较上年末增长了52,212.88万元,增长率158.18%。主要是期末银行短期借款增加了13,500万元，长期借款（含划分为持有待售的负债）增加了21,449.42万元，应付账款余额增加了5,387.27万元，预收款余额增加了6,230.36万元，以及其他应付款余额增加了7,674.56万元。谢谢！"
2,公司收购的无锡康宇是一家什么样的公司啊？,您好！公司子公司无锡康宇是一家专业生产高端智能化二次供水设备的高新技术企业，集研发、制造、销售与服务为一体，旗下生产的“KANGYUWATER”已是目前国内二次供水行业较为知名、具有影响力的品牌之一。无锡康宇设有二次供水工程技术研究中心和生产基地，并与国内多家知名高校、科研机构实验室建立了长期合作关系，由其主编的有关静音管网叠压给水设备行业标准CJ/T444-2014已发布实施，并于2015年正式升级为国家标准GB/T31894-2015。谢谢！
3,前五名供应商的采购金额达到年度采购总额将近22.76%，是否对上述供应商存在依赖？,您好！前五名供应商的采购金额达年年采购总额将近22.76%，比例分别为：10.32%、5.92%、2.47%、2.04%、2.01%，主要是涉及钢材、漆包线之类大宗物资，大宗物资市场不具有专属性，不存在对供应商的依赖。谢谢！
4,现在，公司都有哪些子公司？,您好！公司现有12家控股子公司，分别为台州新界机电有限公司、江西新界机电有限公司、江苏新界机械配件有限公司、台州西柯国际贸易有限公司、浙江老百姓泵业有限公司、温岭市方鑫机电有限公司、新界泵业（香港）有限公司、新界泵业（杭州）有限公司、新界泵业（江苏）有限公司、mertus 253. GmbH、维塔国际贸易（杭州）有限公司以及无锡康宇水处理设备有限公司，有关子公司情况请参阅2016年报第四节第七部分。谢谢！
5,职工薪酬占销售收入比重逐年上升，是否是合理的？公司准备采取哪些措施来降低人员成本？,"您好！薪酬占销售收入比重上升，主要原因在两个方面，第一,是人员薪酬待遇随着经济水平的发展相应有所上调；第二,是为推动公司转型升级，引进了一些高端人才。为降低薪酬成本，公司主要开展了以下几方面行动，第一是推进组织扁平化，提升效率，缩减冗员；第二是开展信息化建设，提升管理效率；第三是不断提高制造过程的自动化水平；第四是全力以赴实现销售收入快速增长。通过这几个方面的措施，预计薪酬占收入比例的上升态势能得到有效遏制并实现一定程度的下降。谢谢！"
6,您认为目前公司面临的主要问题是什么？,您好！近几年，公司领行业之先，推动着中国泵业自主品牌的全球化发展，但，无论海外并购还是全球营销业务拓展、全球产品线布局，对拥有语言能力、营销能力、技术背景、跨文化沟通等综合管理能力的人才产生了较大需求。随着公司全球化步伐的加快，整合这方面的人力资源成为我们当前阶段的主要工作。
7,公司产品研发情况如何？目前，公司整体的专利数量有多少？,"您好！公司十分重视研发投入，2016年研发费用投入4,300多万元，占销售收入的3.26%。2016年，公司完成新产品开发项目31个，涵盖公司六大产品线，涉及潜水泵、深井泵、污水泵、屏蔽泵、家用增压泵、不锈钢泵。截至2016年12月31日，累计拥有有效授权专利245项（含子公司）；累计主持或参与起草/修订国家标准/行业标准达58项。谢谢！"
8,公司水泵销售的季节性和周期性如何？,您好！本行业一般二、三季度为旺季，其他季度稍淡些，不存在明显的季节性和周期性。谢谢！
9,请问贵司今年有新增产能吗？新增产能能否消化？,您好！目前公司120万台技改项目已竣工，部分车间已投产；本项目投产到达产有个过程，产能将逐年释放。公司2016年销售同比增长14.96%，2017年一季度销售同比增长21.25%，目前来看形势良好。因此新增的产能消化不存在问题，谢谢！
10,贵公司的财务费用为何激增500%，会持续吗？,"公司一季度财务费用 2,395,574.73 元，比上年同期增加了 2,011,585.65 元，增长率523.87% 主要系本期利息收入同比减少、利息支出同比增加所致。公司一季度偿还了银行借款，银行借款余额为9,800万元，低于2016年年底银行借款余额。"
11,公司财务费用一季度上升了500%多，高达500多万。这个主要是本期新增的长期借款和短期借款带来的财务费用吗？,"公司一季度财务费用 2,395,574.73 元，比上年同期增加了 2,011,585.65 元，增长率523.87% 主要系本期利息收入同比减少、利息支出同比增加所致。公司一季度偿还了银行借款，银行借款余额为9,800万元，低于2016年年底银行借款余额。"
12,公司16年海外销售情况如何？,您好！公司目前拥有300多家稳定的海外客户群体，产品覆盖了亚洲、非洲、美洲、欧洲等100多个国家和地区，并在全球各地不断拓展中。2016年度，公司出口5.62亿元，占公司营业总收入的42.62%，同比增长14.94%。谢谢！
13,郭总您好，公司一季度扣非增速是3.73%，相比去年一季度增速是同比下降的。这个增速里面主业、无锡康宇的贡献分别是多少？主业下滑了吗？,"2017年一季度扣非后归属于母公司股东的净利润增速是3.73%,低于上年同期,主要是一季度销售费用 2248.56万元,比上年同期增长了 1138.50万元,增长率 102.56% ,主要系本期销售渠道拓展和品牌推广引起了费用增长。"
14,国内水泵企业众多，竞争激烈，请问国内水泵产业是否存在产能过剩风险？如果有，公司如何面对？,您好！水泵行业虽然是一个较为成熟的产业，但具有广阔的市场需求。如您所说，确实竞争激烈，但这种竞争趋势和结果符合国家的政策导向，未来的水泵产业发展，会有利于规模化、专业化、全球化发展的有实力企业。近几年，新界通过管理会计、精益生产、聚焦主流行业、深化营销渠道改革、狠抓产品创新、积极参与国际竞争等举措，构建新界可持续发展的竞争力。谢谢！
15,公司2016年并购比较多，请问今年还有没有什么并购计划？还会考虑环保业务吗？,您好！感谢您的关注。公司的每一次收购兼并工作都是基于公司战略发展需要，并严格按照相关程序开展办理。谢谢！
16,公司在产品生产中如何进行产品质量控制？,您好！公司有效贯彻并整合ISO9001、ISO14001、OHSAS18001等管理体系，持续提升质量管理水平和用户满意度。公司设置了品质保证部门，对各生产过程实施工艺纪律执行情况监督检查，确保所有操作都按工艺要求执行。公司已实现检测项目的全覆盖，生产过程采取质量追溯、数据统计分析等一系列行之有效的方法，并于2017年开始导入了关键工序认证，确保关键工序质量保证能力在受控范围内，做到关键工序重点控制、普通工序规范操作。公司通过可靠性试验台的建立，在模拟客户的运行工况下，对产品的质量可靠性风险进行监测，并实施改进。谢谢！
17,请问贵公司的生产经营模式是怎么样的？是以库存生产模式还是订单生产模式组织生产？,您好！公司常规生产模式有两种：出口产品采用的是订单生产；内销产品主要采用适量库存。但，公司也会结合用户需求，根据业务模式，产品属性，交期需求适时调整！
18,您好！我是公司的一名小股东，请问我想现场参加股东大会，应该怎么做，和谁联系？,您好！感谢您的关注与支持。公司已于2017年4月28日在巨潮资讯网刊登了《关于召开2016年度股东大会的通知》，具体参会流程请参照公告内容，或致电0576-81670968张女士咨询。谢谢！ 
19,请介绍一下公司所处行业和主要产品？,"您好！公司主要收入来自于泵产品，所属行业为泵行业，根据中国证监会发布的《上市公司行业分类指引》（2012年修订），属于通用设备制造业（C34），根据《国民经济行业分类》（GB/T4754-2011），属于泵及真空设备制造业（C3441）。
目前，公司主要从事各类水泵及控制设备的研发、生产与销售，主要有十二大产品系列、2,000多种规格。产品满足农林灌溉、生活取水、养殖高效增氧、泵站提水、市政工程、建筑供水、污/净水处理、消防、暖通、冶金、矿产、制冷、工业用水等众多领域需求。谢谢！
"
20,请问国内循环泵目前市场空间有多大？目前国内循环泵企业做的最好的是谁？这块利润率有多大？谢谢,您好！循环泵在建筑供暖、通风及空调系统以及电力、化工中均有广泛的应用。目前国内高端循环泵应用领域的产品基本上是被国外厂家占据，如格兰富、威乐等。谢谢！
21,看你们年报对公司未来发展的规划，是准备水泵和设备、系统并举，请问公司是否在这方面做了人才准备？引进了哪些人才？,新界有非常优秀的企业文化，这为我们招募推动企业发展与变革的人才提供了良好的土壤，随着新界战略方向的聚焦，着手这方面的人力资源建设是我们工作的前提。如：研发、营销、产品线管理等，任何认可我们企业文化，有志于推进中国泵业的全球化发展的有识之士都是新界事业的伙伴。
22,请问公司德国业务开展如何了？2016年有多少利润。谢谢！,您好！公司去年收购的德国和波兰两家子公司的生产和经营目前均正常。2016年经营情况请您及时关注公司2016年年报。谢谢！
23,请问公司在2017年的总体规划如何？,您好！未来，公司将继续坚持“实施高品质制造、提供高性价比的产品和服务”两高战略，利用品牌和渠道优势，持续加大研发、生产、销售等各方面的投入，重点布局生活用泵、市政用泵、消防用泵、污水泵、供水设备及供水系统及其维保领域，产品向智能化、系统化、数据化方向发展，从而实现从单一的水泵设备生产商向“泵及设备单品+系统解决方案+服务及生命周期管理”的国际化供水系统解决方案服务商的转变。详情请参阅《2016年年度报告全文》第四节第九部分。谢谢！
