,Question,Answer
0,哈哈，郭叔叔，公司的名字是怎么来的？介绍一下公司的七大优势,哈哈，这个问题你应该问黄叔叔。
1,刘叔叔好，公司的水利水电自动化系统指的是什么？,真是勤学好问的乖宝宝，叔叔给你点赞！ ：）
2,小兵叔叔，说明会还没有结束啊,不好意思，刚看到，刚在回复其他投资者的问题。
3,哈哈，我很喜欢你啊，小兵叔叔，眼镜叔叔啊，你好帅啊,你很幽默啊！
4,"公司的持续良性发展是投资者投资信心的有力保证,愿公司的发展能为投资者带来良好的回报!请问公司领导对今年有信心吗？",感谢您的关注和建议。您的期待就是我们努力的目标，我们对公司的持续良性发展很有信心！
5,公司及管理层是否鼓励员工长期持股？会不会任由员工和大小非减持？,感谢您的关注。我们肯定鼓励员工长期持股，会做一些引导工作。
6,在企业文化方面，公司有什么特色吗？,"感谢您的关注。
您这类的问题，我认为最好由别人来评价：）  
说一点点王婆之言：公司一直提倡“坦诚、务实、合作、进取”的企业精神，也一直在这样实践，自认是一个相对规范经营、诚实守信的企业。再次感谢您的提问。"
7,小兵叔叔是不是生气啦？我喜欢叔叔,没有生气啊，谢谢关注！
8,请问公司在财务结构上有什么不足，打算采取哪些举措。,感谢您对公司的关注！目前公司的资产负债率较低，除在建的募投项目外，公司目前没有进行大的投资，也没有与金融机构的直接贷款，财务杠杆效果不明显。未来，公司将积极寻找好的投资机会，财务也将积极筹资，适当的利用财务杠杆来提升公司净资产盈利能力。
9,你如何看待同行业其他公司的经营情况？在同行业竞争中，公司排名第几？你认为公司业绩增长的主要优势或障碍在哪里？,我们所了解到的部分同行企业经营状况有好有坏，我们公司在同行中整体处于良性发展状态；“专注成就专业”的指导思想，持之以恒的市场开拓是公司业绩增长的主要保障。谢谢关注！
10,"国家要求实行经济节约型政策,公司具体是怎么做的?",我们的完全无人值班系统以及节能改造系列产品的推出就是为了响应国家的经济节约型政策，同时我们在加大屋顶光伏发电、水电站优化出力系统的推广，也是对可再生能源建设所做的努力。
11,宋叔叔好，公司的主要产品也请您分别做个介绍,"谢谢您对公司关注，公司主要从事水利水电自动化系统、变配电保护及自动化系统、水处理及其它工业自动化系统等的研发、制造、销售及设备安装和技术服务。具体产品和服务包括： 
（1）水电自动化系统
（2）泵站自动化系统
（3）水利信息化系统
（4）变电站保护测控系统
（5）智能配电自动化系统
（6）水处理自动化系统
（7）工业过程控制系统
（8）光伏发电系统
（9）机电设备的安装和技术服务
（10）运维服务
"
12,叔叔好，上次参加路演的投资者，哈哈,感谢您一直以来的关注与支持！
