,Question,Answer
0,姜总 能聊聊公司的企业文化呀？,您好，公司的企业文化用六个词可以概括，中和、中正、自强、沉静、责任、承诺。谢谢关注！
1,请问如何看待百度李彦宏说的“中国人不太在意个人隐私，愿意拿隐私换方便”这样的说法？,您好，随着国家网络安全政策的加强，整个社会层面包括个人安全意识的提高，数字中国的持续建设，数字化生活的广泛深入，安全对于个人的价值和存在意义必将越来越大。觉得还是要以发展的眼光看问题，您说呢？
2,请问贵公司判断一家企业是否具有“独角兽”特点的标准是什么？公司是否参股独角兽企业？,您好，公司投资的恒安嘉新、达闼科技都具有独角兽的特点，门槛高，技术独有，代表新的技术应用方向，具有良好的市场应用前景。谢谢关注！
3,请问姜总， 公司在SOC 业务与其他业务的协同效果如何？ 在SOC业务上的领先，对其他业务的拉动 效果如何？,您好，SOC是一个抓手，需要多产品的协同，SOC做好了，肯定会带动其他产品的业务。谢谢关注！
4,公司在工业互联上有哪些产品呢？这个行业是不是前景很大呢？竞争对手有哪些呢？,您好，公司在工业互联网的安全产品包括工业防火墙、异常检测系统、关键设备运维审计系统、工控漏洞挖掘系统、工业网闸等等。已在电力、石油化工、先进制造、轨道交通、烟草等多个行业得到应用，产品能力在行业内处于第一梯队。在国家对智能制造的大力推动下，工业互联网将是其不可或缺的一环，信息安全更是重中之重，未来具有广阔的市场前景。谢谢关注！
5,请问姜总， 不同 公司 推出的 SOC 服务， 在竞争时， 互相之间的可替代 是否比较容易？,您好，SOC的功能项比较庞大，有基本的模块，也有高端的模块，甚至有时还需要定制，整体而言，SOC属于高端安全产品，相比一般的通用类安全产品，较不易被替代。谢谢关注！
6,公司所在行业竞争不断加剧，公司如何提高自身竞争力？,您好，客观来讲，网络安全行业市场长期存在着竞争，但从趋势看，竞争逐渐趋于有序和良性，这是市场越来越规范的结果，我们欢迎这种竞争，竞争也是企业发展的动力。谢谢关注！
7,请问公司的产品销售区域主要有哪些？海外市场和国内市场的份额占比如何？,您好，公司在全国各地区均有业务，国内市场是大头，海外市场总体规模还较小，目前年营收未过亿。谢谢关注！
8,我上一个问题，是希望更细的了解本公司的SOC 平台，具体在哪些行业 已取得较好的市场占有， 另外，在哪些行业 已经有不错的 业务开端？ 谢谢。,您好，公司SOC业务在三大运营商落地最早，做得较好，其他在政府领域、央企以及金融领域也有应用。谢谢关注！
9,请问姜总，从营业收入比例上来看，公司在华北区的收入比较理想，但在华东，华南区的占比不是太高，请问在这两个区域，公司主要面临的竞争对手有哪些？ 相比较公司，他们产品的优势有哪些？,您好，公司大客户业务占比较高，包括各部委、央企，而这些单位多在北京，导致华北地区业务规模较大。类似于总部经济吧。今年，公司开始逐步将更多业务向地方输出和推广，有望渐渐提升其他地区的业务规模。谢谢关注！
