,Question,Answer
0,请问副总，公司的营收和利润如何快速增长？,为实现营收与利润快速增长，公司会增加产品线并加快新产品的推出速度，同时提高生产效率与降低成本并重。
1,贵公司在国内的市场占有率怎样？,您好，公司外设产品是国内市场上最受消费者青睐的热门品牌之一。根据ZDC互联网消费调研中心数据显示：2017年度雷柏键盘市场关注度排名第一，雷柏品牌的市场关注排名前三。
2,17年公司营业收入5个亿，营业利润才1000万，请问这样的发展速度，就算利润一年翻一倍也要很久才能达到利润过亿，而且公司也不可能每年都翻倍。请问公司怎么做才能把业绩做上去？公司不能就这样每年利润都是一千万吧？,您好，总体上通过开源节流实现业绩快速增长。公司拥有从设计到完整线上线下渠道的品牌，在设计、成本、响应速度、渠道方面都有明显的竞争优势，面对竞争，公司将立足并充分发挥自身优势，稳扎稳打，持续创新，做强做大。电子竞技类产品会是我们未来的重要盈利增长点，会有一系列的新品开始出货，今年电子竞技类的产品应该会让雷柏形成新的业务格局并形成新的发展阶段。另一方面公司通过以下举措降低运营成本：公司通过信息化及自动化技术，提高智能制造水平及生产效率，并且加强采购和供应商管理，与主要供应商建立长期战略合作关系
3,希望曾总告知管理层注重技术评估！,您好，感谢您的宝贵建议。
4,请问公司的雷柏无线鼠标在国内很吃香，在国际市场上的情况呢？,您好，雷柏在国外市场树立了良好的品牌形象，公司产品在国际市场上也受到用户的欢迎。
5,未来盈利增长点在哪里？,您好，电子竞技类产品会是我们未来的重要盈利增长点。
6,请问曾总，面对竞争激烈的外设市场，毛利润低下，怎样才能使企业快速发展起来？雷柏机器人也一直没有一个快速的发展，营业收入太少，公司的营销人员太少，技术创新方面还是投入太少，雷柏这几年一直处于一个发展停滞状态，不知道曾总如何带领雷柏走出来，走向世界。,您好，我们从去年底已经确定了公司的外设重点全面转向电子竞技类的外设，4月开始电子竞技外设会有一系列的新品开始出货，今年电子竞技类的产品应该会让雷柏形成新的业务格局并形成新的发展阶段。
7,请公司谈谈今年的理财规划？,您好，公司目前的理财规划为：在保证正常运营所需流动资金处于安全边际的情况下，认购市场上承诺保本的相关产品，以提升资金的使用效率。
8,请问公司的机器人有出口吗？,您好，公司机器人业务不涉及机器人本体的生产制造。
9,请问公司可知的今年上半年的政府补贴有多少？,公司政府补贴种类有国家高新技术企业企业所得税优惠政策、前海自贸区企业所得税优惠政策、软件产品增值税即征即退优惠政策、政府的部分项目资助优惠政策。截止目前公司有多个政府补贴项目处于申报状态中，但最终尚需获得相关部门的批准与通知。有关政府补贴项目，公司严格按照证监会、深交所相关监管规则，及时对外披露。您可查阅公司已披露的相关公告进行了解，后续，也可关注公司有关公告的披露。
10,如何应对成本上升？,您好，公司一方面通过信息化及自动化技术，提高智能制造水平及生产效率，具体项目包括2017年10月份已开始规划无人产线和工厂内部的无人智能物流，预计2018年底可以实施完成；一方面通过加强采购和供应商管理，与主要供应商建立长期战略合作关系。
11,请公司谈谈无人工厂和无人产线的规划？,您好，我们从去年10月份就开始规划无人产线和工厂内部的无人智能物流，预计今年年底可以实施完成，这也是我们用来应对人工成本一直上升的重要措施。
12,公司产品都是较新概念，但是有很多企业也做，怎样才能在大浪淘沙的环境中生存？,您好，公司深耕外设行业十六载，拥有从设计到完整线上线下渠道的品牌，在设计、成本、响应速度、渠道方面都有明显的竞争优势，面对竞争，公司将立足并充分发挥自身优势，稳扎稳打，持续创新，做强做大。
13,你们有做市值管理吗？,您好，公司始终注重市值管理的工作，致力于“产业与资本”的有机结合，不断提升公司经营质量与业绩，以提高企业在资本市场上的形象与价值。
14,公司今年有何发展计划？,2018年雷柏将持续回归主业，深耕外设行业，深挖业绩护城河，以“普及化、专业化、高端化、精品化”为产品定位，坚定实施技术及产品差异化战略，积极利用移动互联网改造现有业务模式，丰富产品品类，加大高端办公外设、电竞游戏外设、多模多终端外设的新品推出力度，缩短新品推出周期，以信息化运行提高管理效率，增强公司综合实力。
15,你们注重品牌，这个只是市场策略吧，技术上如何保持领先呢？,您好！品牌是消费电子的重要无形资产及竞争优势。公司会采取如下措施保持技术领先：1.公司将以市场需求为导向，重点加大高端办公系列及游戏V系列的研发，继续优化产品结构和加快新品推出速度；2.保持对新技术的敏感度，持续加强与前端芯片厂商的合作关系，快速将前沿技术导入外设产品；3.加大软硬件、工艺制程、模具的资源投入，提高自动化智能化生产水平；4.持续加强内部研发团队建设。
16,海外市场做的怎样？,您好，公司2017年度海外销售营业收入占比公司整体29.12%。得益于公司一直以来的“自主品牌全球化”的战略。截止目前，公司外设产品已覆盖全球主要经济地区，并在主要销售渠道均有布局。
17,请介绍和梳理公司2018年第一季度收入和利润情况？,":您好，公司2018年第一季度：实现营业收入12,709.23万元，同比下降15.07%；实现归属于上市公司股东的净利润930.87万元，同比下降18.02%。经营业绩稍有下降的主要原因为：公司外设业务安排在第二季度向市场上投放新品，因此在第一季度产品销售计划上有所调整。更多有关公司2018年第一季度的详尽信息，您可参阅公司于2018年4月28日在巨潮资讯网（www.cninfo.com.cn）上披露的《2018年第一季度报告全文》。"
18,请问公司目前有多少职工？,您好，截止2017年12月31日，雷柏科技与主要子公司在职员工数量为：1008人。
19,公司的核心竞争优势体现在哪里？2018年客户的拓展有什么规划？,您好，雷柏深耕外设行业多年，是极少数拥有从设计到完整线上线下渠道的品牌，在设计、成本、响应速度、渠道方面都有明显的竞争优势。2018我们的整个发力点是在电子竞技领域，所以客户拓展也主要在这个方面。
20,请公司谈谈ABB机器人运用在生产线上的情况？,您好， 雷柏工厂一共使用了大约90台ABB机器人。
21,你们无线充电技术领先吗？,您好，我们未来会推出两种无线充电的产品，比较高端的磁共振及QI标准的无线充电。
22,请问公司相比罗技，有哪些竞争优势？,您好，雷柏是极少数拥有从设计到完整线上线下渠道的品牌，我们设计、成本、速度、渠道优势都比较明显。
23,贵公司的主要竞争对手是哪些？,您好，我们的主要竞争对手是罗技和雷蛇。
