,Question,Answer
0,目前与供应商的关系怎么样，有没打算引入新的货源和供应商？,您好！目前公司与供应商合作关系稳定，在保持与现有供应商通力合作的基础上，积极引进优质供应商，并通过加强与供应商的沟通与联系，实现供应商对公司的大力支持。2017年度，公司新引进荷兰皇家帝斯曼集团（DSM）等多家材料供应商，对公司现有产品库的尼龙材料、改性材料等进行了有益补充，为公司在手机、家电、智能穿戴等细分市场的整体解决方案提供重要支撑。
1,同益股份主要竞争对手包括哪些同益股份？,您好！中高端化工及电子材料中间商类型多样、数量众多、规模不一，公司主要与材料分销商或代理商、材料厂商存在竞争关系，市场集中度较低。目前，公司在不同细分领域的竞争对手较上市前有所变化，公司将继续深化竞争优势，在技术服务、信息管理、库存管理以及市场响应速度等多个方面提升竞争实力。
2,公司近几年市场竞争格局有何变化？,您好！中高端化工及电子材料中间商类型多样、数量众多、规模不一，公司主要与材料分销商或代理商、材料厂商存在竞争关系，市场集中度较低。目前，公司在不同细分领域的竞争对手较上市前有所变化，公司将继续深化竞争优势，在技术服务、信息管理、库存管理以及市场响应速度等多个方面提升竞争实力。
3,公司互动易上有投资者问及与富士康和小米等独角兽之间的合作，能否深度谈谈具体的情况如何呢？,您好！公司向鸿富锦精密工业等公司供应PC等工程塑料，主要应用于家电、手机制造等方面；向小米的合作代工厂供应手机、平板电脑外观件及结构件制造用工程塑料，并为小米旗下智能家居产品提供外观件及结构件制造用工程塑料。公司已成立专门的战略客户部门，增强与大客户的合作力度和深度。
4,作为国内唯一的材料应用服务型分销商，同益股份在技术研发上有不小的投入和成就，但是不少投资人包括研究员对公司的行业定位和价值定位却都比较模糊，您怎么看待这个问题呢？,欢迎来公司调研沟通。谢谢。
5,2017年同益股份新增客户有哪些？占比是多少？,您好！2017年，公司在增强大客户合作力度、拓展新客户方面的工作均取得较好成效，存量客户及新增客户的销售均取得增长，其中，新增客户的销售收入占公司整体收入约20%.
6,同益股份未来会不会涉及其他行业？,您好！公司秉承“以优质化工材料助力中国品牌”的使命，采取内生性和外延性并发的战略路径前进，依随上市公司平台给公司提供的强大助力，内生和外延双管齐下、两翼齐飞，建立中高端化工材料和电子材料销售平台，为客户带来独特的价值，为供应商带来创新性的服务，与合作伙伴共创发展机遇。
7,同益股份有在海外开设生产基地的计划吗？,目前暂无。感谢您的关注。
8,电子材料价格目前走势情况如何？对同益股份业绩有何影响？,您好！由于太阳能市场的光伏组件价格走低及太阳能产业链的降本需求，2017年，公司调整了电子材料的销售策略，降低了太阳能电池银浆的销售比例。2017年，公司实现电子材料销售收入1.53亿元，同比下降34%。2018年，公司将通过积极在面板行业、电路板行业等细分市场拓展偏光片、彩色光阻基材、FPC材料等产品的销售，实现公司在电子材料方面的经营目标。
9,同益股份在智能移动终端终端细分市场拓展情况如何？,您好！公司顺应市场发展趋势，基于深化细分市场战略，聚焦行业大客户，对华为、小米等行业品牌商及其代工厂进行了紧密跟踪，积极促进工程塑料在智能移动终端终端应用领域的推广，努力提升公司产品市场占有率，从而保持了工程塑料销售收入的稳定增长。2017年全年公司在智能移动终端终端细分市场实现工程塑料销售收入3.08亿元，同比增长25.34%。
10,目前同益股份亮点业务在那儿方面？,"您好！公司紧密围绕“品模贯通”模式，加大了对重点细分市场的开发力度和深度，稳定聚焦行业大客户，有的放矢、目标明确地深入挖掘品牌客户需求及痛点，并在维系原有客户的基础之上，积极拓展新客户，提升公司市场占有率，以实现材料销售规模的稳步增长。
1、工程塑料
智能移动终端市场，根据工信部数据，2017年度国内智能手机市场集中度进一步提升，华为、OPPO、vivo、小米、苹果的出货量位居前五，并且市场份额进一步向这五家提升。公司顺应市场发展趋势，基于深化细分市场战略，聚焦行业大客户，对华为、小米等行业品牌商及其代工厂进行了紧密跟踪，积极促进工程塑料在智能移动终端终端应用领域的推广，努力提升公司产品市场占有率，从而保持了工程塑料销售收入的稳定增长。2017年全年公司在智能移动终端终端细分市场实现工程塑料销售收入3.08亿元，同比增长25.34%。
智能家电市场，在近年来消费升级趋势下，小家电行业迎来绝佳的发展契机，在需求驱动下，以小米生态链为代表的互联网品牌智能家电快速发展。2017年，公司加大了应用于吸尘器、咖啡机等小家电制造的工程塑料销售，合作客户包括苏州科沃斯、小米生态链、惠而浦、美的等知名品牌。2017年，公司在家电领域实现工程塑料销售收入1.2亿元，同比增长72.25%。
2、LED照明市场，目前公司涉及的业务主要为球泡部件制造的材料销售。公司紧密关注行业发展趋势，采取积极主动的营销策略，扩大销售规模，2017年实现工程塑料销售收入1.33亿元，同比增长53.39%。

"
11,华总您好，2018年公司强调多元化销售布局，公司是如何定位自身的呢？,您好，公司秉承“以优质化工材料助力中国品牌”的使命，采取内生性和外延性并发的战略路径前进，依随上市公司平台给公司提供的强大助力，内生和外延双管齐下、两翼齐飞，建立中高端化工材料和电子材料销售平台，为客户带来独特的价值，为供应商带来创新性的服务，与合作伙伴共创发展机遇。
12,请问去年十月公司公布将进入新材料领域进展情况？,您好，公司正在不同细分行业积极引入新材料，满足客户在材料品种、质量、创新等方面的要求，感谢您对公司的关注。
13,预计今年同益股份球泡部件制造的材料销售额是多少？,您好！公司相关业绩数据请关注定期报告。谢谢。
14,同益股份最近有没有大的收购动作？,您好，公司将立足主业，适时借助资本市场力量，采取内生与外延式并购相结合的比翼发展方式，兼并收购与公司战略发展相契合行业领域的标的企业，加快实现战略布局，抢占和培育新兴产业的制高点，加速提升公司核心竞争力。 感谢您的关注！
15,同益股份产品出口到哪些国家和地区？,您好！公司业务以内销为主，并由少部分香港地区销售，目前暂无其他国家或地区的销售。
16,预计今年同益股份的政府补贴金额是多少？,您好！相关业绩数据请关注公司定期报告。谢谢。
17,未来几年同益股份是否考虑转型？,您好！公司作为中高端化工及电子材料一体化解决方案提供商，专注于通过专业技术研发服务满足客户对材料应用品质、速度、成本和创新的需求，实现中高端化工及电子材料的销售。
18,请问净利润同比下降的主要原因是什么？,"您好，由于材料市场价格波动、市场竞争加剧以及公司产品销售结构变化等原因，综合毛利率同比有所下降；同时为持续推进和落实发展目标，公司加大了技术、产品开发和市场拓展的投入力度，研发投入、员工薪酬支出等费用增长幅度较大。
"
19,目前公司进行材料分销的LED照明发展情况如何？,您好！在LED照明市场，目前公司涉及的业务主要为球泡部件制造的材料销售。公司紧密关注行业发展趋势，采取积极主动的营销策略，扩大销售规模，2017年在LED照明市场实现工程塑料销售收入1.33亿元，同比增长53.39%。
20,公司营业收入同比增长的主要原因是什么？,您好，报告期内，公司围绕“品模贯通”模式，优化销售策略，增强与大客户的合作力度和深度，通过深入挖掘品牌客户需求及痛点，寻求项目需求的共性，导入更多种类的产品，并在维系原有客户的基础之上，积极拓展新客户，提升公司市场占有率。报告期内，公司在智能移动终端、智能家电、LED照明等下游主要细分市场的拓展成效显著，实现了工程塑料销售收入快速增长。
21,请简单说一下公司有何核心竞争力？,您好，经过多年发展，公司营运服务能力持续快速提升，在技术服务、产业链信息处理、库存协同优化、运营管理和客户资源等方面形成了独特的竞争优势。
22,请问贵公司有没有计划进行并购来增厚业绩？,您好，公司将立足主业，适时借助资本市场力量，采取内生与外延式并购相结合的比翼发展方式，兼并收购与公司战略发展相契合行业领域的标的企业，加快实现战略布局，抢占和培育新兴产业的制高点，加速提升公司核心竞争力。 感谢您的关注！ 
