,Question,Answer
0,公司如何规避各种风险，如产品质量、资金、管理等，减少各种负面事件？,您好，公司在2016年年度报告上披露公司面临的主要风险，行业风险、原材料风险、管控风险、汇率风险、商誉减值等风险，具体情况以及具体措施请您前往查询。
1,请介绍一下公司所处行业和主要产品？,您好！公司属于日用家居用品行业，主要产品为不锈钢材质、铝制、玻璃、塑胶材质的饮水器具产品和智能数字化饮水器具产品。
2,董事长已经70高龄还在为公司贡献，而且去年还获得了十大风云浙商，希望董事长保重身体，给股民带来更大的收益。,您好！感谢您的关心。
3,请问董事长，sigg目前还是亏损的，今年能够扭亏吗？您预期sigg在国内能做到什么地步？目前来说基本微乎其微啊，谢谢您的回答,您好！2017年公司希望SIGG公司整体上能实现扭亏，包括SIGG瑞士和SIGG中国。目前国内市场的相关推广工作已经开始。
4,公司是否会考虑开拓新的领域？,您好！公司于2016年10月启动智能杯项目，这是公司传统产品进一步延伸，使公司跨入大数据大健康的领域，将是公司未来一个比较重要领域。
5,公司产品的技术含量如何？专利多吗？,您好，公司拥有专利218项，其中发明专利2项，实用新型60项，外观专利156项。新增专利72项，其中实用新型10项，外观专利62项。
6,请问：公司产品的技术含量如何？专利多吗？行业垄断地位如何？ 那些项目能给公司带来利润增长点？预计是否能保持3年的增长？,您好！公司拥有专利218项，其中发明专利2项，实用新型60项，外观专利156项。新增专利72项，其中实用新型10项，外观专利62项。公司对主要新品均会提交知识产权保护，并通过新品发售的方式转化成利润增长点。这是一个动态的过程。
7,公司未来发展前景如何?对目前这个行业的前途看好吗？,这是一个很好的行业，小杯子大市场。
8,做大、做好市值管理是每个公司成长的必然追求，公司是如何进行市值管理的？,您好！我们将按照公司既定的“三百、四化、五局”的发展战略扎扎实实的往前推
9,请问公司的分配预案达到承诺的分红比例吗？,达到了。
10,公司截至目前为止都有哪些子公司和参股公司？,您好。2016年公司新增了不少子公司和控股子公司，这些公司是基于公司产业整合和战略发展的需求进行设立。公司在年报第四节经营情况讨论与分析中第7小点主要控股参股公司分析里面是公司截止16年12月31日止，全部的子公司和参股子公司。
11,近几年的固定资产，技术改造的投资效果如何，是否达到了预期的目标，不考虑市场因素，简单考虑毛利情况是否合理呀。,公司利用上市公司较为雄厚的资金优势，通过引入先进的生产设备，采取流线化的布局方式，自动化的导入，进一步提升了公司的生产效率，产品品质更加稳定，为公司2016年业绩大幅度增长打下良好的基础。
12,我对贵公司是长期投资的，请问预计今年上半年会盈利多少？,您好，公司在2017年一季度报告中已经披露1-6月公司业绩变动区间为130-180%。
13,行业有没有周期性？,您好！我们不属于周期性行业。
14,请教董事长，哈尔斯在B端上能力已经很强了，但面对C端客户明显比较薄弱，不管是品牌还是营销，公司对此的应对策略是什么？会不会推出新的品牌来应对呢，借鉴长城和吉利目前的做法，推新品牌、新logo、新设计师，谢谢，如果愿意您可以多谈谈，我们散户获取信息的渠道不多，感谢您,您好。今年公司将产品的营销在内部提升到一个新的高端，从集团的角度考虑未来营销费用的投入，强调费用投入产出的合理性以及品牌推广的协调性，目前公司已经拥有较为强大的品牌群：哈尔斯、SIGG、NONOO、思诺、好时等品牌，下一步公司会加大对品牌的营销推广力度，进一步提升品牌运营能力。
15,公司生产经营的季节性如何?哪个季节是旺季?,公司已覆盖不锈钢杯、玻璃杯、塑胶杯、铝瓶等产品类别，不存在明显的季节性。
16,请问张总，sigg未来发展规划如何？sigg产品何时可以进入中国市场？,"您好。感谢您对公司海外品牌的关注。对于SIGG这个百年瑞士品牌，我们将结合其优势资源，发展多品类产品，并采用欧洲的设计和研发能力，以及哈尔斯自己的供应链资源打造精致的产品和品牌体系。目前欧洲以外的市场推进工作已经正式启动。激活其百年经典与智能科技相结合的高端运动专业科技品牌。落地步骤是继续保持其欧洲市场地位和巩固其国际品牌地位，并打开欧洲以外的市场，尤其是中国市场。
目前，公司已启动电商的渠道搭建工作，很快就能在天猫官方旗舰店上购买到公司产品。"
17,请问公司公司的核心竞争力是什么？,您好，公司的核心竞争力分析在2016年度报告中有比较详细的说明，请您查阅第三节第三点，核心竞争力分析。
18,截至目前，公司的同比销售额有增长吗？,"2017年一季度营业收入38,137.30万元，同比增长89.52%。净利润3,618.86万元，同比增长249.47%"
19,"我看贵公司的产品设计的无论颜色还是图案设计都非常low！
强烈建议公司花点钱去找好的工业设计 说真的 产品质量做得好 如果不注重用户细微的使用体验 档次总是提不上去",您好。您反应的问题我们管理层已经留意到这个问题，公司在做好大客户一站式体验服务的同时，需要进一步做好自主品牌的研发，包括但不限于产品外观、产品质量、增加产品时尚等特性。并通过聘请海外设计团队对公司产品进行全方位的提升。落地到产品时公司未来会通过产品的高端化、轻量化、智能化来进一步拓展国内市场。谢谢您的参与。
20,公司在税收方面有没有相关的优惠政策？具体税率是多少？,根据浙江省高新技术企业认定管理工作领导小组下发的《关于浙江省2015年拟认定1493家高新技术企业的公示》（浙高企认〔2015〕1号文件），公司被认定为高新技术企业，按15%的税率计缴企业所得税，认定有效期3年，企业所得税优惠期为2015年1月1日至2017年12月31日。
21,请问老总公司今年净利润同比增长多少？,"2016年，公司实现营业收入134,153.81万元，同比增长76.88%，实现利润总额14,548.21万元，同比增长218.83%，实现归属于上市公司股东净利润11,914.52万元，同比增长220.30%。2017年一季度营业收入38,137.30万元，同比增长89.52%。净利润3,618.86万元，同比增长249.47%"
22,请问公司有无通过发行公司债券等形式进行募资的计划？有无设立并购基金收购标的的计划？,您好，考虑到公司非公开项目正在证监会排队审核暂时不会考虑公司债形式进行募资。未来是否会通过公司债来募集资金需要看公司融资需求和实际情况。谢谢您的关注。
